 	l	ó	s	í	a	o	k	w	ε	r	έ	i	b	v	ú	a	e	n	g	i	n	g	i	n	a	é	b	v	u	ú	p	a	s	á	n	g	o	n	d	a	</S>
après	0.247545	0.0926476	0.0660215	0.0131934	0.0188956	0.0151627	0.0136226	0.0428074	0.0191079	0.0211023	0.0138494	0.0114701	0.0147273	0.00779019	0.00527787	0.0097089	0.00300641	0.00630992	0.0071548	0.00974735	0.0119652	0.0102877	0.0128678	0.0117131	0.0164308	0.0173648	0.0132739	0.0137227	0.0115589	0.0144508	0.0135341	0.0103626	0.0172146	0.0191658	0.0242533	0.0321047	0.0199753	0.0241917	0.0235235	0.0198629	0.0230279
avoir	0.0951923	0.0531482	0.0424393	0.0221059	0.0416264	0.0420176	0.04681	0.0500813	0.0451905	0.0459172	0.0725636	0.0634594	0.0393354	0.029726	0.0192153	0.0249439	0.0129715	0.0150296	0.020931	0.0166998	0.014067	0.0202143	0.0104999	0.0100221	0.00668324	0.00636479	0.00985845	0.00726583	0.00623169	0.00612578	0.00608127	0.00347076	0.008122	0.00459917	0.0105142	0.00670526	0.0126474	0.00919492	0.00847366	0.0120828	0.0213716
abattu	0.0169708	0.035852	0.0479464	0.0497607	0.0352001	0.0240965	0.0290189	0.0507824	0.0420424	0.0513374	0.0411174	0.0394046	0.0267271	0.0181872	0.0146949	0.0199916	0.0178326	0.0333585	0.0262263	0.0210872	0.0193966	0.0183505	0.0116455	0.0138712	0.0129324	0.0128332	0.0179786	0.0167901	0.0162528	0.0141267	0.021167	0.0134337	0.0159859	0.0130086	0.0184348	0.0242352	0.0230941	0.0197055	0.0180897	0.0242494	0.0127835
l'	0.0139294	0.0132592	0.0154162	0.0155056	0.0142378	0.0156034	0.0204794	0.019983	0.0255141	0.0261369	0.0213196	0.0233855	0.030099	0.0330779	0.0341923	0.0340099	0.0331828	0.036336	0.0335958	0.0377167	0.035432	0.0324732	0.0256255	0.0286555	0.0322926	0.022531	0.021639	0.025357	0.0228057	0.0226852	0.0221735	0.0213938	0.0216976	0.0149955	0.0180247	0.0259168	0.0159664	0.0106869	0.014263	0.017578	0.0508266
arbre	0.0107915	0.0106933	0.0125097	0.015776	0.0190397	0.0219342	0.0190232	0.0140209	0.014226	0.0111938	0.0128599	0.0239874	0.013746	0.0149092	0.00707241	0.0133956	0.00409618	0.00816476	0.00877941	0.0168224	0.0307251	0.0195743	0.0282095	0.0396758	0.051119	0.0429185	0.0281377	0.0432095	0.036508	0.0407418	0.0466187	0.0445936	0.0296065	0.0346809	0.0361891	0.0282662	0.0318521	0.0196743	0.0262708	0.0196694	0.0487176
la	0.00434799	0.00619396	0.00556994	0.00877645	0.0119294	0.0140095	0.0156347	0.0134922	0.0165363	0.0205102	0.0211271	0.0346768	0.0239197	0.0416643	0.0366947	0.0338271	0.0456035	0.0494499	0.0394159	0.0383514	0.036391	0.0313621	0.0318216	0.0297645	0.0269228	0.0263228	0.0263369	0.0258526	0.0235642	0.0241865	0.0206307	0.023862	0.0173335	0.0188952	0.0182598	0.0152871	0.0208159	0.0140885	0.0212283	0.0202425	0.0451008
souche	0.0198405	0.0179191	0.0166517	0.026714	0.0301495	0.0319816	0.0294614	0.0183514	0.0188675	0.0290894	0.0333293	0.0367465	0.0215772	0.0401328	0.0392211	0.0453325	0.0632939	0.0916411	0.0596699	0.0473998	0.035901	0.0338122	0.0184715	0.0184051	0.0122695	0.0110752	0.0125052	0.0102826	0.0101317	0.0114347	0.00838279	0.00943414	0.0106878	0.00911945	0.00702635	0.00565826	0.00715653	0.00713535	0.010019	0.0102726	0.0234489
demeure	0.012794	0.012249	0.0126729	0.0141223	0.0160376	0.0197645	0.0194382	0.0147387	0.0199948	0.0203386	0.0184885	0.0257458	0.01742	0.0221396	0.025945	0.0198664	0.0315386	0.0410181	0.0298084	0.035203	0.0420514	0.0450058	0.0457771	0.044274	0.0341939	0.0290253	0.0213595	0.0255777	0.0272693	0.0255313	0.0187684	0.0183792	0.0187567	0.0133405	0.0199177	0.00746016	0.0152241	0.0161595	0.029792	0.0289787	0.043834
plantée	0.0134256	0.0128292	0.0118155	0.0132168	0.013861	0.0163801	0.0126206	0.00703662	0.00917678	0.0104866	0.00975979	0.00775	0.006928	0.00964786	0.00841321	0.0122872	0.0121964	0.0280009	0.0227115	0.0352074	0.0416617	0.0405014	0.0399536	0.0325729	0.0331736	0.0335051	0.0341554	0.0373045	0.0342787	0.0339099	0.0305368	0.0326107	0.0311266	0.0316051	0.0343442	0.0302947	0.0353197	0.029604	0.0345718	0.0356142	0.0396041
dans	0.0177834	0.0155496	0.0112334	0.00741007	0.00732669	0.00795621	0.00722956	0.00575876	0.0069375	0.00703084	0.00643884	0.0137416	0.0119113	0.0188328	0.0195736	0.0242128	0.0336509	0.0402319	0.0387521	0.0388234	0.0339538	0.0362019	0.0315515	0.0297938	0.0293166	0.0270282	0.0254656	0.0300155	0.0307143	0.0296648	0.0282993	0.027935	0.0328465	0.0227855	0.0258653	0.0203211	0.027659	0.0381191	0.0362199	0.0388749	0.0569831
