 	e	l	o	n	d	í	s	í	l	í	y	é	é	l	ω	n	d	ώ	s	ώ	w	a	i	b	h	ώ	ω	d	í	i	y	é	e	s	ε	r	έ	m	b	έ	s	í	</S>
la	0.0118211	0.012964	0.01234	0.0109647	0.00659773	0.00746917	0.00881465	0.00884624	0.018692	0.0123594	0.0338669	0.056724	0.0966428	0.0917947	0.0548593	0.0246233	0.0260873	0.0378423	0.0348366	0.019103	0.0247041	0.0179322	0.0114823	0.0111031	0.00925569	0.00701797	0.00747248	0.0115496	0.00823853	0.0163322	0.016125	0.0273324	0.0249982	0.0193033	0.0211201	0.0223442	0.0178289	0.0220507	0.0180433	0.0165505	0.0224661	0.0318358	0.0276642
manière	0.00750383	0.0115831	0.00992553	0.011061	0.00807033	0.0115474	0.0181696	0.0164733	0.0264911	0.0316574	0.0310907	0.0722338	0.0808915	0.0672583	0.0585787	0.0401667	0.03642	0.057949	0.0671938	0.038177	0.0544225	0.0343934	0.0307856	0.0120594	0.0093994	0.0188164	0.0169184	0.0167117	0.011841	0.0173287	0.0053276	0.00648927	0.00740497	0.00815161	0.00494916	0.0112054	0.00742362	0.0120961	0.00503092	0.00290531	0.00156681	0.00154064	0.000789652
dont	0.064324	0.0272508	0.0132169	0.00732383	0.00381222	0.00846305	0.0155427	0.0148735	0.0150913	0.00455934	0.00509584	0.00658835	0.00916467	0.0125153	0.0188682	0.0331434	0.0574929	0.0893064	0.11806	0.103195	0.0551046	0.0975404	0.0548975	0.0314107	0.0255482	0.00812846	0.00861316	0.00686009	0.00730779	0.0059851	0.00817592	0.00845659	0.00708888	0.00758205	0.00839018	0.00509762	0.00438852	0.00601868	0.00414253	0.00320307	0.00221847	0.00237664	0.00357714
il	0.0283832	0.0453494	0.0572573	0.0246206	0.0240408	0.0139323	0.0166961	0.010011	0.00925874	0.00651564	0.00858553	0.0100022	0.00998482	0.00765093	0.00731516	0.0089013	0.0194026	0.0591351	0.0788765	0.100057	0.111673	0.0755035	0.0714125	0.0566755	0.0204032	0.0133245	0.010972	0.0139606	0.0133261	0.0102235	0.00477177	0.00226001	0.00274985	0.00300647	0.00174731	0.00175099	0.00289035	0.00266337	0.00244809	0.00391437	0.00322375	0.00617076	0.0189518
continue	0.0284615	0.0241987	0.0199346	0.0115816	0.0292611	0.0285893	0.0436179	0.0259565	0.0134224	0.00690605	0.00433264	0.00580237	0.00835063	0.00988383	0.0155709	0.0240178	0.0311032	0.0512576	0.0545538	0.0570731	0.0353145	0.0950661	0.0555753	0.0392876	0.0346025	0.0395424	0.0252657	0.0247236	0.0473235	0.0245504	0.0146778	0.00688699	0.00717412	0.00701699	0.00423773	0.0036965	0.0031729	0.00289022	0.00278717	0.00386998	0.0045871	0.00571805	0.0181574
cette	0.0211465	0.0163742	0.0127792	0.016269	0.0319595	0.0267238	0.0301546	0.0260826	0.0122906	0.00714749	0.00528455	0.00770563	0.016789	0.0230276	0.0329034	0.038641	0.0422838	0.0375177	0.0288335	0.0289047	0.0172119	0.0233297	0.0228772	0.0162953	0.0195506	0.0295697	0.0239669	0.0258615	0.0222847	0.0183672	0.0162118	0.0152085	0.0153166	0.0150603	0.0171914	0.0151326	0.0185831	0.0154442	0.0159588	0.0292665	0.0322898	0.0413807	0.0708224
affaire	0.0556721	0.0392018	0.0288078	0.0231598	0.0187095	0.0118789	0.0158643	0.010789	0.00986732	0.00915211	0.0096439	0.0107651	0.0115871	0.0119196	0.01404	0.0202312	0.0204726	0.0226091	0.0305618	0.0338757	0.028997	0.0263304	0.0366447	0.0295221	0.0156613	0.0219233	0.019747	0.0193929	0.0173959	0.0219146	0.017277	0.0211147	0.0207837	0.0167983	0.0217177	0.0194771	0.0177937	0.0158128	0.0219761	0.0287346	0.0320645	0.0436375	0.0764742
exprime	0.0488474	0.0282335	0.0236624	0.0189522	0.029706	0.0151691	0.0197315	0.019017	0.0150943	0.0127451	0.0122645	0.012975	0.0115024	0.0159695	0.0186796	0.0187863	0.0196486	0.0270848	0.0276938	0.0320883	0.0287439	0.0225019	0.0364095	0.0294719	0.0204913	0.0267224	0.0163131	0.0157614	0.00917234	0.0174807	0.0107667	0.0174964	0.0213021	0.0122709	0.0217148	0.0146183	0.0113233	0.00913016	0.0163472	0.0252132	0.0214654	0.0361754	0.131256
le	0.130528	0.0881833	0.0686267	0.0610786	0.0631247	0.0680977	0.058207	0.0452262	0.0287389	0.0271148	0.0170278	0.0148056	0.0135984	0.0118198	0.0121262	0.0190894	0.0153215	0.0127781	0.0143403	0.0144551	0.0109152	0.00701888	0.0146817	0.00692379	0.00670944	0.00553542	0.00537422	0.00508634	0.00554871	0.00689123	0.00334202	0.00327722	0.00468483	0.00391922	0.00490711	0.00560624	0.00633542	0.00644659	0.0063435	0.0133232	0.0143151	0.0206861	0.0478404
mépris	0.114608	0.0593328	0.0423189	0.0164882	0.00712089	0.00739648	0.00851494	0.00992723	0.0105839	0.0111887	0.0127391	0.0144329	0.0188171	0.0238689	0.0221826	0.0308562	0.0227219	0.025941	0.0171599	0.0152878	0.0143256	0.010465	0.0151188	0.00983982	0.0143067	0.0192648	0.0127183	0.0125163	0.0134462	0.0136949	0.00860855	0.0146369	0.0184025	0.016813	0.0187176	0.0258676	0.0204293	0.0212109	0.0214325	0.0285879	0.0373886	0.0430737	0.0976475
