 	w	a	á	p	f	e	e	d	u	n	ú	i	k	ω	n	í	k	a	á	</S>
il	0.273275	0.215023	0.203677	0.12194	0.0504017	0.0233136	0.00703608	0.00200797	0.00236752	0.00412005	0.00449958	0.00525581	0.0150144	0.00946877	0.00950855	0.0122995	0.0115776	0.0114123	0.0102017	0.00759874
a	0.0191324	0.0216774	0.0518613	0.161356	0.181264	0.233727	0.16945	0.0522844	0.0367081	0.00820789	0.00323705	0.00446797	0.00293044	0.000993775	0.00263104	0.00218486	0.00233373	0.00179218	0.0125167	0.031244
atteint	0.0152951	0.0331675	0.0184425	0.0275144	0.0364048	0.0490937	0.0554846	0.116092	0.123544	0.0909453	0.0364296	0.0526043	0.0442737	0.0461595	0.0413886	0.0379174	0.0362327	0.0431391	0.0456978	0.0501735
la	0.0113534	0.0149567	0.00948599	0.0160897	0.0225469	0.0213824	0.0316315	0.0669354	0.0325623	0.0952177	0.105536	0.100801	0.0777463	0.0810071	0.0646451	0.0573025	0.0400921	0.0340245	0.0556608	0.0610229
vieillesse	0.0110829	0.00943998	0.00836988	0.00819088	0.00977745	0.0233177	0.025363	0.0525185	0.0734395	0.0689121	0.0726905	0.0781807	0.0669694	0.0897328	0.0846979	0.0668125	0.0495155	0.0438002	0.047357	0.109832
sans	0.0247479	0.0324344	0.0248794	0.0318732	0.029972	0.0313268	0.0300936	0.0324305	0.0306108	0.0346779	0.0393949	0.0366573	0.0432678	0.0649079	0.0552395	0.0671733	0.0691074	0.0899059	0.0993349	0.131965
jamais	0.0487761	0.0525785	0.0250237	0.0359142	0.0486827	0.043648	0.0267468	0.0244484	0.0305391	0.0279835	0.022763	0.0241339	0.0228517	0.019848	0.0401229	0.0366581	0.0488077	0.0629895	0.1389	0.218584
être	0.0522833	0.052532	0.0507977	0.0563388	0.0497075	0.0438919	0.023697	0.0178928	0.0178038	0.0181212	0.0174325	0.0146282	0.0257392	0.0275781	0.0375466	0.0415385	0.0652925	0.071705	0.117102	0.198372
malade	0.028056	0.0285225	0.0274587	0.0283687	0.0292362	0.0304316	0.0283057	0.0224862	0.018893	0.0238642	0.024772	0.0265413	0.0587128	0.0558813	0.0743867	0.08185	0.0932315	0.0911643	0.105799	0.122039
</S>	0.030543	0.0308019	0.029349	0.0313466	0.0311053	0.0309864	0.0296012	0.0216597	0.0193784	0.0239082	0.0220692	0.0247317	0.0635272	0.0614327	0.0702365	0.0755484	0.0861514	0.0934972	0.105869	0.118257
