 	m	v	u	m	b	v	ú	é	m	i	d	z	a	b	h	á	á	s	á	d	z	a	n	g	é	</S>
les	0.0134209	0.0146533	0.0123841	0.0132694	0.0135119	0.0132932	0.0177613	0.0252785	0.0346707	0.0521671	0.0520036	0.0370494	0.0244034	0.0247479	0.0344451	0.0370739	0.0369894	0.0344942	0.038846	0.0689371	0.0500896	0.0562525	0.048807	0.0890105	0.0897019	0.0667383
mauvaises	0.0352313	0.0451631	0.0710646	0.0861489	0.101425	0.111152	0.0779496	0.0876592	0.0990847	0.10195	0.0642808	0.0475417	0.0125417	0.00784169	0.00247661	0.001888	0.00432621	0.00665771	0.00657298	0.00727638	0.00504482	0.00596077	0.00285968	0.00351385	0.00279587	0.00159305
herbes	0.0428033	0.0342351	0.0244466	0.031953	0.0329972	0.0431766	0.05174	0.0546382	0.0702959	0.0483183	0.0346457	0.0881938	0.0546222	0.042796	0.0463795	0.0473602	0.0457181	0.0402852	0.0301443	0.0323854	0.0227967	0.0203255	0.0157125	0.0162811	0.0126347	0.015115
se	0.00774679	0.00961657	0.0258136	0.0310675	0.0372649	0.0509417	0.0541098	0.0533476	0.0711689	0.0597763	0.0501912	0.0718941	0.0497062	0.0986323	0.0593727	0.0492163	0.0352203	0.0247624	0.0242232	0.0216867	0.0198729	0.0191091	0.017723	0.0171845	0.0179745	0.022377
sont	0.0484356	0.042944	0.0479518	0.0568829	0.0536718	0.055299	0.0450372	0.0476091	0.0397618	0.0282477	0.022988	0.023389	0.0188472	0.0161299	0.0154613	0.0280056	0.0307038	0.031361	0.0249304	0.0222921	0.0247251	0.0307134	0.0247137	0.0397543	0.0628858	0.117258
répandues	0.0316926	0.0298753	0.0182845	0.0173601	0.0174247	0.0156048	0.0162257	0.0116991	0.0117276	0.00824569	0.013207	0.0237057	0.0323023	0.0458066	0.138341	0.102168	0.129328	0.0611189	0.0479213	0.0366552	0.0356924	0.0318723	0.0312772	0.0231228	0.0281571	0.0411843
dans	0.0564622	0.0390158	0.0425792	0.0465731	0.0439689	0.0404619	0.0516924	0.0424739	0.0566196	0.039418	0.0393659	0.05694	0.0466378	0.0126877	0.0291436	0.0187949	0.0314911	0.0422208	0.0597743	0.0261213	0.0293367	0.0265723	0.0315544	0.0290413	0.027191	0.0338617
la	0.0340099	0.0334193	0.0206984	0.0169319	0.0205426	0.0143771	0.0231092	0.0155813	0.0276949	0.0191009	0.0340411	0.032934	0.0343948	0.0224753	0.0353552	0.0287233	0.029455	0.0478013	0.0381711	0.0523379	0.0604077	0.0762973	0.0870407	0.0575088	0.0599929	0.077598
cour	0.0530104	0.046273	0.0314859	0.0226828	0.0223437	0.0132862	0.00916823	0.00633257	0.009628	0.00683504	0.0111911	0.0120457	0.00908445	0.00689754	0.0163942	0.0197691	0.0394486	0.0526484	0.0318306	0.0809392	0.0916609	0.0831077	0.0789337	0.0554833	0.0688036	0.120716
</S>	0.107368	0.0897491	0.0673738	0.0432741	0.0350766	0.0239558	0.0297534	0.0283011	0.0332849	0.0212021	0.0198291	0.04152	0.0423991	0.00813182	0.015932	0.0138336	0.0154769	0.0252235	0.0187583	0.0131604	0.0209925	0.0175841	0.0396141	0.0397692	0.0441358	0.1443
