 	o	y	ú	r	u	á	f	ú	r	u	u	o	n	g	w	έ	l	έ	s	á	k	á	s	i	</S>
la	0.00769952	0.00838654	0.0080833	0.00667036	0.00828169	0.00831088	0.0128114	0.0195557	0.0438578	0.0585044	0.055301	0.0531824	0.0561876	0.0670469	0.0765956	0.0670432	0.0502312	0.0638029	0.0563643	0.0509644	0.0371994	0.0349377	0.0409068	0.0547989	0.0532761
femme	0.101311	0.335825	0.236529	0.115653	0.026312	0.0136668	0.0315572	0.0220173	0.0160917	0.0120364	0.00732317	0.0129078	0.00975537	0.00523494	0.00743442	0.00817065	0.0112729	0.00683273	0.00849482	0.00286236	0.00222179	0.00179524	0.00260992	0.00140584	0.000677903
a	0.0264954	0.019136	0.0160383	0.0110616	0.0165309	0.0277585	0.081431	0.103431	0.0571814	0.0594345	0.0964776	0.0592173	0.0457048	0.0773204	0.0785224	0.0355423	0.0419832	0.0264063	0.0204441	0.0169032	0.0209463	0.0179905	0.0179174	0.0161283	0.0099971
emballé	0.0235235	0.0364918	0.0444779	0.0325903	0.0305762	0.0258131	0.0261808	0.0491264	0.0409709	0.065336	0.0551051	0.0548096	0.0349232	0.0359325	0.061777	0.0347626	0.047952	0.0415642	0.0377003	0.0248758	0.0306086	0.0296572	0.0279923	0.0375648	0.0696878
le	0.0770964	0.0447866	0.0430147	0.0503977	0.0394873	0.0283359	0.0278084	0.0245966	0.0225706	0.0243294	0.0186122	0.0200598	0.018694	0.0188721	0.0268587	0.0210988	0.0308168	0.0354262	0.0332554	0.0398286	0.0485413	0.0703635	0.0560495	0.066533	0.112566
manioc	0.02697	0.0185411	0.0194326	0.0188597	0.0196405	0.0172844	0.0106246	0.0136812	0.0144758	0.0165585	0.0125213	0.0112312	0.0154068	0.0185456	0.0437877	0.0562492	0.0663156	0.0805494	0.0615424	0.063096	0.0717838	0.0744416	0.0724612	0.0793847	0.0966152
dans	0.0406227	0.0246016	0.024183	0.0232126	0.025958	0.0256308	0.0203857	0.0223048	0.0237464	0.0225769	0.0239377	0.0183373	0.0306185	0.0229036	0.0348596	0.045938	0.0577474	0.0611561	0.0515116	0.065918	0.0545073	0.0641402	0.0640404	0.0469595	0.104202
des	0.118795	0.062826	0.0550743	0.042726	0.0463224	0.0394042	0.037336	0.0267466	0.0191004	0.0214918	0.0150356	0.00969302	0.0117287	0.0200166	0.0210297	0.0238808	0.0284919	0.0318453	0.0261658	0.0321405	0.0287625	0.0363319	0.0422209	0.0622833	0.140551
feuilles	0.0955485	0.0578426	0.0497785	0.0395283	0.0225262	0.0145982	0.00788737	0.00848522	0.0088647	0.0090209	0.0098005	0.00956756	0.0114518	0.0100249	0.0183693	0.0242733	0.0289842	0.049362	0.0351605	0.0498352	0.0595142	0.0731544	0.0825407	0.0671205	0.156761
</S>	0.0922437	0.0425566	0.0393093	0.0392278	0.0231431	0.0185051	0.0220911	0.0194105	0.0167315	0.0173416	0.0143211	0.0122475	0.016137	0.0162911	0.0285479	0.0336985	0.0374237	0.0428422	0.0397511	0.0530266	0.05326	0.0608305	0.065628	0.0586758	0.136759
