 	b	í	s	í	l	é	m	o	d	z	w	á	i	b	v	á	a	ó	w	ó	m	á	</S>
nous	0.256889	0.229255	0.124951	0.0683241	0.0465463	0.0393646	0.0104144	0.0102405	0.0278153	0.02105	0.0389139	0.0137281	0.0117216	0.0107007	0.0114709	0.0155663	0.0096153	0.00894339	0.0067702	0.0114625	0.00731645	0.00790425	0.0110352
partons	0.0735598	0.0989513	0.042445	0.0370902	0.0375998	0.0388931	0.0583991	0.0666037	0.0743163	0.0775533	0.0967965	0.0573688	0.0885951	0.0443881	0.0327773	0.0202842	0.0139591	0.0201748	0.00347132	0.00495232	0.00398222	0.00297856	0.00485982
faire	0.0127936	0.0147486	0.018117	0.0227197	0.0185519	0.0263548	0.036314	0.0746812	0.0659953	0.0734807	0.0619486	0.0366782	0.0511045	0.0598492	0.0568514	0.087934	0.0649362	0.0356863	0.0350085	0.0494022	0.0514821	0.0253336	0.0200283
la	0.0427914	0.0398746	0.0258633	0.0235009	0.0119746	0.0105604	0.0208484	0.0287368	0.02589	0.0332363	0.0322222	0.0334753	0.0422179	0.0441233	0.0570069	0.0817675	0.0637626	0.0638529	0.0534991	0.0515919	0.0714431	0.076827	0.0649337
pêche	0.0119729	0.0128832	0.0149176	0.0209177	0.0282951	0.0289878	0.0546816	0.0492724	0.0429851	0.0430396	0.057275	0.0565382	0.094473	0.0468668	0.0387376	0.0391047	0.0353898	0.0365248	0.0281535	0.047412	0.0651321	0.0542549	0.0921846
au	0.0511726	0.0357903	0.0260422	0.0400573	0.0272433	0.0291663	0.041692	0.0510792	0.0404414	0.03759	0.0243277	0.0112317	0.0189919	0.0110297	0.0166787	0.0322624	0.0353155	0.037439	0.0295103	0.0755119	0.0934875	0.101266	0.132673
harpon	0.0271118	0.0303006	0.0306294	0.0292894	0.0228356	0.0282095	0.0255547	0.028229	0.0261545	0.0227588	0.0190189	0.0266454	0.0451013	0.0377374	0.0424052	0.0545921	0.0548175	0.06164	0.0462523	0.0553976	0.0903813	0.0651216	0.129816
au	0.0480585	0.0532919	0.0300755	0.028696	0.0222988	0.0259717	0.0252587	0.0238245	0.0218126	0.0168585	0.0161195	0.0112803	0.0233122	0.0189444	0.0250031	0.0535451	0.0615922	0.0693816	0.0742974	0.0654994	0.0808363	0.0913742	0.112668
ruisseau	0.0386611	0.0394971	0.0414925	0.0214774	0.0173002	0.0147911	0.0143977	0.0172231	0.0148787	0.0101345	0.0114102	0.0172699	0.0234314	0.0218531	0.0291632	0.0415852	0.0400698	0.0591079	0.0886718	0.0652828	0.133982	0.0916839	0.146636
vouma	0.03074	0.0257969	0.0331647	0.0155481	0.0167543	0.0223128	0.0166617	0.0154151	0.0176972	0.0132811	0.0185199	0.0288459	0.0430121	0.0308424	0.034076	0.0292951	0.0245283	0.0383029	0.07119	0.0510034	0.118169	0.125944	0.178898
</S>	0.141964	0.0334557	0.0313657	0.0180267	0.0266022	0.0395663	0.0259488	0.0202943	0.0185001	0.0160935	0.0201296	0.040584	0.0456763	0.018128	0.0202525	0.0278982	0.0307702	0.0375539	0.0496976	0.0319357	0.0603118	0.100106	0.145139
