 	o	b	e	n	g	i	á	b	o	m	i	m	b	v	u	l	u	s	ó	l	ω	n	g	ώ	</S>
le	0.0163272	0.0216404	0.023206	0.0271552	0.0765738	0.0509103	0.0509181	0.0386765	0.0605548	0.0541693	0.0558106	0.05491	0.0376025	0.0269158	0.0245079	0.0279009	0.0247594	0.0233687	0.0286428	0.0218548	0.0224513	0.0336017	0.0560121	0.0804447	0.0610853
chasseur	0.0199738	0.0176825	0.00891604	0.012104	0.0845405	0.0717364	0.164797	0.222354	0.236385	0.0405592	0.0361121	0.0362564	0.0123927	0.0107431	0.00420785	0.00512202	0.00364425	0.00267224	0.00298234	0.00211906	0.00151554	0.00111076	0.000626713	0.000850485	0.000595327
a	0.0371777	0.0266466	0.0236646	0.0344933	0.0859314	0.113644	0.166133	0.0740582	0.0715035	0.0286653	0.0408555	0.0310133	0.0379423	0.0323287	0.0263257	0.0153452	0.0173565	0.0218059	0.0309083	0.0170016	0.0143919	0.012335	0.00901927	0.015885	0.0155672
tué	0.0316692	0.05348	0.0653792	0.0590411	0.0501755	0.0583441	0.0567452	0.0955856	0.0877103	0.0651923	0.0211878	0.0165992	0.0166723	0.0113871	0.017559	0.0157814	0.0114711	0.0106571	0.0209647	0.0217617	0.0262156	0.0289012	0.0327757	0.0502376	0.0745059
une	0.0731605	0.0343895	0.0172925	0.0144202	0.028507	0.0405112	0.0870288	0.0851163	0.0866186	0.050949	0.0550494	0.0390396	0.0174522	0.0181834	0.0253342	0.0247014	0.0275966	0.0388387	0.0423511	0.0386701	0.0309357	0.0241651	0.0217371	0.0222916	0.0556601
antilope	0.0241135	0.01931	0.0074033	0.00558114	0.0093572	0.0173293	0.0225075	0.0223891	0.0435801	0.0327165	0.0460214	0.0382936	0.0289468	0.0354911	0.0481671	0.0605023	0.0694172	0.0851738	0.109323	0.068934	0.0452819	0.0394582	0.0331435	0.0345285	0.0530299
dans	0.0227198	0.0217791	0.0131739	0.00882088	0.00823174	0.00947963	0.0119354	0.0127322	0.0120222	0.0160838	0.0261804	0.0391744	0.0488075	0.0522859	0.0489824	0.0567983	0.0590531	0.0632125	0.0787683	0.0863405	0.0857282	0.057316	0.0416335	0.053347	0.0653935
la	0.0401543	0.0414814	0.0307543	0.0265761	0.0237236	0.0153739	0.00967335	0.0147685	0.011855	0.0177727	0.0188564	0.0383501	0.0350429	0.0330784	0.0326221	0.0388064	0.0335388	0.0390755	0.0485716	0.0537781	0.0714622	0.0703088	0.0658071	0.0810407	0.107528
plaine	0.0465935	0.0497665	0.0345017	0.0237421	0.0199527	0.0147495	0.0108132	0.00877351	0.00549973	0.00799925	0.00872801	0.0152947	0.0132939	0.015686	0.0194839	0.0366678	0.0409175	0.0484103	0.0452047	0.0852748	0.089069	0.085938	0.0540805	0.0899009	0.129658
</S>	0.0842394	0.0695067	0.0446346	0.0271498	0.0183367	0.0149742	0.00940571	0.0094466	0.00683367	0.00968388	0.00603316	0.0133051	0.0164242	0.0230082	0.0300772	0.0287094	0.019512	0.0215324	0.0299932	0.0539033	0.0859604	0.0715787	0.0561764	0.0694435	0.180132
