 	b	í	s	í	l	é	d	z	ú	ú	n	g	u	m	á	l	á	n	g	ω	n	g	ω	y	á	n	d	é	e	</S>
nous	0.189681	0.0601605	0.0333281	0.0200487	0.0111802	0.0238884	0.0321772	0.0157555	0.0287776	0.0173595	0.0367946	0.0332504	0.0259754	0.0259634	0.0261347	0.0162191	0.0265632	0.0192615	0.0414093	0.0132595	0.0123097	0.0331596	0.0123505	0.0172848	0.0245998	0.0180912	0.0356942	0.0491225	0.0592734	0.0409262
avons	0.0806914	0.0606579	0.0442477	0.0512949	0.0406688	0.0508354	0.0373989	0.0388844	0.0395349	0.0307822	0.0274457	0.0450945	0.0277488	0.0394093	0.0293983	0.021762	0.0247914	0.0309065	0.0303157	0.0220421	0.0266882	0.0227054	0.0390737	0.0237122	0.0152251	0.0205199	0.0162991	0.0210608	0.0247326	0.0160723
fait	0.0525718	0.0528961	0.0676586	0.0342239	0.01611	0.0162411	0.0176729	0.0215919	0.0250954	0.0350256	0.032776	0.0445906	0.0434982	0.0516699	0.0761181	0.0795647	0.0507756	0.0472422	0.0493213	0.0236053	0.0294801	0.0192257	0.0181605	0.0185057	0.0146108	0.0123553	0.0100385	0.0081408	0.00873613	0.0224972
un	0.00806252	0.00780506	0.00520935	0.0117626	0.00794854	0.0101267	0.0152844	0.0248307	0.0223777	0.0252318	0.0284648	0.0336053	0.0402664	0.0389716	0.0428988	0.0487602	0.0408946	0.0565376	0.0670837	0.0544452	0.0674754	0.0437451	0.0583463	0.0665819	0.0620491	0.0382999	0.0176129	0.0134237	0.0148795	0.0270189
détour	0.0228023	0.0320516	0.0269012	0.0232403	0.0214346	0.0318336	0.0289965	0.0270629	0.0289456	0.033756	0.0279261	0.0266937	0.0306363	0.0431094	0.0463707	0.0535694	0.0342665	0.035626	0.0293342	0.036447	0.0297041	0.0251016	0.0282614	0.0290837	0.0256911	0.0311335	0.0319616	0.0341922	0.0379763	0.0858908
en	0.00981221	0.0181292	0.00967709	0.0111161	0.0132571	0.0187261	0.0147094	0.0184569	0.0208247	0.0352987	0.0273547	0.0305409	0.0501244	0.0410535	0.0358191	0.0557082	0.0544777	0.0533935	0.0400104	0.0374053	0.0479375	0.0323257	0.0324256	0.0269731	0.0256814	0.0315854	0.0304821	0.0455581	0.0413152	0.0898205
passant	0.0135095	0.0204177	0.0180868	0.0129615	0.0130978	0.0155899	0.0138093	0.0144047	0.0159311	0.0240019	0.019314	0.024604	0.027798	0.0231078	0.0187721	0.0256323	0.0260075	0.029525	0.0255556	0.03236	0.0391775	0.0396494	0.038714	0.0377631	0.0407217	0.0482269	0.0465831	0.0982317	0.102999	0.093447
derrière	0.0262959	0.0301431	0.0227448	0.0239733	0.0194523	0.0176091	0.0143718	0.0172668	0.0211528	0.0207268	0.0207237	0.0228666	0.0240424	0.0267841	0.0226267	0.0286084	0.0207519	0.0257713	0.0224231	0.0352824	0.0313239	0.0220296	0.0308133	0.0276763	0.0340358	0.0564083	0.0559029	0.0840053	0.0802438	0.113943
la	0.0252577	0.0235397	0.0192185	0.020446	0.0200237	0.0266281	0.0221737	0.0166413	0.0198451	0.017295	0.0189171	0.0211608	0.0210939	0.0215251	0.0226392	0.026558	0.0248832	0.0267213	0.0259035	0.0358812	0.0339504	0.029558	0.0340615	0.041409	0.0568237	0.0662878	0.0671041	0.0674657	0.0675795	0.0794085
maison	0.0145744	0.0197524	0.010104	0.00810543	0.00758962	0.00835474	0.00753807	0.0063336	0.0070369	0.00882665	0.00912922	0.0112975	0.0126647	0.0142248	0.0111122	0.0285824	0.029273	0.0373596	0.0338991	0.0537873	0.0577461	0.0595465	0.0665892	0.0598405	0.0741276	0.0656304	0.0648767	0.071157	0.0739877	0.0669526
</S>	0.0208849	0.0161173	0.0109655	0.0104952	0.00804244	0.0108249	0.00705634	0.00722044	0.00885336	0.0116624	0.0155727	0.0228852	0.0259223	0.0252085	0.0229643	0.0409931	0.0614414	0.053289	0.0457777	0.0532191	0.0813089	0.0823971	0.0655396	0.0522124	0.0633339	0.0374208	0.0340951	0.0317517	0.0366625	0.0358817
