 	w	á	á	n	g	á	i	w	é	é	o	l	í	m	i	m	á	n	g	á	k	á	a	m	ó	o	d	z	w	a	m	b	v	á	a	n	z	a	m	b	é	</S>
après	0.0911425	0.0876278	0.0896267	0.070008	0.0447624	0.0522566	0.028542	0.030724	0.0321261	0.0441168	0.0232717	0.0236102	0.022659	0.0222094	0.0224759	0.0183136	0.00988978	0.00888647	0.00441007	0.00677449	0.00590361	0.00449467	0.00648807	0.00683017	0.00608784	0.00382075	0.00507497	0.00575756	0.00821041	0.00895483	0.0103272	0.0159647	0.0171039	0.0177783	0.0177086	0.0191343	0.0207902	0.0169694	0.0195589	0.0170448	0.0188712	0.0136921
ma	0.0108952	0.00600041	0.0111562	0.0117576	0.0164917	0.0286276	0.0367376	0.0533856	0.0418078	0.0697162	0.0711355	0.0668602	0.0847215	0.0468907	0.0500948	0.0417618	0.0327449	0.0175338	0.0171625	0.0120382	0.0300819	0.0238225	0.0152361	0.0141015	0.0107568	0.0138788	0.00797789	0.00694324	0.0109305	0.0093626	0.00311938	0.00700056	0.00412226	0.0122569	0.0115794	0.0136218	0.010223	0.0125317	0.00892419	0.0077323	0.0169557	0.0213212
mort	0.0194623	0.0171399	0.0128494	0.0156315	0.0213334	0.0152117	0.0198794	0.0242569	0.0219149	0.0303196	0.0143404	0.014641	0.0192734	0.0210024	0.0355756	0.0289223	0.0366491	0.0482455	0.0358555	0.0298817	0.0231636	0.0208995	0.0186773	0.0155776	0.0122842	0.0163556	0.0284968	0.0171572	0.025844	0.029618	0.0369248	0.0401812	0.0359173	0.0344106	0.0277293	0.02145	0.0235495	0.0174582	0.0258013	0.0145723	0.0152411	0.0163045
que	0.00476481	0.0056255	0.00414959	0.00433263	0.00401669	0.00605544	0.00839254	0.0118125	0.0105995	0.00810356	0.00797002	0.00901427	0.0109087	0.0116923	0.015787	0.0145777	0.0226689	0.0299002	0.0357616	0.0378268	0.0372871	0.0464438	0.0456858	0.0384889	0.0454447	0.0424935	0.0372948	0.0407882	0.0323809	0.0374176	0.0376786	0.0448021	0.0379029	0.0272318	0.0287332	0.032418	0.0314123	0.0214681	0.0178228	0.0148893	0.0160201	0.0219348
mon	0.00367204	0.0050772	0.0105462	0.00855529	0.00749431	0.0053047	0.00769558	0.00805126	0.00968102	0.00924091	0.0105616	0.0188334	0.0110146	0.01141	0.0156816	0.0206413	0.0358091	0.0573263	0.0809771	0.079368	0.10698	0.121734	0.0476742	0.043005	0.0342845	0.0405429	0.0242498	0.0197278	0.0177203	0.0178277	0.0121654	0.00963197	0.0102834	0.00546187	0.00768245	0.00556521	0.00701639	0.00687726	0.00933745	0.0076087	0.0130136	0.0146688
âme	0.00559062	0.00441416	0.0035073	0.00222346	0.0023785	0.00272534	0.00842539	0.00969196	0.0109725	0.0181563	0.0137283	0.0214859	0.0191277	0.0218326	0.0444359	0.0508536	0.0470461	0.0714254	0.0566054	0.0445211	0.0501991	0.0621589	0.040276	0.031505	0.0242196	0.0226827	0.0359079	0.030076	0.0266731	0.0112316	0.0105293	0.0137746	0.0132221	0.0164707	0.0145926	0.0166801	0.0254087	0.0116577	0.0244513	0.0116717	0.0162366	0.0312272
se	0.00560719	0.00570991	0.00524481	0.00494	0.00495307	0.00566443	0.00776174	0.0122172	0.00824855	0.0114214	0.013293	0.0118682	0.0189458	0.0217367	0.0288551	0.0333189	0.0287257	0.026169	0.0344065	0.0514337	0.0480064	0.0820506	0.0464843	0.0434471	0.0454635	0.0404373	0.0375773	0.0295156	0.0197585	0.0163666	0.0176307	0.0157199	0.0156735	0.0213503	0.0160121	0.0184587	0.0172624	0.0193159	0.0221625	0.024532	0.0247827	0.0374712
repose	0.00762977	0.0059843	0.00615963	0.00578331	0.00524602	0.00587554	0.00814456	0.0112288	0.00665786	0.0105158	0.00877042	0.0118329	0.021172	0.0208792	0.0248243	0.0274524	0.0259998	0.0252978	0.0260745	0.0350945	0.0305477	0.0401267	0.0354123	0.0360874	0.033109	0.0344218	0.0434614	0.0302939	0.033665	0.0174123	0.0118418	0.0117251	0.00891129	0.0301078	0.0149223	0.0243056	0.034197	0.0253376	0.0427825	0.0306355	0.0554013	0.0746709
dans	0.022598	0.0241619	0.0224102	0.0234626	0.0209616	0.0166048	0.00920802	0.0174345	0.0067262	0.0127129	0.00565584	0.00483302	0.0101083	0.0083836	0.0120238	0.0135566	0.0210724	0.0210975	0.0270958	0.050115	0.0273327	0.0986517	0.0695361	0.0730442	0.0462859	0.0472249	0.0479047	0.0213769	0.0197746	0.0151044	0.0107685	0.00820581	0.00895431	0.0143354	0.0106789	0.0131854	0.0118957	0.0142725	0.0148095	0.0167401	0.0208989	0.0387967
la	0.0133886	0.0133844	0.0312122	0.0222532	0.017303	0.0107057	0.00848842	0.0089891	0.00754805	0.00764532	0.0078955	0.00785234	0.00765475	0.00772096	0.00832418	0.00956285	0.0094371	0.0101103	0.0146711	0.0225032	0.0308634	0.0464713	0.0483823	0.0378177	0.0323749	0.0284023	0.027264	0.0196503	0.0175491	0.0146002	0.0143376	0.0135462	0.0134472	0.0267337	0.0320852	0.0393352	0.0377876	0.0434912	0.0561523	0.0554454	0.0486417	0.0689709
