 	b	á	n	a	b	á	n	d	z	é	s	i	á	s	a	a	l	i	k	y	e	b	h	é	k	y	e	b	h	é	t	s	í	n	a	b	á	a	á	d	z	e	b	á	a	s	a	n	á	á	l	a	b	o	ó	m	á	f	i	a	</S>
de	0.0564734	0.0670053	0.0686537	0.0677177	0.0281099	0.0219666	0.0224776	0.0161836	0.0287152	0.0228598	0.0277068	0.0209122	0.024553	0.0287899	0.0700698	0.0449791	0.0762443	0.0386822	0.0193793	0.00632795	0.00396725	0.0029381	0.00362151	0.00303675	0.00399916	0.00272168	0.00243446	0.00226675	0.00222533	0.00278828	0.00132233	0.00212059	0.00200037	0.00353476	0.00251864	0.0042448	0.00404747	0.00385192	0.00326886	0.00276087	0.00209478	0.00273429	0.00290702	0.00417818	0.00396089	0.00399608	0.00456595	0.00494314	0.00567746	0.00522977	0.0112673	0.0089976	0.0100894	0.0140652	0.0108417	0.0142486	0.0175981	0.016247	0.0150241	0.0138708	0.00998534
petits	0.0832512	0.0557684	0.0429954	0.0416886	0.0414561	0.0474652	0.0476125	0.0418035	0.0350141	0.0334942	0.0259359	0.0133509	0.0159016	0.0117467	0.0164373	0.0146347	0.0114096	0.0123421	0.0117365	0.0108572	0.00991748	0.00830718	0.0117793	0.0141015	0.0144352	0.0132782	0.0103132	0.00906887	0.00745865	0.00652863	0.00324652	0.00943255	0.00639173	0.0123649	0.00955252	0.0110343	0.00989955	0.0159356	0.0151014	0.0122233	0.00780463	0.00771397	0.00878108	0.00992463	0.00820245	0.00733426	0.00736711	0.00635102	0.00345513	0.00411041	0.00654003	0.00727769	0.00792298	0.00911218	0.0104842	0.0103523	0.0143548	0.00971606	0.00783191	0.00863944	0.0114515
enfants	0.0382391	0.0318984	0.0413646	0.0371185	0.0249845	0.0214615	0.0249827	0.0365806	0.0336432	0.0364754	0.0189258	0.0268287	0.0120622	0.0136297	0.0197168	0.0316047	0.0320752	0.0299737	0.0178489	0.014182	0.012245	0.00623409	0.00999604	0.00776151	0.0104011	0.011421	0.00903391	0.0102552	0.0130224	0.0106293	0.00460558	0.0128655	0.00585877	0.0133446	0.0119873	0.0121587	0.013644	0.00948198	0.0136101	0.0102049	0.00936478	0.0110593	0.010531	0.01202	0.0209444	0.0124372	0.011488	0.0160596	0.0126686	0.0104563	0.00913397	0.00927711	0.00892378	0.00920589	0.0109335	0.0154452	0.0157544	0.013224	0.0100745	0.00973205	0.00890936
ont	0.0179846	0.013843	0.0202562	0.0138625	0.0145921	0.0112439	0.0119619	0.0132281	0.0150224	0.0185086	0.0156811	0.0179582	0.0179291	0.0280208	0.0249659	0.0189583	0.0263923	0.0228487	0.0206989	0.0240542	0.0208228	0.0191015	0.0215267	0.0165263	0.0191545	0.0174049	0.0208745	0.0166349	0.0178165	0.0173228	0.0130875	0.0194717	0.0142617	0.0201015	0.01791	0.0192828	0.00979329	0.0151591	0.0121783	0.0134245	0.0106512	0.0111719	0.0131482	0.01838	0.0148723	0.0138077	0.0116305	0.00951359	0.00910559	0.00706344	0.011032	0.0142114	0.0151185	0.0148735	0.013098	0.0202755	0.0167663	0.0110115	0.01024	0.0117977	0.0323643
désacralisé	0.00704349	0.00581924	0.00701381	0.00776054	0.0108555	0.0101692	0.0108665	0.0116435	0.0131915	0.0128721	0.0122495	0.0127548	0.0148545	0.0147288	0.0160559	0.0150825	0.0159085	0.0164838	0.0189521	0.023053	0.0264042	0.0207914	0.0264607	0.0251506	0.0242173	0.0217265	0.02072	0.0180678	0.0167048	0.0140574	0.00682357	0.00945187	0.00549472	0.0136368	0.0117859	0.0132775	0.0153097	0.0162214	0.0155549	0.0172335	0.0109471	0.0154905	0.0144902	0.0254935	0.0267999	0.0242368	0.0225806	0.0231424	0.01528	0.0136481	0.01814	0.0146486	0.0139719	0.01288	0.0166705	0.0197649	0.018409	0.0145862	0.0254271	0.0247037	0.0322398
le	0.00862781	0.00427697	0.00358773	0.0055219	0.00495509	0.00648544	0.00687271	0.00793915	0.00761979	0.0082466	0.00882955	0.00848029	0.00671188	0.00572856	0.00443837	0.00687565	0.00615913	0.00741584	0.00849937	0.0140939	0.0204112	0.0228608	0.0191747	0.0228622	0.0202241	0.0236401	0.0241434	0.0273389	0.0205174	0.0184195	0.029296	0.0235248	0.0263563	0.0176702	0.0254951	0.0149275	0.0261939	0.0233974	0.0266403	0.0263157	0.0272877	0.0309155	0.0270317	0.0210978	0.0265326	0.0319613	0.0286974	0.0181659	0.0179911	0.0163027	0.0135117	0.0150671	0.0154321	0.0144959	0.0138917	0.0127987	0.012415	0.0111238	0.0127837	0.0142416	0.0174798
kyebé-kyebé	0.00596798	0.00426347	0.00400906	0.00658693	0.00533497	0.00649799	0.00576956	0.00624799	0.00493502	0.00542502	0.00557383	0.00502451	0.00309484	0.0035345	0.00363009	0.003925	0.00492322	0.00636735	0.0072216	0.0103002	0.0113573	0.00936196	0.0123452	0.0130837	0.0138507	0.0131691	0.0165081	0.0184333	0.0221548	0.0340025	0.0264488	0.0295045	0.0253377	0.0263263	0.0244648	0.0318323	0.0314738	0.0264221	0.0276103	0.0277328	0.0185211	0.0268886	0.0269563	0.0279859	0.0271989	0.0288117	0.0231194	0.0206024	0.0168151	0.0125608	0.0180541	0.0178728	0.0251653	0.024754	0.022186	0.0175883	0.0143431	0.0107919	0.015091	0.0222492	0.0323909
en	0.00356062	0.00262246	0.00249783	0.00412964	0.00361872	0.00446537	0.00576322	0.00724168	0.00625536	0.00730711	0.00684708	0.00653888	0.00278952	0.00330018	0.00288007	0.00340133	0.00393441	0.00443736	0.00462452	0.00949742	0.0130065	0.0110192	0.0148896	0.0170398	0.0162391	0.0182062	0.0186689	0.0239128	0.022969	0.0291369	0.0335738	0.0413933	0.0424628	0.0242504	0.028825	0.025953	0.0287174	0.0266379	0.0285937	0.0294892	0.0288278	0.0287526	0.0331031	0.0226874	0.0286432	0.0288004	0.0260635	0.0204442	0.0162266	0.0111773	0.0133849	0.0136901	0.0170929	0.0166845	0.0142922	0.0132689	0.0122253	0.00953746	0.012626	0.0155538	0.0262205
s'	0.0207177	0.0117517	0.00885678	0.00641854	0.00610747	0.00510504	0.00526839	0.00620751	0.00736207	0.00718313	0.00608697	0.00683175	0.00716665	0.00789124	0.00866897	0.00877694	0.0095334	0.0103313	0.0114299	0.0138511	0.0145103	0.0188284	0.0149545	0.0198858	0.0183593	0.0262681	0.0190434	0.0287026	0.0229337	0.0219409	0.0436732	0.0499808	0.0499507	0.0245038	0.033263	0.0203704	0.0296535	0.0267908	0.0260554	0.0294977	0.0413007	0.0348113	0.0296035	0.0164	0.0207025	0.0158883	0.00997634	0.00709731	0.00534506	0.00699703	0.00809982	0.00629004	0.00909265	0.00801696	0.00525624	0.00768433	0.00731882	0.00646818	0.00872329	0.0125825	0.0176323
amusant	0.0235806	0.0140198	0.0116537	0.00984557	0.00958068	0.00761043	0.00406396	0.00398315	0.00294257	0.00376642	0.00435996	0.00450774	0.00357985	0.00507154	0.00415856	0.00486255	0.00523706	0.00566985	0.00655431	0.0119381	0.0151523	0.0139949	0.0171027	0.0165058	0.017325	0.0171731	0.0204723	0.020899	0.0224106	0.0265109	0.0317118	0.0253063	0.0231283	0.0244126	0.0216215	0.024755	0.0176924	0.0223791	0.023624	0.0244654	0.021844	0.0287255	0.0243753	0.0304753	0.0239635	0.0336506	0.0245539	0.0176089	0.0127128	0.017444	0.0237236	0.0175872	0.0191322	0.0203273	0.0146002	0.0143877	0.0136476	0.0113324	0.0130296	0.01773	0.025519
