 	y	o	n	g	o	y	á	á	d	z	á	o	k	o	n	d	z	i	y	a	s	í	n	g	a	l	á	m	b	ώ	s	í	á	m	b	o	n	d	z	i	á	b	h	é	m	b	á	á	m	á	p	o	o	m	ó	k	i	p	ó	i	</S>
yongo	0.0111219	0.00885804	0.0104665	0.0108072	0.0304683	0.0251626	0.0466105	0.0450384	0.0529477	0.0768088	0.0574734	0.0616309	0.053386	0.0598937	0.0389926	0.0239904	0.00452919	0.00569721	0.00446817	0.00375582	0.00586904	0.00467688	0.00451609	0.00437045	0.006091	0.00457523	0.00488689	0.00465173	0.00483425	0.00456481	0.00619677	0.00497874	0.00487031	0.00543775	0.00432616	0.00414768	0.00415061	0.00499298	0.00459601	0.00473993	0.00554752	0.00694064	0.00971101	0.0112993	0.00989365	0.00904327	0.0136277	0.017741	0.0195106	0.0173793	0.0281554	0.0135457	0.0129894	0.0152909	0.0121678	0.013452	0.0103691	0.0120115	0.0121231	0.0100058	0.00961483
qui	0.0336709	0.0491303	0.02725	0.0419434	0.0803883	0.0514323	0.0795683	0.0440081	0.0269432	0.0302273	0.0218608	0.0347239	0.0345686	0.0420674	0.0253639	0.0231901	0.015922	0.0138598	0.0161905	0.00400882	0.00436223	0.00332035	0.00422185	0.00501776	0.00559483	0.00597746	0.002606	0.00457844	0.00455492	0.00564006	0.00633444	0.00743426	0.00695864	0.00631453	0.00792928	0.0114601	0.0112329	0.00962508	0.0102918	0.00936044	0.00708493	0.00416326	0.0044616	0.00498848	0.00451023	0.00595389	0.00852978	0.00453006	0.00838841	0.00691753	0.0101319	0.0255579	0.0088191	0.0121409	0.0151349	0.00768156	0.00726018	0.00487638	0.00506588	0.0048262	0.00984367
était	0.0286795	0.0374127	0.0368698	0.0328755	0.0431996	0.0304368	0.029514	0.0335865	0.046156	0.0236182	0.0254146	0.0118591	0.0204107	0.0192435	0.0292222	0.0390204	0.0472423	0.0148806	0.0153794	0.022297	0.0220524	0.0175722	0.0185351	0.0135999	0.00664588	0.00466531	0.00862188	0.00864935	0.00588287	0.00506956	0.00496769	0.00852121	0.0069833	0.00594019	0.00871407	0.00639129	0.00776103	0.00799518	0.00532509	0.00672225	0.00832158	0.0089395	0.00958098	0.0104211	0.0116952	0.0112611	0.0108726	0.0122797	0.0103646	0.0108153	0.0126559	0.0124445	0.0107723	0.0107656	0.0122218	0.0166089	0.00814654	0.0120875	0.0111907	0.00990214	0.0107185
chef	0.0112407	0.0123791	0.0122347	0.0127245	0.0152611	0.0136799	0.0129321	0.0178152	0.0143777	0.00898902	0.00919367	0.00520981	0.0094335	0.0097034	0.0123518	0.0146099	0.0196258	0.0306982	0.0306913	0.0341499	0.0287603	0.0315018	0.0221751	0.0243257	0.0149564	0.0160753	0.0129455	0.0122642	0.0133458	0.0111933	0.0096143	0.0091119	0.00906609	0.0106382	0.0077316	0.00786614	0.006662	0.0086898	0.0160075	0.0106988	0.0181958	0.00872107	0.0114761	0.0132102	0.0211657	0.0172343	0.0178465	0.0152832	0.0157688	0.0195106	0.0115033	0.0192719	0.0202702	0.022326	0.0216161	0.0386547	0.0234477	0.025847	0.0225782	0.0233076	0.0218339
de	0.0165474	0.0107799	0.00821773	0.00778476	0.008835	0.010451	0.00977601	0.0118004	0.0107682	0.00998886	0.0102622	0.0107535	0.0130438	0.018259	0.019278	0.0256606	0.0367111	0.0444475	0.0287648	0.026404	0.0195217	0.0199888	0.0184068	0.019015	0.0176031	0.017213	0.0137005	0.016558	0.0171147	0.0177975	0.0150515	0.0170112	0.0195061	0.0155321	0.0169516	0.0157835	0.0151824	0.0201288	0.0238243	0.0223596	0.021039	0.0161061	0.0181367	0.0145645	0.0182876	0.0129592	0.0160115	0.00967761	0.0139588	0.0150469	0.0124464	0.0123416	0.0126959	0.0129208	0.00829118	0.0114492	0.00876459	0.0119145	0.0145936	0.0187493	0.0232611
can	0.00331691	0.00493511	0.00575293	0.00689048	0.00597962	0.00779254	0.00827767	0.00727013	0.0087174	0.00768386	0.0105653	0.00929783	0.0103298	0.0103542	0.0147582	0.0117734	0.0136457	0.018735	0.0124303	0.0197802	0.0127529	0.0120919	0.0192012	0.0207267	0.0222459	0.0117675	0.0204855	0.01334	0.0177765	0.014566	0.0178857	0.0198022	0.0217591	0.0139255	0.0195268	0.0140797	0.0167169	0.02046	0.0175055	0.0244467	0.0214085	0.022515	0.0283086	0.0222619	0.0242279	0.0186693	0.0258458	0.0195196	0.0277841	0.0235879	0.0226152	0.0275368	0.0233194	0.0266541	0.0187743	0.0188217	0.0155788	0.0156798	0.0174002	0.01439	0.0157524
ton	0.0104757	0.00698107	0.00642084	0.00678619	0.00600536	0.00835105	0.00977096	0.0102619	0.0111652	0.00791236	0.0130457	0.00870829	0.00967068	0.00895817	0.0134382	0.0127551	0.0139386	0.023587	0.0161961	0.0264598	0.0176188	0.0249187	0.022093	0.0184992	0.0162081	0.0111335	0.0191229	0.0125756	0.0141043	0.0125436	0.0142007	0.0196383	0.0188325	0.0119774	0.0176554	0.0131752	0.0173374	0.0178401	0.01791	0.0261425	0.0210675	0.0174414	0.0219001	0.0211592	0.0189051	0.0182299	0.022865	0.0210362	0.0207609	0.0253077	0.0227582	0.0168829	0.0223803	0.0290745	0.017346	0.0238828	0.0171655	0.0145252	0.0175566	0.0145636	0.0207758
mbochi	0.0161315	0.0116869	0.0109169	0.010344	0.00746728	0.0104129	0.0109586	0.0100133	0.00734385	0.00747202	0.00823653	0.00801911	0.0090609	0.0105967	0.0120862	0.0135496	0.0171356	0.0191833	0.0120941	0.0136271	0.0147696	0.0159244	0.0145579	0.0286282	0.0247647	0.0228842	0.028561	0.0260534	0.0278124	0.025764	0.0277669	0.0417625	0.0261668	0.023022	0.0210115	0.0148327	0.0128338	0.0174088	0.0149248	0.0160884	0.0172651	0.0178024	0.0208712	0.0196384	0.0197854	0.0175744	0.0160325	0.0144115	0.015989	0.0118218	0.0146973	0.0151692	0.00995055	0.0110947	0.0107376	0.00886366	0.0132713	0.0145394	0.0166557	0.0171036	0.0248508
voyageait	0.00857732	0.00350553	0.00293062	0.00266346	0.001962	0.00306622	0.00305168	0.00213057	0.00150609	0.00161834	0.00234466	0.00129934	0.00177519	0.00293579	0.00426598	0.00807114	0.0206465	0.0302567	0.0290604	0.0294848	0.0287439	0.0332102	0.031371	0.0427773	0.025269	0.0242167	0.0289409	0.0353066	0.0332468	0.0381336	0.0273576	0.0252366	0.0224814	0.0265244	0.0258839	0.0227804	0.0224666	0.0209141	0.0152755	0.0141415	0.0193463	0.0202535	0.0214313	0.0220603	0.0241027	0.0207681	0.0189939	0.014129	0.0131625	0.0104189	0.00939624	0.0109099	0.00967484	0.0111077	0.00825037	0.00958894	0.00450552	0.00783645	0.00827174	0.00915024	0.0212111
toujours	0.0351625	0.0172955	0.0102774	0.00953965	0.00626792	0.00663223	0.00463668	0.00480334	0.00460274	0.00446954	0.0045329	0.00471872	0.00470604	0.00697673	0.00634956	0.00913425	0.0114902	0.0188435	0.0159446	0.0225332	0.0158686	0.0204732	0.0167006	0.0226471	0.0197401	0.0194846	0.0215333	0.0238349	0.0183457	0.0216641	0.0203748	0.0224652	0.0242665	0.0208173	0.0244268	0.0260706	0.0251604	0.022249	0.0281549	0.0296832	0.0249936	0.0220471	0.0169698	0.0161453	0.0141454	0.012317	0.0140553	0.0121515	0.0124782	0.0118934	0.0150641	0.0088382	0.00998481	0.0108088	0.00821434	0.010451	0.0151593	0.0247782	0.0272881	0.0244926	0.0348459
en	0.031828	0.0131094	0.00754849	0.00726829	0.00621092	0.00637717	0.00422594	0.0037392	0.00281427	0.00310934	0.00277772	0.00206831	0.00250606	0.00355456	0.00427031	0.00566362	0.0128995	0.0231232	0.0244604	0.0213631	0.0169208	0.0191333	0.0166412	0.0222645	0.0188302	0.0212128	0.0229118	0.0259275	0.0209927	0.0240404	0.0212707	0.0234251	0.0215722	0.022514	0.0245012	0.0263844	0.0242456	0.0212255	0.0223857	0.0192789	0.0215516	0.0218953	0.0191524	0.0186316	0.0183924	0.0147279	0.0196442	0.0172628	0.0161126	0.0143779	0.0161131	0.0191985	0.0133395	0.0127328	0.0100255	0.0105954	0.0125174	0.0225872	0.0220084	0.0272077	0.0273293
chaise	0.0177252	0.00854293	0.00465326	0.00406934	0.00439229	0.00363902	0.00423625	0.00279243	0.00270745	0.00316323	0.00272337	0.00323204	0.00382355	0.00528299	0.00478378	0.00565778	0.0129101	0.0263739	0.0358682	0.0234873	0.0159054	0.0157848	0.012371	0.0228195	0.01729	0.0275387	0.0339286	0.0398687	0.0227998	0.0244232	0.025196	0.0341989	0.0283944	0.028259	0.02796	0.0313408	0.0190464	0.0135133	0.0230498	0.020795	0.0203269	0.0198836	0.0139726	0.0166937	0.0139019	0.0128036	0.0164849	0.0179813	0.0143948	0.0137669	0.0166452	0.0131993	0.00805697	0.00986549	0.00820197	0.0076039	0.0121596	0.0204864	0.0226701	0.0278793	0.0284736
à	0.0633989	0.0344435	0.0243015	0.0274249	0.017888	0.0168974	0.0114195	0.00794908	0.00448545	0.00325383	0.00391098	0.00282226	0.00294185	0.00331996	0.00300036	0.00416039	0.00765703	0.0127623	0.014926	0.0115217	0.0132558	0.0163025	0.0127125	0.0261774	0.0133048	0.0179625	0.0160682	0.0312771	0.0184316	0.0322364	0.0184051	0.0254629	0.0200677	0.0241293	0.0216913	0.025659	0.019901	0.0158448	0.0203627	0.0122935	0.0168185	0.0154226	0.0126437	0.0139754	0.0146972	0.0120865	0.0131808	0.0105703	0.0112731	0.0110128	0.0180287	0.0178157	0.0211602	0.0221421	0.0150586	0.0100564	0.0120696	0.0133231	0.0144871	0.0139101	0.0302364
porteurs	0.0213689	0.013724	0.0114491	0.0140052	0.0111123	0.0131766	0.012535	0.00877506	0.00682612	0.00734825	0.00679268	0.00662508	0.00533496	0.00710646	0.00485727	0.00679757	0.00959585	0.0170668	0.0116767	0.0146982	0.0128202	0.00972842	0.0126328	0.0162997	0.0145148	0.0162104	0.0174426	0.0213776	0.0165391	0.0207935	0.0187795	0.0202474	0.0233287	0.0253844	0.020389	0.0252079	0.0177661	0.0138246	0.0190504	0.0148683	0.0176268	0.0167347	0.0203449	0.0177502	0.0234985	0.0188188	0.0185736	0.0176835	0.0198324	0.0210399	0.0276894	0.0280795	0.015872	0.0133013	0.0143206	0.010893	0.0209611	0.0269752	0.0297862	0.0293847	0.0227565
dans	0.0179148	0.0128847	0.0116252	0.0112392	0.0107504	0.00996691	0.00783871	0.00605218	0.00583366	0.00343772	0.00496525	0.00353783	0.00378098	0.00583599	0.00406584	0.00727856	0.015988	0.0154685	0.0181266	0.0198865	0.0220707	0.016439	0.0189724	0.0220038	0.0206839	0.0254674	0.0220489	0.0299816	0.0262932	0.0271426	0.0212364	0.0182159	0.0214164	0.0275478	0.0223373	0.0279015	0.0227741	0.0196001	0.0200752	0.0161199	0.0194984	0.0214933	0.0186819	0.0174918	0.0188283	0.0211501	0.0169387	0.0197471	0.0131478	0.0109123	0.0095909	0.0105881	0.0124975	0.0134022	0.01472	0.0100909	0.0130616	0.0143542	0.0153965	0.0232071	0.0403957
son	0.0132351	0.0133533	0.0117625	0.0128589	0.00765275	0.010162	0.0116285	0.0131844	0.0152392	0.00777255	0.0117908	0.00723694	0.00710746	0.00918284	0.00541046	0.00899146	0.0106869	0.0129036	0.0115354	0.0182587	0.0156015	0.0145465	0.0143113	0.0184502	0.0154286	0.0172524	0.021538	0.0236349	0.0171617	0.018934	0.0166777	0.0168206	0.0181223	0.0204335	0.0183068	0.0226048	0.0192123	0.0171449	0.0225322	0.0223243	0.0216297	0.020163	0.016526	0.0137262	0.0137309	0.013788	0.0101904	0.0116513	0.0109248	0.013446	0.0171901	0.0129748	0.0180387	0.0183549	0.0179979	0.0117596	0.029136	0.0375741	0.0411333	0.0306737	0.0283981
fief	0.0161407	0.00824031	0.00648243	0.00953016	0.00677456	0.0057756	0.0069173	0.0063814	0.0069461	0.00423919	0.00539085	0.00465106	0.00521434	0.00629084	0.00382613	0.00553485	0.00517225	0.00717144	0.0119934	0.0118326	0.0138678	0.0142357	0.0114161	0.0260522	0.019303	0.0315514	0.0301313	0.0478861	0.0265416	0.0339767	0.0233153	0.0323316	0.0273471	0.0318674	0.0260311	0.0342644	0.0200372	0.0160819	0.0301638	0.0233206	0.0225974	0.0228995	0.0122676	0.0110887	0.0101803	0.00992303	0.00861357	0.0092231	0.00825334	0.00797786	0.00945486	0.00848386	0.00912865	0.00887141	0.0086273	0.00784605	0.0125312	0.0232287	0.0270799	0.0268005	0.0706954
</S>	0.0143639	0.0105095	0.010022	0.0114087	0.00669445	0.00732504	0.00804476	0.00510968	0.00531572	0.0039696	0.00426859	0.00406215	0.00413793	0.00475068	0.00475021	0.00560753	0.00956808	0.014164	0.0206963	0.02536	0.028781	0.0188675	0.0164727	0.0213017	0.0167215	0.0205075	0.0292797	0.0239387	0.0234921	0.0186162	0.0204512	0.0198842	0.0211001	0.0284031	0.0167831	0.0192058	0.0150197	0.0148577	0.0194798	0.015701	0.0193073	0.0189159	0.0167393	0.0180492	0.0168044	0.0192682	0.0178009	0.0250204	0.0145637	0.0136768	0.0117192	0.0132704	0.0135808	0.0155467	0.0153361	0.011227	0.0245305	0.0215426	0.0270673	0.036549	0.0404909
