 	m	o	r	o	w	ó	á	m	i	s	u	l	á	o	s	á	á	m	á	w	a	</S>
cet	0.0208429	0.0147717	0.0110215	0.00991862	0.00788555	0.00780292	0.0251016	0.0166142	0.0491563	0.0790418	0.138425	0.0974541	0.0863649	0.0582488	0.037612	0.0504797	0.0509118	0.0495404	0.0474123	0.0483397	0.0573721	0.0356827
homme	0.168213	0.234577	0.192508	0.0842649	0.160628	0.0452823	0.0597874	0.00653487	0.00867915	0.0138845	0.00443829	0.00237049	0.00228983	0.00261761	0.00231098	0.00174472	0.00290336	0.0017843	0.00135863	0.00197799	0.000720706	0.00112436
a	0.0707118	0.0665465	0.0820967	0.0358984	0.0387246	0.0304372	0.0407038	0.0640953	0.0454762	0.0457787	0.0786936	0.0763447	0.0501352	0.0554696	0.0321669	0.0471101	0.0229878	0.0145578	0.0288195	0.0268693	0.0286948	0.0176816
mis	0.0130878	0.0251565	0.0449488	0.0574641	0.0535579	0.0537784	0.0529014	0.0801238	0.0414527	0.0553299	0.0507282	0.0434285	0.0517369	0.0236213	0.0670038	0.0384816	0.0342431	0.0456814	0.0323535	0.047672	0.0408287	0.0464196
un	0.0603005	0.0571481	0.0468315	0.0526281	0.052743	0.0474749	0.0400182	0.045887	0.0404621	0.0359067	0.0316964	0.0401509	0.0380535	0.0354815	0.0492896	0.0348615	0.0368398	0.0360288	0.0354816	0.0475181	0.0430287	0.0921692
gris-gris	0.0596083	0.0441694	0.0329913	0.0426309	0.0434836	0.0364722	0.0380551	0.0248869	0.0466859	0.0441199	0.0698758	0.0677587	0.0466912	0.0909921	0.0691011	0.0291552	0.0420783	0.034502	0.0173115	0.0264324	0.0181213	0.0748768
dans	0.0529835	0.0334255	0.0261896	0.0242527	0.0259408	0.0260013	0.0256651	0.0257734	0.0444448	0.0379118	0.0762084	0.098959	0.0693474	0.101213	0.0587338	0.0188404	0.0337477	0.0275021	0.015404	0.0395587	0.0288514	0.109046
son	0.0242727	0.0269915	0.0281845	0.0322292	0.0285541	0.0305329	0.0306298	0.0220579	0.0390117	0.0325978	0.0517326	0.0375853	0.034766	0.0356588	0.0441624	0.0394682	0.0612429	0.0719539	0.0613289	0.0788956	0.0801858	0.107957
safoutier	0.0605151	0.054188	0.0524664	0.0471711	0.0344586	0.0268315	0.0233337	0.0140347	0.0156113	0.012643	0.0233889	0.02717	0.0187606	0.0274936	0.028211	0.019496	0.050707	0.0477117	0.0404532	0.0954159	0.0736805	0.206258
</S>	0.137606	0.132575	0.115538	0.0698946	0.0603579	0.0376463	0.0323717	0.0454978	0.0191763	0.020885	0.0187016	0.0179452	0.0166481	0.0148032	0.0188928	0.0121986	0.0276844	0.032097	0.017598	0.0322643	0.0361688	0.0834498
