 	w	á	á	l	e	b	á	á	n	d	í	i	s	á	l	a	b	h	á	o	k	ώ	b	h	i	o	b	o	s	ó	t	í	w	a	</S>
si	0.118029	0.145511	0.0730575	0.0488618	0.0478536	0.0322511	0.0243831	0.0269474	0.0182544	0.0108522	0.0109421	0.0135206	0.00521733	0.0144584	0.0168409	0.0603939	0.0448466	0.0488472	0.0295699	0.0388556	0.0164041	0.0287984	0.0124659	0.0104937	0.0119324	0.00428357	0.00558828	0.00517372	0.00812354	0.00917587	0.0111912	0.0145679	0.00640134	0.0163302	0.00957682
on	0.0757406	0.0220714	0.0175921	0.00667231	0.0212411	0.0246793	0.0353945	0.0261961	0.0640437	0.0384312	0.0945228	0.056477	0.0638115	0.0652163	0.0408398	0.0923225	0.0746865	0.0479026	0.0247789	0.0153643	0.0108884	0.0116609	0.0106344	0.00440134	0.00418697	0.00427274	0.00450166	0.00299382	0.00379529	0.00325808	0.0039621	0.00211904	0.0034795	0.00399404	0.0178673
commence	0.00717045	0.0098724	0.0241914	0.0325459	0.014776	0.00869379	0.00945925	0.0122294	0.0171794	0.0252147	0.0236373	0.0271128	0.0346754	0.0835541	0.0788308	0.0784947	0.0495485	0.0616015	0.0338755	0.0275848	0.0316111	0.0282111	0.0264601	0.0282937	0.0244675	0.0113174	0.0232854	0.0160556	0.022469	0.0151066	0.0209899	0.0139015	0.0276581	0.0259322	0.0239924
le	0.0126871	0.0143094	0.0144521	0.016687	0.0100526	0.0123425	0.00992198	0.0105952	0.0138499	0.0199208	0.0127735	0.00838528	0.0200152	0.0328607	0.0408986	0.0377432	0.0197239	0.0522457	0.0438246	0.0629385	0.0539207	0.0726661	0.0519694	0.0634119	0.0730284	0.0211857	0.0385204	0.0257931	0.0170726	0.0168078	0.0150406	0.00789031	0.00996337	0.0148979	0.051604
travail	0.0117807	0.0213525	0.0256064	0.0294457	0.0280945	0.0278209	0.0278935	0.0327829	0.0267491	0.0218505	0.0259204	0.0160714	0.0114049	0.0169732	0.0188804	0.0172279	0.0108373	0.0189137	0.0146722	0.0145909	0.0110289	0.0171529	0.0242725	0.0349168	0.0375628	0.0442423	0.0504088	0.0499139	0.0432865	0.0478463	0.0416425	0.0284493	0.0446544	0.0218416	0.0839111
c'	0.00678096	0.00801725	0.00861841	0.0163832	0.0216554	0.0253833	0.0279671	0.0322827	0.0300497	0.0391176	0.0397012	0.0275297	0.0239737	0.0211377	0.0242122	0.0191848	0.0171989	0.0152227	0.0255942	0.0230464	0.0344802	0.0281881	0.0353808	0.0315232	0.0349669	0.0347255	0.03887	0.0354187	0.043068	0.0352236	0.0292319	0.0250489	0.043525	0.0309921	0.0662999
est	0.00866245	0.00599579	0.00804923	0.0080599	0.0139023	0.0191599	0.017274	0.025474	0.0355936	0.0353092	0.0508703	0.0340329	0.0478652	0.0389107	0.033646	0.0316935	0.0216562	0.0218987	0.0236471	0.0224603	0.0354803	0.0308008	0.0310908	0.0398741	0.0371205	0.0362664	0.0422318	0.0318061	0.04401	0.0292969	0.0209979	0.0192305	0.017148	0.0189629	0.0615216
bien	0.022457	0.0156688	0.0159094	0.0151707	0.0161735	0.0277393	0.0242145	0.0155857	0.0198219	0.0394854	0.0291218	0.0232927	0.0305531	0.0251957	0.0231772	0.0179538	0.0145135	0.0229571	0.038339	0.0339953	0.0470847	0.0485594	0.0675178	0.0351346	0.0249463	0.0348228	0.0249286	0.0279305	0.022474	0.0252684	0.0284386	0.0242322	0.0152562	0.0284798	0.0736007
lui	0.0361804	0.0218949	0.0276983	0.0215709	0.0199048	0.0196836	0.0148902	0.00960344	0.0137939	0.0217187	0.0235363	0.0206853	0.0306889	0.0335827	0.0321934	0.0285022	0.0167485	0.0305454	0.0350908	0.0447801	0.0450681	0.0405932	0.0359587	0.0268952	0.0217355	0.016156	0.0220207	0.0255026	0.0284603	0.0316527	0.0364905	0.0250792	0.0165077	0.0377114	0.0868757
qui	0.0263365	0.0193914	0.0248945	0.0280954	0.027164	0.0269412	0.0148408	0.00883474	0.00956572	0.0123193	0.0135105	0.0112809	0.0181097	0.0203659	0.0191749	0.0159134	0.0104784	0.0185545	0.0233076	0.0353214	0.0361647	0.0315425	0.0286226	0.0306793	0.0289262	0.0224019	0.029314	0.0326406	0.0351878	0.0410018	0.0552409	0.040467	0.0357178	0.0486986	0.118994
