 	l	a	t	s	ó	n	g	a	m	a	s	í	a	y	í	í	á	d	í	b	o	l	i	b	o	l	i	</S>
pendant	0.0147013	0.0128316	0.0157591	0.0104944	0.0178288	0.0392189	0.057788	0.034237	0.0589772	0.0549279	0.0547148	0.0448829	0.0564165	0.0480987	0.0432003	0.0588694	0.0523522	0.0430483	0.0470597	0.0330315	0.0293123	0.0330407	0.028966	0.0246247	0.0211145	0.0282829	0.0208278	0.0153926
la	0.0693664	0.0412009	0.0248227	0.0328497	0.0602303	0.0278151	0.0226681	0.0111975	0.0176237	0.0115656	0.0175225	0.0107218	0.0165352	0.0513188	0.0565814	0.0885273	0.0506687	0.0550705	0.0682269	0.0510255	0.0301052	0.0265889	0.0278788	0.0251396	0.0137746	0.0184908	0.0143367	0.0581467
saison	0.0327072	0.040238	0.0321748	0.0487896	0.0477881	0.0417686	0.0367984	0.0341842	0.0445806	0.0254543	0.0133588	0.0066198	0.00759722	0.0145143	0.0234681	0.0461389	0.0650465	0.0482805	0.0765124	0.053394	0.0502679	0.0407359	0.0515052	0.034079	0.0245776	0.014547	0.0147457	0.0301273
de	0.0304129	0.0239421	0.0359005	0.0298374	0.0233208	0.0166436	0.0116397	0.0129797	0.018614	0.0275094	0.0337179	0.0370548	0.0443019	0.0511848	0.0445716	0.0312656	0.0264779	0.0317769	0.035835	0.0388836	0.038261	0.0538443	0.0533871	0.0467296	0.0400023	0.0352213	0.0502255	0.0764588
grandes	0.0635798	0.0438096	0.0541628	0.056748	0.0526144	0.0522639	0.0376102	0.0409365	0.0344146	0.0404515	0.0343414	0.0214835	0.0278233	0.0242638	0.0202257	0.0194274	0.0158057	0.0202716	0.0154581	0.0211696	0.01781	0.034281	0.0228773	0.0276358	0.0224524	0.0401471	0.0355318	0.102403
pluies	0.0189294	0.0192703	0.022047	0.0256507	0.0328045	0.035036	0.0515309	0.0505578	0.0461896	0.0452692	0.0365326	0.0164578	0.0145205	0.0185152	0.025594	0.0163755	0.0182156	0.0257706	0.0274188	0.0346114	0.0369641	0.0498646	0.0434455	0.044439	0.0523993	0.0423064	0.0465957	0.102688
la	0.0276952	0.0246258	0.0219737	0.021865	0.0212965	0.0202932	0.0153868	0.0108461	0.0112467	0.00927803	0.00874893	0.00804597	0.00852761	0.00973726	0.0116356	0.0166152	0.0342803	0.0442389	0.0476657	0.0609539	0.0615197	0.0672565	0.0676377	0.07022	0.0730402	0.0728143	0.0727329	0.0798223
température	0.0636184	0.0317419	0.0309555	0.0293262	0.0198726	0.0153884	0.00949331	0.00617494	0.00657946	0.0083069	0.00924228	0.0176547	0.031593	0.042099	0.0364786	0.0338046	0.0344056	0.0400048	0.0339154	0.0306743	0.0390613	0.0525327	0.0386393	0.047925	0.0577493	0.0619825	0.0544569	0.116323
est	0.0704803	0.043698	0.035357	0.022662	0.0124221	0.0115136	0.00813796	0.00798467	0.00846969	0.0152113	0.0164706	0.014124	0.0232447	0.0228	0.0174253	0.0142085	0.0174492	0.024737	0.0355804	0.0307455	0.0434071	0.0542049	0.0647405	0.0582369	0.0796439	0.064502	0.0725635	0.109979
souvent	0.0476264	0.04078	0.0270409	0.0203339	0.0125144	0.0100994	0.00636539	0.00716759	0.00587928	0.00930812	0.0106942	0.0100049	0.0138181	0.0220646	0.0151359	0.0129007	0.0127047	0.0282543	0.0369884	0.0316824	0.0633898	0.0456894	0.0799623	0.0730114	0.0753616	0.0647496	0.0964242	0.120048
douce	0.044571	0.0372658	0.0210841	0.0189146	0.0144653	0.0105049	0.00911176	0.00965108	0.00900161	0.00870225	0.00845456	0.00657228	0.00704195	0.00973062	0.010224	0.0080943	0.0131155	0.0226914	0.0303924	0.0352206	0.0565975	0.0651302	0.0783262	0.0758424	0.0850829	0.0878537	0.101018	0.115339
</S>	0.0513984	0.0398993	0.030418	0.0311957	0.0267477	0.0227294	0.0164548	0.0128244	0.00914498	0.00616181	0.00538827	0.00430813	0.00418356	0.00400162	0.00458074	0.00671081	0.0134582	0.0205905	0.0285838	0.0567036	0.0564368	0.0828439	0.0838498	0.0644071	0.0535216	0.0701819	0.089347	0.103928
