 	o	d	i	m	í	á	l	a	a	s	i	n	g	á	e	b	é	e	y	é	é	b	o	m	b	í	n	g	ó	o	b	e	a	b	á	n	g	á	</S>
mon	0.011576	0.0133859	0.0145951	0.0192884	0.0191627	0.017073	0.0218611	0.0199199	0.0403078	0.0310546	0.0290813	0.0367109	0.0288222	0.0525379	0.0345158	0.0247008	0.0229562	0.0160644	0.0160235	0.0160547	0.0153213	0.0169394	0.0175603	0.0115197	0.016358	0.0234686	0.0273781	0.0280296	0.0354332	0.0228156	0.0199488	0.0204831	0.0357317	0.040644	0.0260795	0.0438105	0.0392155	0.0422537	0.0313172
petit	0.0501088	0.101446	0.111001	0.194273	0.0776018	0.051991	0.0377739	0.0345274	0.0744373	0.0617079	0.0251603	0.0350037	0.0160986	0.0165549	0.00633323	0.00665161	0.00394007	0.00355182	0.00368661	0.0035583	0.00278578	0.00237328	0.00517103	0.00281105	0.00333912	0.00492101	0.00365909	0.00214616	0.00960757	0.00951115	0.00989972	0.00384667	0.00533475	0.0035188	0.00395387	0.00311901	0.00313788	0.00347948	0.00197706
frère	0.0514052	0.0478076	0.0424836	0.0462078	0.028905	0.0221756	0.0297918	0.0197716	0.0105824	0.0206269	0.0230402	0.034821	0.0532307	0.0360624	0.0284698	0.0202474	0.0172861	0.00962831	0.00816006	0.0114269	0.0149315	0.0194499	0.0286382	0.0236922	0.0261366	0.0277054	0.0313435	0.0299697	0.0197305	0.0302542	0.0308748	0.0275335	0.0389481	0.0300701	0.0108834	0.0161788	0.0116811	0.0122772	0.00757095
m'	0.028153	0.0400685	0.0373112	0.0306257	0.0305088	0.0425689	0.0347664	0.0209153	0.0157892	0.0140344	0.0169822	0.0282412	0.0370423	0.0262521	0.022406	0.0229464	0.0242066	0.0240098	0.0219295	0.0307716	0.0354992	0.036653	0.0262479	0.0315777	0.0255362	0.0221292	0.0251012	0.019957	0.0193473	0.0237447	0.0211596	0.0137417	0.00931452	0.011263	0.0189152	0.0145324	0.0211422	0.0263165	0.0482924
a	0.0429009	0.0372084	0.0382458	0.03573	0.0312584	0.0217894	0.0201158	0.0150303	0.0159278	0.0173432	0.0178244	0.0183289	0.0181173	0.0235602	0.0239581	0.028568	0.0493511	0.0477659	0.0451544	0.0709388	0.0641709	0.0393345	0.0284944	0.0229247	0.0171109	0.0142701	0.0123148	0.00729037	0.00859192	0.00948667	0.0118548	0.0104875	0.00692554	0.00851317	0.00918777	0.0125858	0.0153931	0.0175987	0.064347
montré	0.0317546	0.0300941	0.0270231	0.0185157	0.0132454	0.0117518	0.00993028	0.00943701	0.00919951	0.00873305	0.0065363	0.00705299	0.00774274	0.0132253	0.0232463	0.0340858	0.0844411	0.0959419	0.113766	0.103086	0.0729945	0.0338194	0.0247358	0.0153697	0.014677	0.0151976	0.00891993	0.00632774	0.00770295	0.0115904	0.0146839	0.00990511	0.0111693	0.00658477	0.0129832	0.0151463	0.0135451	0.015327	0.030511
l'	0.019968	0.0156748	0.0150253	0.0131428	0.0120725	0.0122724	0.0124458	0.0141145	0.0133518	0.0137669	0.00835549	0.00745672	0.00440637	0.00656285	0.0120334	0.0190511	0.0596174	0.0599515	0.062913	0.0752069	0.0631405	0.0349489	0.0298843	0.0242644	0.028222	0.0319458	0.0187262	0.0166396	0.0387283	0.045474	0.0322271	0.0260322	0.0272528	0.0237718	0.012481	0.0235982	0.0154661	0.0173904	0.0324168
endroit	0.0326188	0.035707	0.0357093	0.0292682	0.0191035	0.0177363	0.0124283	0.0184423	0.0129214	0.0128696	0.0115801	0.0120856	0.0143692	0.0174708	0.0271619	0.0352943	0.0458188	0.0616025	0.0451421	0.037005	0.0161932	0.00682847	0.00564018	0.00583281	0.00458986	0.00688586	0.00664687	0.00891457	0.024349	0.0493288	0.0460386	0.0403406	0.0245356	0.0235593	0.0136695	0.0370667	0.0228421	0.0250073	0.0973957
où	0.0272939	0.0152913	0.0139045	0.010156	0.00692606	0.00567956	0.00643829	0.00804824	0.00532267	0.0060122	0.00553429	0.00616076	0.00600001	0.00570099	0.012347	0.0217064	0.0443946	0.0630257	0.0601076	0.0667778	0.0674312	0.0601543	0.0427488	0.0383708	0.040309	0.0284148	0.0276643	0.030209	0.0325695	0.0596456	0.0316137	0.0233234	0.00854181	0.0124981	0.0122407	0.0123912	0.0195939	0.0169936	0.0384587
maman	0.0666738	0.0449938	0.0337197	0.0193276	0.0111079	0.0112673	0.0094261	0.0104579	0.00798141	0.00662027	0.00429351	0.00594211	0.00935851	0.0175168	0.0290762	0.0340474	0.0410162	0.0421018	0.042969	0.0413037	0.0423445	0.030108	0.0359759	0.0154449	0.0165002	0.0255181	0.0200227	0.0174758	0.0247816	0.0238081	0.0256351	0.0183186	0.0213131	0.0236016	0.0236953	0.0250508	0.0287964	0.033998	0.05841
a	0.0480578	0.0325548	0.0227782	0.0126316	0.00577627	0.0066114	0.00493451	0.00445212	0.00279881	0.0022301	0.00223945	0.003131	0.00792019	0.00956004	0.0143164	0.0227892	0.0408941	0.0665979	0.0640597	0.0658569	0.0539949	0.0378038	0.0240538	0.0167316	0.0184148	0.0268151	0.0238325	0.0196136	0.0294265	0.0317163	0.0365698	0.0155865	0.0109356	0.0169502	0.0244923	0.0239629	0.0401555	0.0344814	0.0742721
gardé	0.0879613	0.0298203	0.0163836	0.0107837	0.00678129	0.00597092	0.0040923	0.00342958	0.00281873	0.00279751	0.0029383	0.00299961	0.0056045	0.00799915	0.0134764	0.0193359	0.0305473	0.0420912	0.0361171	0.0416026	0.0333478	0.0252609	0.0198766	0.0180243	0.0206555	0.027649	0.0275494	0.0244826	0.0265412	0.0346237	0.0350103	0.0256489	0.018176	0.0249808	0.0278928	0.0394655	0.0683111	0.0476649	0.0812871
ma	0.0333163	0.0335423	0.0263617	0.0171432	0.0131336	0.0152764	0.0136617	0.0153956	0.0118442	0.011494	0.0115841	0.0160565	0.0194218	0.0225997	0.0260492	0.0286741	0.0304816	0.0366335	0.0322531	0.0435983	0.0442543	0.0362858	0.0214939	0.0227567	0.016015	0.0166772	0.0138418	0.0116678	0.0120481	0.0132486	0.0167551	0.0208758	0.019499	0.0290182	0.036552	0.0367266	0.0458505	0.0464148	0.0814978
nourriture	0.0527226	0.0261328	0.0149799	0.0116311	0.0105833	0.008895	0.00624842	0.00448422	0.0036382	0.00382517	0.0056668	0.0049681	0.00617694	0.00796602	0.011723	0.0156048	0.0180497	0.0278953	0.0230312	0.0214726	0.0187224	0.0138975	0.00854978	0.00827213	0.0080675	0.0086225	0.00853176	0.0110615	0.0133421	0.0134714	0.0130876	0.0159298	0.0177166	0.0383703	0.0352774	0.0552724	0.134783	0.0936876	0.197641
</S>	0.0413128	0.0311613	0.0207084	0.00869023	0.00921329	0.0152288	0.0137032	0.013288	0.0100399	0.0100766	0.00901485	0.0123471	0.0163901	0.0208949	0.022241	0.024455	0.0212754	0.0299892	0.0286987	0.0391957	0.040296	0.0357306	0.0306384	0.0300956	0.0294114	0.0374564	0.0366066	0.0336596	0.0204218	0.0224722	0.0237265	0.0145531	0.0121602	0.0240451	0.0313487	0.0255299	0.0336227	0.0355571	0.0847437
