 	w	a	á	s	ó	m	b	i	n	g	á	o	k	á	n	d	á	d	z	a	a	m	ó	m	y	e	r	é	m	á	k	o	o	</S>
il	0.254645	0.259118	0.165425	0.0774424	0.0704982	0.0528637	0.00551151	0.00445149	0.00449612	0.00504471	0.00493678	0.00290479	0.00341678	0.00432567	0.00481647	0.00430696	0.00329889	0.00229842	0.002621	0.00225491	0.00224083	0.00364454	0.00311229	0.00457861	0.00504024	0.00566987	0.00938732	0.006688	0.00600841	0.00515072	0.004233	0.00346129	0.00356517	0.00254245
m'	0.0235885	0.0141207	0.0163538	0.0278685	0.0449078	0.0773528	0.0576409	0.0469282	0.0696299	0.0807106	0.0660079	0.0628364	0.0487891	0.0300288	0.0165524	0.0143368	0.0181304	0.0372354	0.0535813	0.0337198	0.0324621	0.0179327	0.0201902	0.0146366	0.00743547	0.00909377	0.0199065	0.00669108	0.00843703	0.00424468	0.00411554	0.00347024	0.00313676	0.00792729
a	0.0148453	0.0151696	0.0108562	0.00751913	0.0104062	0.0131871	0.0185322	0.0250277	0.0245574	0.0259097	0.0413275	0.0433961	0.0601052	0.100625	0.0835404	0.0909062	0.0752976	0.0376005	0.0491358	0.0292843	0.0213565	0.0192476	0.0151775	0.0160313	0.00909154	0.0111984	0.0125756	0.0131681	0.0119038	0.010843	0.0148961	0.0183805	0.0215919	0.0273084
acheté	0.0224327	0.0249928	0.0147275	0.0108607	0.0151673	0.0128247	0.0132728	0.0100491	0.014536	0.017271	0.0242902	0.0390023	0.0358054	0.0441064	0.0532943	0.0553515	0.0521165	0.0868227	0.0657884	0.0391794	0.0480492	0.0285082	0.0295071	0.0155399	0.0142797	0.0152331	0.0140923	0.0156949	0.0322893	0.0214657	0.0238364	0.0249129	0.0267151	0.0379846
la	0.00246538	0.0038559	0.00255029	0.00263465	0.00201939	0.00295492	0.00617579	0.00862954	0.00579309	0.00791892	0.0167085	0.0230523	0.0143077	0.0300552	0.0576033	0.0466982	0.0693973	0.116932	0.0839892	0.0820815	0.0758314	0.0564281	0.0542315	0.02583	0.0264057	0.0262627	0.0121998	0.014655	0.0105034	0.0137921	0.0177379	0.016894	0.0298042	0.0336008
robe	0.00918495	0.00710823	0.00493872	0.0048066	0.00580295	0.00734026	0.0136	0.0207364	0.0209674	0.0196913	0.0196227	0.0160375	0.0161213	0.0261288	0.028491	0.036971	0.0367956	0.0303707	0.0344115	0.0308205	0.0334115	0.0482924	0.0323308	0.0355532	0.0378638	0.0334591	0.0411761	0.0450524	0.0594978	0.040524	0.033213	0.0434673	0.0522727	0.0739383
et	0.004053	0.00417749	0.00349798	0.00466469	0.0058622	0.0080728	0.0157215	0.0159471	0.0156488	0.0142292	0.0123268	0.0103068	0.0107683	0.0198857	0.0226748	0.0348299	0.0406358	0.0525892	0.0429712	0.0426991	0.0405548	0.033993	0.0342662	0.0408756	0.0330092	0.0413899	0.0377989	0.0416219	0.0315777	0.0514809	0.056251	0.0540523	0.0563289	0.0652374
les	0.0101905	0.0137309	0.0163408	0.018022	0.0203819	0.0212399	0.0235769	0.0226737	0.0207317	0.0202195	0.0198401	0.0196948	0.018638	0.0199434	0.0205003	0.0234145	0.0288222	0.0352785	0.0308237	0.0285187	0.0249279	0.0150349	0.0196773	0.0249752	0.0149121	0.0178587	0.0267974	0.0305762	0.0248296	0.0485046	0.0594805	0.0741045	0.0802542	0.105485
chaussures	0.0163883	0.0153577	0.0159058	0.0138241	0.0146374	0.0156465	0.00981685	0.0128854	0.010617	0.00707608	0.00691051	0.00740369	0.00602538	0.00859656	0.0106906	0.0201684	0.0243861	0.0348059	0.035588	0.0315944	0.0415184	0.0367035	0.0533557	0.0379756	0.0299677	0.0448505	0.0535688	0.0481543	0.0483536	0.0419633	0.0417948	0.0592721	0.065132	0.079065
</S>	0.0143988	0.0159224	0.0165517	0.0164955	0.0165843	0.0167612	0.0152792	0.0167924	0.0168887	0.0151004	0.0158388	0.0170881	0.0147215	0.0154331	0.0112564	0.0161799	0.0212055	0.0330084	0.0345376	0.0252965	0.0386933	0.0336257	0.03484	0.0253707	0.0245928	0.029343	0.0402509	0.0402696	0.0609739	0.0525084	0.0532409	0.0654234	0.0655232	0.0700038
