 	m	w	á	n	a	a	d	í	f	έ	l	έ	έ	s	ó	b	é	é	t	s	í	n	a	l	o	b	h	ó	l	ó	t	ω	m	b	í	l	i	í	p	έ	ε	w	a	b	ó	m	ώ	</S>
l'	0.00252489	0.00357502	0.00561498	0.00620524	0.00409548	0.00152581	0.00338773	0.00631834	0.0100804	0.00805709	0.0114918	0.0122532	0.0239625	0.0401209	0.0845922	0.0832863	0.102799	0.0447135	0.0529518	0.0597973	0.0650855	0.0445137	0.0305747	0.0386215	0.0194601	0.022772	0.0140492	0.00986594	0.00994559	0.00920887	0.0105698	0.00607226	0.00737486	0.00580313	0.00639656	0.00905264	0.00769489	0.00894242	0.012199	0.0106776	0.0108131	0.00783057	0.00635783	0.0109326	0.0127359	0.0116683	0.0119628	0.0114655
enfant	0.0340281	0.0815412	0.155411	0.178032	0.278988	0.106641	0.0905233	0.00965543	0.00341517	0.00134837	0.00268066	0.00166339	0.00122839	0.00351615	0.000346322	0.000861065	0.000615589	0.000347374	0.000204868	0.000248598	0.000301768	0.000141811	0.000309003	0.00024559	0.000754606	0.000970158	0.000613114	0.000701651	0.000646873	0.000613653	0.00408287	0.00154322	0.00279762	0.0026843	0.00169142	0.00229468	0.00292957	0.00147051	0.000886811	0.00558225	0.00164159	0.00099153	0.000499357	0.00299349	0.00683838	0.00201407	0.00192801	0.000535748
est	0.0190766	0.0281326	0.0379903	0.0248421	0.0281481	0.0168025	0.0296065	0.0243861	0.0144233	0.0206691	0.0099491	0.0119251	0.0171309	0.0158307	0.016123	0.0138749	0.0120307	0.0138817	0.0326	0.0328241	0.0308944	0.0220031	0.0332659	0.0263781	0.0134102	0.0169854	0.0131128	0.0161442	0.021621	0.0229238	0.0252968	0.0165001	0.0376998	0.0304622	0.0284225	0.0468517	0.0284892	0.0245299	0.00994838	0.0124462	0.00793054	0.0101215	0.00840474	0.0255675	0.0195327	0.0124779	0.0114764	0.00685554
calme	0.0181381	0.00727786	0.0118929	0.00413607	0.0100906	0.00458347	0.00887266	0.0146874	0.0141804	0.012124	0.013378	0.0150757	0.0181972	0.016587	0.010032	0.0102457	0.0111514	0.0123171	0.0162251	0.0193579	0.020395	0.0169101	0.0267554	0.0220614	0.0305457	0.0351909	0.0303052	0.0383186	0.0338544	0.042138	0.044396	0.0316744	0.0579579	0.0406384	0.0260466	0.0297148	0.0418423	0.0269856	0.0129135	0.0127718	0.01112	0.0086063	0.00729409	0.00747187	0.0181111	0.0257159	0.0261121	0.0256021
dans	0.0335829	0.0164404	0.0108562	0.00826949	0.00534476	0.00757336	0.00731826	0.0084094	0.00711316	0.0106227	0.0051168	0.00749108	0.0133033	0.0195843	0.0159798	0.0117765	0.0135665	0.0162925	0.0231	0.0281616	0.0233871	0.032185	0.0359245	0.0306069	0.0310953	0.0198897	0.0255251	0.0205474	0.0196086	0.03869	0.0279512	0.0585807	0.0366793	0.0385041	0.0365369	0.0317352	0.0250462	0.0348541	0.0254918	0.00805865	0.0260341	0.00846374	0.00852965	0.0073442	0.0106783	0.0143171	0.0198991	0.0339331
le	0.0217444	0.0178522	0.0180846	0.0128781	0.0135793	0.0137083	0.0135089	0.0155612	0.0135252	0.0155911	0.0160036	0.0167783	0.0110784	0.0164497	0.00926289	0.0107282	0.0103227	0.0104248	0.0128547	0.0166757	0.0175102	0.0249998	0.0304864	0.0233021	0.0320525	0.0300667	0.043372	0.027102	0.0255784	0.0425938	0.0500188	0.0344069	0.0271504	0.0217051	0.0192551	0.0353136	0.036014	0.0332819	0.0175043	0.0176069	0.0201204	0.0145711	0.00974426	0.00999602	0.0121324	0.0157676	0.0192419	0.0224931
lit	0.0613451	0.0397479	0.0184062	0.0216862	0.0145072	0.0125374	0.0146728	0.0143506	0.01442	0.0125131	0.0151755	0.0172707	0.0155845	0.0145483	0.0136936	0.012939	0.0156175	0.0186712	0.0117483	0.0142239	0.0203678	0.0202069	0.0185806	0.0213476	0.0263153	0.0196733	0.0206678	0.0263592	0.0228872	0.0291152	0.0424098	0.0250574	0.035375	0.0197381	0.0254417	0.0328534	0.018257	0.00789977	0.00713917	0.00688378	0.00834868	0.00445281	0.00213182	0.00759211	0.0196118	0.0239047	0.0398408	0.073882
parce	0.0418426	0.0232796	0.0137046	0.0131967	0.00763658	0.00631029	0.0109999	0.0149393	0.0144567	0.0185254	0.0103931	0.014453	0.0141847	0.0111311	0.00844939	0.00778594	0.00951623	0.0109503	0.0140309	0.0119632	0.0152134	0.0147079	0.0193262	0.0240564	0.027461	0.0208223	0.0358447	0.0327832	0.0343777	0.0629097	0.033828	0.0602833	0.0386048	0.0326187	0.0227859	0.0305122	0.0277334	0.0356085	0.0185495	0.0187936	0.0190898	0.0156022	0.0046173	0.00381932	0.0103855	0.00918323	0.0175095	0.0352234
que	0.0230487	0.010359	0.00860245	0.00525791	0.00669053	0.00823675	0.0151891	0.0182338	0.015351	0.0225194	0.00794178	0.0132687	0.0175564	0.0177845	0.0088746	0.00842798	0.00860508	0.0114223	0.0198878	0.0192382	0.0232816	0.0219896	0.0351544	0.0367237	0.0431325	0.0324049	0.0420084	0.0323259	0.021528	0.0518946	0.0296047	0.0548641	0.0242863	0.0313122	0.0228134	0.02195	0.0218341	0.024997	0.0236716	0.010458	0.0205185	0.0116683	0.0048536	0.0048338	0.00969136	0.0133471	0.0257294	0.0366268
le	0.051043	0.0203856	0.0147181	0.00820097	0.00851127	0.00549773	0.00953805	0.0143095	0.0119476	0.0117003	0.0067112	0.00919513	0.00825822	0.00895095	0.00637819	0.00665909	0.00738883	0.0111226	0.0116524	0.010922	0.0128159	0.0151445	0.0253371	0.0241604	0.0342899	0.0345488	0.0522195	0.0475628	0.0406531	0.0566567	0.0311991	0.0504958	0.0250247	0.026904	0.0141675	0.0193776	0.0191181	0.0259788	0.0220745	0.0215996	0.0173762	0.018767	0.00710531	0.00537786	0.011341	0.0157266	0.0299415	0.0519453
