 	l	e	k	ó	n	y	i	d	í	l	í	i	t	ú	ú	m	b	a	t	s	í	n	a	d	í	a	í	b	h	i	e	w	o	l	o	w	o	s	o	</S>
ce	0.0249283	0.0182939	0.0156876	0.0158977	0.0166666	0.0138623	0.0282359	0.0134663	0.0176223	0.0238379	0.0345391	0.031462	0.0307537	0.0331284	0.0361285	0.0382404	0.0260675	0.0261277	0.023006	0.0227839	0.0249846	0.0288255	0.030008	0.0193284	0.0224442	0.0294613	0.029521	0.0265425	0.0300528	0.0280824	0.022243	0.0287	0.0375528	0.0171285	0.0234698	0.0237756	0.0187014	0.0312244	0.016568	0.0206496
fagot	0.093468	0.141905	0.160607	0.0995434	0.0381167	0.0103642	0.0113188	0.00483468	0.00716352	0.0106431	0.00709419	0.00904028	0.00891093	0.00651221	0.00858366	0.00630152	0.0128707	0.0110843	0.0096561	0.0138395	0.0256742	0.00758629	0.0199134	0.0152957	0.0198294	0.0321379	0.0216568	0.0199232	0.0243081	0.0185771	0.0246062	0.0114936	0.0119032	0.00894243	0.0275321	0.0146569	0.00862041	0.00709378	0.00510807	0.00328329
dégage	0.0626261	0.064279	0.027529	0.010071	0.007331	0.00519034	0.00578999	0.00691273	0.00752234	0.0100549	0.0102462	0.0175723	0.0277005	0.0386747	0.0277736	0.0192319	0.0141596	0.0328707	0.0269333	0.0320413	0.0347831	0.0370915	0.021298	0.0171571	0.0378809	0.0206468	0.0188899	0.0366204	0.0337097	0.0221541	0.0205704	0.0262944	0.0500945	0.027799	0.0231386	0.0509944	0.0204387	0.0300896	0.00830239	0.00753642
de	0.0307631	0.0566499	0.0775242	0.105918	0.0718748	0.0501865	0.0423236	0.024379	0.0225182	0.0157678	0.0273585	0.0115019	0.0116191	0.0124734	0.013757	0.00924209	0.00758128	0.0192085	0.0207224	0.0190549	0.0355308	0.0418947	0.0117023	0.0199764	0.0406008	0.0286556	0.0200615	0.0156851	0.0158722	0.00944216	0.0124177	0.00889808	0.00569125	0.0100352	0.00743944	0.0179049	0.00770235	0.0106637	0.0109702	0.0184314
la	0.0257426	0.0193779	0.019116	0.0286153	0.0331433	0.0255029	0.0337286	0.038652	0.0190952	0.0163462	0.0131374	0.0128566	0.0154587	0.0158766	0.0140925	0.0163099	0.0138093	0.0263414	0.0203462	0.0268362	0.0406471	0.0394046	0.0576013	0.0373192	0.0629672	0.0338811	0.0297463	0.0359337	0.0275743	0.0152322	0.0195409	0.0166933	0.0107495	0.00634788	0.00922402	0.00508638	0.0127129	0.0108963	0.0231766	0.0708804
fumée	0.0209838	0.0140606	0.0161405	0.0200802	0.0251954	0.0133809	0.0226017	0.016374	0.00821627	0.00604396	0.00554459	0.00496467	0.00438382	0.00526623	0.00655653	0.0100995	0.00768645	0.0162647	0.0215223	0.0299828	0.0783278	0.0732486	0.0708348	0.0452471	0.0669923	0.0487217	0.0322952	0.0643703	0.0354655	0.0237924	0.0184676	0.0134008	0.016307	0.0124394	0.0134643	0.0131586	0.0146611	0.0199641	0.0169366	0.0465559
car	0.0316257	0.0198844	0.0173019	0.0224888	0.0230088	0.0297439	0.0240644	0.0217219	0.020573	0.0220943	0.0162194	0.0161738	0.0132517	0.0112788	0.0136891	0.0177829	0.0153608	0.0192158	0.0196511	0.0180197	0.0448733	0.0387163	0.0313302	0.0246021	0.0577421	0.033259	0.0196388	0.0382026	0.0321301	0.0318974	0.0275208	0.0202409	0.0185711	0.0198483	0.0221879	0.016802	0.0200591	0.0219733	0.025771	0.0614836
il	0.0500687	0.0634735	0.090985	0.101762	0.0733253	0.0571258	0.0375709	0.0300389	0.0168048	0.0102876	0.00810805	0.00989036	0.0111123	0.0105691	0.00925582	0.0137485	0.0203916	0.0197999	0.0135244	0.00744721	0.0234504	0.014878	0.0121412	0.00638944	0.01234	0.0118785	0.00614797	0.00575906	0.00821839	0.00987096	0.0111665	0.0113989	0.00536313	0.00610503	0.00903383	0.0050904	0.00923361	0.0071317	0.030526	0.138587
est	0.0817996	0.0645217	0.051419	0.035394	0.0132651	0.00778151	0.00707737	0.00481958	0.0048857	0.00419396	0.00694516	0.00546594	0.00477317	0.00715841	0.00960249	0.0199725	0.0212404	0.0436333	0.0376349	0.0342409	0.0533183	0.045938	0.0181695	0.0217342	0.0357502	0.0311965	0.0128411	0.0166346	0.0179863	0.0251432	0.0210627	0.0209432	0.0189118	0.0172974	0.0224506	0.0198969	0.0155795	0.0217419	0.0295481	0.0680314
déjà	0.0543088	0.0334407	0.0226048	0.014454	0.0083322	0.00464188	0.00425087	0.00275537	0.00345007	0.00312571	0.00449313	0.0036353	0.00392571	0.00692689	0.00852717	0.0215347	0.0230065	0.0406488	0.0355366	0.0318311	0.0464991	0.0435145	0.0183708	0.0316119	0.0354642	0.0410325	0.0273581	0.0450751	0.0667772	0.042339	0.0319974	0.0311473	0.0260381	0.0202608	0.0198145	0.0168622	0.0216272	0.0189237	0.033013	0.0508431
rongé	0.115335	0.0624416	0.0253515	0.0117731	0.00496147	0.00255543	0.00240028	0.00197897	0.00215668	0.00207427	0.00280075	0.00274272	0.00586112	0.0101144	0.00951273	0.0199535	0.0171454	0.0192517	0.0178225	0.0151005	0.0208652	0.0149348	0.0131002	0.0101289	0.0213815	0.0216398	0.00871243	0.0290678	0.049709	0.028875	0.0171929	0.0181947	0.0223256	0.0237855	0.0281054	0.0174319	0.0349576	0.0373086	0.0924721	0.138477
par	0.0508601	0.0378877	0.0263218	0.0252263	0.0241084	0.0219491	0.0110664	0.00520724	0.00396048	0.00445793	0.00483199	0.00580562	0.00675048	0.00800674	0.00584711	0.0061927	0.00516831	0.0107738	0.0104602	0.0131834	0.0156714	0.0182891	0.0155288	0.0176719	0.0259209	0.0230735	0.0246181	0.0291578	0.0195174	0.0325253	0.0347267	0.0463149	0.0356004	0.0500906	0.0381495	0.0455911	0.0488346	0.0519046	0.0586983	0.0800495
les	0.0494237	0.0356755	0.0339305	0.0469476	0.0378403	0.0284081	0.0157438	0.00910648	0.00623255	0.00731512	0.00877973	0.00945434	0.013193	0.0164439	0.00960985	0.012942	0.00848351	0.0125957	0.00788811	0.00571867	0.00987576	0.0119939	0.00601805	0.0081581	0.0132992	0.0121175	0.0121595	0.0126357	0.0140043	0.0207799	0.0256944	0.0294224	0.0366782	0.0303424	0.0404992	0.0283316	0.0627528	0.0514292	0.0701044	0.127971
termites	0.0432709	0.0357875	0.0218594	0.0177412	0.00954399	0.00515202	0.00313348	0.0027505	0.00224346	0.00261664	0.00310002	0.00324958	0.00401099	0.00536777	0.00553417	0.00899758	0.00862877	0.0167122	0.0120714	0.0110972	0.0158393	0.0150166	0.0113283	0.0133481	0.0230839	0.0220283	0.0155805	0.0291069	0.0547369	0.0422551	0.0353561	0.038815	0.044341	0.0466053	0.0511279	0.0457201	0.0606899	0.046301	0.0758531	0.089998
</S>	0.0396877	0.0370136	0.0290108	0.0265831	0.0193476	0.0190042	0.0117578	0.00726747	0.00470543	0.00473754	0.00530179	0.00545913	0.00573981	0.00639146	0.00617605	0.00690952	0.00649238	0.00791665	0.00816777	0.00911037	0.016682	0.0212407	0.0168922	0.0215072	0.0307918	0.0383725	0.0225829	0.0489841	0.0413888	0.0489306	0.0292405	0.0283584	0.0283533	0.0375999	0.0274192	0.0275207	0.0474397	0.0388883	0.0637024	0.0973248
