 	b	í	s	í	l	é	b	o	m	i	p	é	l	i	m	ó	k	w	á	í	</S>
nous	0.226856	0.207448	0.101292	0.0557702	0.0538345	0.0210702	0.01891	0.0201613	0.0109358	0.0294605	0.0328222	0.024748	0.0261861	0.0313033	0.0264297	0.0173828	0.0226459	0.017805	0.0192519	0.0194457	0.0162415
avons	0.0709381	0.0657279	0.0408774	0.0408532	0.0505146	0.0650575	0.0786364	0.0826649	0.0518927	0.0531418	0.0787392	0.0576031	0.0880133	0.0743024	0.0320347	0.0214283	0.00865681	0.00908052	0.00767002	0.00855142	0.0136158
tué	0.014991	0.027599	0.0344951	0.0486589	0.0306817	0.0466912	0.0414874	0.0925216	0.0626973	0.0590949	0.0513576	0.0841761	0.106595	0.0786603	0.0608421	0.0404074	0.0306794	0.0356364	0.0201695	0.0220841	0.010474
le	0.0134036	0.0131739	0.0126528	0.0126167	0.0145248	0.0220235	0.028384	0.0403964	0.0602395	0.0506364	0.0370307	0.0456903	0.0659536	0.108034	0.118453	0.0796143	0.0517795	0.0447311	0.0564986	0.0589977	0.0651655
petit	0.0207155	0.0174381	0.0179524	0.0173065	0.0231857	0.0249702	0.0291965	0.0312031	0.0270952	0.0377652	0.0567184	0.0847725	0.0972812	0.110458	0.0976317	0.0736534	0.0345765	0.0338038	0.0412929	0.0407899	0.0821933
de	0.0114338	0.0121023	0.0157574	0.020649	0.0287417	0.043188	0.0337689	0.0385236	0.0208366	0.0259007	0.0447088	0.0433791	0.0463452	0.0739326	0.087693	0.0828501	0.0701173	0.0618703	0.07997	0.0732447	0.0849869
la	0.0364882	0.0289574	0.0271004	0.0250177	0.0326838	0.0333056	0.0420516	0.0407386	0.0287276	0.0341849	0.0378711	0.0291725	0.028309	0.0561837	0.0598671	0.0564364	0.063645	0.0585497	0.080162	0.0845354	0.116012
vipère	0.035024	0.0373001	0.0392622	0.0315138	0.0212573	0.0179117	0.0178053	0.0188869	0.019756	0.0231662	0.0334025	0.0457527	0.0482777	0.0784343	0.0799193	0.069499	0.061151	0.016781	0.0655251	0.0826186	0.156755
avec	0.0441158	0.043332	0.039579	0.0386173	0.0330537	0.0263839	0.0151268	0.0163419	0.010904	0.0114115	0.0132377	0.0121369	0.0195926	0.0519768	0.0697415	0.0791236	0.0794047	0.0566654	0.0947177	0.105998	0.138539
la	0.0727073	0.061182	0.0452229	0.0438281	0.0389316	0.0293196	0.0180508	0.0191057	0.0128925	0.0139378	0.0143021	0.010548	0.0112566	0.0207733	0.0270197	0.0349797	0.0454817	0.0499431	0.089933	0.115019	0.225565
machette	0.023846	0.0229132	0.0232573	0.0261664	0.020926	0.0208113	0.0159244	0.0190331	0.0124883	0.0137201	0.017674	0.0185475	0.0236755	0.0335453	0.0375827	0.0305828	0.0427415	0.0654209	0.12491	0.163779	0.242454
</S>	0.172291	0.0940926	0.0543985	0.0439317	0.0263023	0.0174581	0.01007	0.0162527	0.0146798	0.0128106	0.017615	0.0167361	0.0278345	0.0219439	0.0248226	0.0185685	0.0292498	0.030956	0.0623818	0.103078	0.184526
