 	w	a	a	d	i	í	o	k	á	m	b	á	o	n	y	a	á	e	p	o	s	ó	s	é	b	é	e	y	é	é	d	z	e	e	m	á	w	a	k	a	á	</S>
il	0.118225	0.140653	0.209353	0.245692	0.0779972	0.044953	0.0383862	0.0277633	0.0227112	0.0109423	0.00442533	0.0029299	0.00314684	0.00199302	0.00310151	0.00432801	0.00241024	0.00176082	0.00151411	0.00139959	0.00142583	0.0012766	0.00170166	0.00217031	0.00100636	0.00184745	0.000914099	0.000749772	0.000824483	0.0013203	0.000759729	0.000984593	0.000737789	0.00119485	0.0014062	0.00194737	0.0028022	0.00309425	0.00309593	0.00276016	0.00262859	0.0016659
ne	0.0171297	0.014939	0.0403086	0.0383098	0.0593104	0.0785532	0.0680126	0.0463088	0.0381504	0.0323785	0.0322651	0.0474747	0.0400506	0.0415453	0.0457733	0.0540061	0.0433279	0.028281	0.0207799	0.0256288	0.0199741	0.0167762	0.0103968	0.0142408	0.0201773	0.0275597	0.0143569	0.00672828	0.00493863	0.00497677	0.00356345	0.00411521	0.00183686	0.00172052	0.00341587	0.00133408	0.00560755	0.00325413	0.00446065	0.00347064	0.00416995	0.0103918
manque	0.00617515	0.004364	0.00390658	0.00337431	0.00589041	0.0119057	0.013877	0.0163673	0.0189162	0.024181	0.0190776	0.0217235	0.042309	0.0504305	0.0644483	0.044218	0.0219795	0.0268375	0.0327271	0.0244611	0.0258842	0.0192923	0.0408012	0.0661998	0.0848387	0.0573403	0.0638957	0.0373511	0.0336573	0.0253085	0.0213033	0.0184892	0.0100511	0.00942229	0.00515864	0.00323579	0.00266245	0.00200643	0.00207376	0.00208696	0.00368147	0.00808969
pas	0.0234679	0.0206218	0.0248472	0.0216598	0.0276522	0.016589	0.0144419	0.0132196	0.00884117	0.00855764	0.00785877	0.0112539	0.0147873	0.0189419	0.0228185	0.0209787	0.0197436	0.0248397	0.0265638	0.0311301	0.0270058	0.033538	0.0404641	0.0519003	0.0405364	0.0329109	0.0434426	0.0361339	0.0398278	0.0427052	0.0371503	0.0728791	0.0358474	0.0251753	0.00955548	0.00735677	0.00506488	0.00354616	0.00561386	0.00676833	0.00904237	0.0147207
de	0.00163352	0.0011446	0.00133902	0.00159626	0.00212876	0.00355214	0.00229976	0.00278218	0.00293894	0.00305846	0.00368659	0.00382827	0.00705971	0.00705393	0.00740115	0.00564284	0.00480994	0.00848851	0.0166214	0.0303868	0.0306096	0.0508221	0.0594893	0.138355	0.0722692	0.0819785	0.0664751	0.0615418	0.0473373	0.0400042	0.0310757	0.039769	0.0372053	0.0280892	0.013756	0.0233295	0.00748088	0.00659131	0.0061391	0.0066509	0.0155204	0.0180577
commettre	0.00344533	0.00478014	0.00468703	0.00392794	0.00450718	0.00691531	0.00405543	0.00556795	0.00409442	0.00448516	0.00606144	0.00738669	0.0115729	0.00667701	0.00876895	0.0102696	0.0100734	0.012388	0.0255899	0.0359801	0.034675	0.0393964	0.025475	0.0454213	0.048774	0.040774	0.0424369	0.0583584	0.0555829	0.0472462	0.0339352	0.0297766	0.0319015	0.0458049	0.0358148	0.0650631	0.0119159	0.0183474	0.0160685	0.0247429	0.024696	0.0425593
un	0.00322653	0.00250487	0.00208092	0.00218523	0.0029498	0.0059595	0.00636939	0.00921157	0.0094351	0.0058573	0.00635235	0.00995285	0.0117089	0.00856751	0.0113256	0.0165095	0.0147451	0.0149943	0.0251983	0.0364086	0.0302407	0.0396963	0.0296364	0.0573441	0.0617835	0.0582334	0.0543967	0.0599185	0.057618	0.0437702	0.0392382	0.0318031	0.0284915	0.0303114	0.0207808	0.0296059	0.0121157	0.0131826	0.0134668	0.0189912	0.0243509	0.0394808
délit	0.00975103	0.00860516	0.00918958	0.00859529	0.0113591	0.0228855	0.0124463	0.0179906	0.0123327	0.00794331	0.0103481	0.0156501	0.0150522	0.00981191	0.0135349	0.0157255	0.0353166	0.0206151	0.0252477	0.0290302	0.019281	0.0266119	0.0279465	0.030312	0.0386885	0.0411499	0.033428	0.0318988	0.0315077	0.0288947	0.0350962	0.029706	0.0258636	0.0373903	0.0168166	0.0244573	0.0151243	0.0125499	0.0221537	0.0355085	0.0436879	0.0804959
là	0.00718072	0.00581454	0.00622034	0.00975732	0.0165775	0.0190854	0.0159247	0.0131737	0.00893268	0.0053327	0.00693009	0.00896631	0.0102059	0.00535105	0.00854562	0.00734324	0.00958361	0.0111051	0.018168	0.0191669	0.0143875	0.0165451	0.0292881	0.0391313	0.0266132	0.037159	0.0437336	0.0610894	0.0433771	0.0344678	0.0357681	0.0229066	0.0308539	0.0262497	0.0294177	0.0502567	0.0274768	0.0279989	0.0295228	0.0406836	0.0528214	0.0668863
où	0.014892	0.012798	0.0134914	0.0200142	0.0263917	0.0247093	0.0260174	0.0190164	0.0123082	0.00789959	0.00974158	0.00556114	0.00999064	0.00556586	0.00809972	0.00743977	0.00727317	0.00928389	0.0117756	0.00777474	0.00621551	0.00652984	0.0102029	0.0165522	0.0174012	0.0173986	0.0244597	0.0285793	0.0230033	0.0270565	0.0308191	0.0191955	0.0182077	0.0304713	0.0528964	0.057066	0.0585259	0.0686167	0.0517845	0.0609346	0.0505323	0.0635068
