 	p	o	o	é	t	s	ω	é	k	a	n	g	i	w	á	e	s	w	é	l	é	t	s	í	n	a	á	p	i	i	w	a	m	ó	y	í	b	h	a	</S>
tous	0.0156527	0.0178388	0.0231138	0.0337169	0.0337488	0.0306028	0.0367261	0.0374235	0.0355844	0.0380441	0.0426287	0.0502208	0.0693499	0.0728498	0.0800298	0.0319794	0.0228157	0.0201947	0.0271677	0.0239898	0.0181923	0.0112445	0.0105083	0.0109014	0.00685841	0.00974471	0.00733569	0.00936167	0.00709718	0.00571765	0.0134885	0.00824087	0.00720896	0.0140881	0.0108408	0.0203547	0.0126098	0.0275354	0.0232261	0.021767
le	0.0697392	0.0599583	0.0445282	0.0183177	0.0102974	0.00851919	0.00518295	0.00654732	0.00450795	0.0063204	0.00859607	0.018848	0.0200494	0.0453244	0.0361078	0.0227691	0.0230837	0.0374325	0.0318893	0.047231	0.0457753	0.0928469	0.0233714	0.0992057	0.0243067	0.0148609	0.0269002	0.0157185	0.0127364	0.0129457	0.00998395	0.0102265	0.00767553	0.0133073	0.0130114	0.0105913	0.00581521	0.0139145	0.00690037	0.0146564
village	0.0591661	0.0696206	0.0942315	0.0875585	0.100515	0.0566862	0.0617829	0.016573	0.0112186	0.00867437	0.00961223	0.00578928	0.0112262	0.00498517	0.00532437	0.00565775	0.0066651	0.00633189	0.00421312	0.00345145	0.00666082	0.00653603	0.00651367	0.00458241	0.00445725	0.0229324	0.00749337	0.0265807	0.025205	0.0128776	0.0216913	0.0176035	0.0216081	0.0151749	0.0239734	0.0365488	0.0263168	0.0329823	0.0239368	0.0270409
ne	0.0304552	0.0414171	0.0525935	0.0647053	0.0571162	0.0620228	0.0536495	0.0327697	0.0399622	0.0320759	0.0170173	0.00550757	0.00766509	0.00920375	0.0108769	0.0131702	0.0152037	0.0190336	0.0208216	0.0149225	0.0197209	0.0239787	0.0272728	0.0364787	0.0308883	0.0211181	0.024121	0.0241496	0.0315334	0.0103591	0.0173455	0.0143685	0.0110266	0.015999	0.0212893	0.020429	0.0127018	0.0140057	0.00929767	0.013727
lui	0.0178006	0.0197209	0.0405805	0.0890373	0.1031	0.107808	0.0790171	0.0522602	0.0365391	0.0275564	0.0223286	0.0167266	0.0115481	0.00778313	0.00982737	0.00728169	0.00744179	0.00720207	0.0105723	0.0135804	0.01532	0.0303268	0.0155493	0.0320509	0.0123568	0.0173322	0.018537	0.0147487	0.0148236	0.0119418	0.0134812	0.00997793	0.0110771	0.0069689	0.00456684	0.00643667	0.00606397	0.0158028	0.0142021	0.0407243
adresse	0.0400391	0.0311224	0.0437857	0.0756193	0.0784323	0.0581646	0.0351189	0.0449482	0.0357626	0.045841	0.039653	0.0324848	0.0333012	0.0271977	0.0146679	0.0174749	0.0182072	0.018102	0.0320868	0.0156993	0.0128572	0.0118816	0.0192159	0.0186622	0.0209191	0.0167735	0.0216412	0.0123518	0.00779479	0.00523619	0.00767152	0.00642476	0.00629408	0.00659128	0.00736997	0.00864875	0.00945993	0.0196613	0.0174809	0.025355
plus	0.0153321	0.0112973	0.0104376	0.0114753	0.0126295	0.0158121	0.0188563	0.0199913	0.0195351	0.0192897	0.0189099	0.0153045	0.0186015	0.0124892	0.010053	0.0100199	0.0136218	0.0131	0.0190298	0.0468126	0.0355545	0.0773882	0.0641448	0.132906	0.0459107	0.0449971	0.0527742	0.0404504	0.0411891	0.0308646	0.0185212	0.0131876	0.0107828	0.00600712	0.00327856	0.00271467	0.00315638	0.0089568	0.0107976	0.0238188
la	0.0240406	0.0177704	0.0190229	0.0225047	0.0323542	0.0409922	0.029127	0.0207043	0.0233978	0.026337	0.0254951	0.0272441	0.0237854	0.0243729	0.016926	0.0166143	0.0165616	0.0183009	0.019342	0.0209693	0.0246972	0.0285326	0.0211374	0.0263913	0.0202889	0.0182431	0.0217258	0.0144356	0.021297	0.0168168	0.0218325	0.0310954	0.0306212	0.0237509	0.0177818	0.017465	0.0177413	0.0423247	0.0477226	0.0702362
parole	0.0226794	0.0226566	0.0248162	0.0304705	0.0184047	0.0125925	0.0103156	0.0111876	0.00573491	0.00659206	0.00609192	0.0110337	0.0162618	0.0249209	0.022363	0.0243365	0.02025	0.0181704	0.0531271	0.0476616	0.0504593	0.0604384	0.053208	0.0690716	0.0461927	0.0338189	0.0411451	0.0224856	0.0107567	0.00712893	0.00782366	0.00451378	0.00349568	0.00474899	0.00197561	0.00372363	0.00333827	0.0272474	0.0348725	0.103888
parce	0.034515	0.029662	0.0244203	0.0231315	0.0254604	0.0189426	0.0184164	0.0191242	0.0190735	0.0187257	0.0155555	0.0131289	0.0046916	0.00389407	0.00464703	0.00581384	0.0100256	0.00807467	0.015996	0.0290435	0.043812	0.0640152	0.0390786	0.0718687	0.0321086	0.022821	0.036016	0.037378	0.0547271	0.0481324	0.0172184	0.0203694	0.0355273	0.00821937	0.00908939	0.00808372	0.00927004	0.0175046	0.0227542	0.0596636
qu'	0.0222246	0.0370438	0.0468268	0.0415177	0.0376368	0.0662001	0.0436878	0.0425711	0.0251118	0.0248383	0.0157342	0.0123574	0.00617468	0.00515304	0.00492991	0.00618438	0.00724683	0.00593694	0.011676	0.0107284	0.0216793	0.0183239	0.0264724	0.0293814	0.0263449	0.0188809	0.0338869	0.0184751	0.032478	0.0338489	0.0253732	0.0266007	0.0364973	0.0170263	0.0160268	0.0135245	0.014066	0.0322419	0.0377368	0.0473542
on	0.119943	0.0796337	0.0578479	0.0357799	0.0291867	0.0184486	0.0101464	0.00800433	0.00747119	0.00727594	0.00512851	0.00465683	0.00273269	0.00413738	0.0044504	0.00929744	0.0132065	0.0157873	0.0178188	0.0305342	0.0402367	0.0466067	0.0337475	0.0543131	0.0268086	0.0256751	0.0259061	0.0303632	0.0307194	0.0184078	0.0148353	0.0113087	0.0169867	0.00948732	0.0202705	0.012316	0.0170617	0.0164077	0.0201222	0.0469321
l'	0.192458	0.0896049	0.0506281	0.0355047	0.0249218	0.0090665	0.00665196	0.00562609	0.00440123	0.00409132	0.0058772	0.00636433	0.00800568	0.00766982	0.0103372	0.0175367	0.022895	0.0222564	0.0377778	0.0370449	0.0456411	0.0361766	0.0287877	0.0455358	0.0261113	0.0184634	0.028138	0.0207617	0.0201845	0.00835336	0.00604097	0.00463974	0.00571179	0.00306205	0.0109667	0.00912029	0.00878301	0.0138377	0.0164549	0.0445097
a	0.0898578	0.0542989	0.0288731	0.0206818	0.0100333	0.00528119	0.0038336	0.00402936	0.00324196	0.00349447	0.00397157	0.00538864	0.0104112	0.0184079	0.0224509	0.0313335	0.0323762	0.0325939	0.0661414	0.0918706	0.0683439	0.0513927	0.0272413	0.0464228	0.0286604	0.0162926	0.022944	0.0202037	0.0130509	0.0127021	0.0103082	0.00631753	0.0069171	0.00372215	0.00619084	0.00497917	0.00605984	0.0136499	0.0234007	0.0726288
surpris	0.0697787	0.0523017	0.0339281	0.0262587	0.0205274	0.0126369	0.0067262	0.00724525	0.00547482	0.00483158	0.00418793	0.00515501	0.00431317	0.00844251	0.0068359	0.0101705	0.0155685	0.0173793	0.0312416	0.116706	0.0684891	0.11662	0.0307005	0.107159	0.0204239	0.0104317	0.0128341	0.00925185	0.00970729	0.00796132	0.00546432	0.00456912	0.00613467	0.00232034	0.0052174	0.00444374	0.00609057	0.0129621	0.0252491	0.0742595
