 	o	m	i	i	t	s	ó	s	ó	y	a	n	g	á	á	d	z	e	o	d	z	á	n	g	a	n	d	í	k	a	á	á	d	z	e	m	b	ω	m	ω	</S>
celui	0.00430716	0.0057655	0.00855226	0.00997129	0.0180387	0.0184854	0.0249562	0.0282774	0.0352391	0.0321571	0.0352931	0.0354865	0.0259291	0.0311176	0.037805	0.0424594	0.0400491	0.0483895	0.0356739	0.0367603	0.0157021	0.018153	0.0245046	0.0246623	0.0207805	0.0308033	0.0285561	0.0239011	0.0147917	0.0205286	0.0288147	0.0248766	0.0300987	0.0283675	0.013743	0.0144302	0.0138612	0.0113788	0.0135755	0.0204191	0.0233375
qui	0.0920688	0.106308	0.0511251	0.0350704	0.0247695	0.0263769	0.0263364	0.0198711	0.0264649	0.038207	0.0396008	0.0396262	0.0268292	0.0247003	0.0215131	0.0182796	0.0204703	0.0248617	0.0219512	0.0253391	0.0206224	0.0294035	0.0280387	0.0218484	0.0228505	0.0238576	0.0205789	0.0143734	0.0118325	0.0135192	0.00965515	0.0131923	0.00725649	0.00506798	0.0087618	0.00871337	0.00614506	0.00706419	0.00645765	0.0043078	0.00668345
a	0.016411	0.0240336	0.0183049	0.0222073	0.0189091	0.019492	0.023064	0.0162912	0.0199062	0.0142649	0.0149291	0.0101708	0.00861349	0.0114005	0.01139	0.00781288	0.0185995	0.0357353	0.0532531	0.0561935	0.053405	0.0734247	0.0768236	0.055029	0.0524168	0.0655237	0.0534398	0.0317772	0.0193061	0.0111738	0.0130819	0.00747334	0.00736894	0.0037616	0.00419761	0.00599064	0.00486299	0.00609593	0.0100601	0.0134883	0.0103168
avalé	0.0281131	0.0288141	0.0245981	0.022539	0.0205976	0.0246996	0.0181242	0.0156778	0.0191998	0.0201895	0.0190055	0.0188044	0.0195015	0.0168628	0.0174922	0.0148637	0.0181093	0.0241632	0.0358861	0.0341051	0.0396088	0.061923	0.0421644	0.0492393	0.0412116	0.0374339	0.034447	0.0319192	0.0244152	0.018082	0.0200212	0.0141111	0.00938973	0.00849259	0.0153742	0.0132481	0.00900758	0.0150166	0.0181943	0.02282	0.0325336
ma	0.013896	0.0226414	0.0323226	0.0454528	0.0453566	0.0587482	0.0696447	0.0481072	0.0378884	0.021043	0.0261984	0.0139737	0.0150078	0.0130945	0.0149688	0.0154464	0.0180867	0.0198967	0.0222325	0.0129362	0.0140397	0.0197475	0.0110064	0.0141084	0.0166094	0.0152759	0.0179654	0.0189108	0.020554	0.0168861	0.0229409	0.0164751	0.0220218	0.0137571	0.0230482	0.0321156	0.0160983	0.0221931	0.0305692	0.0325525	0.0361819
poule	0.0137916	0.0221011	0.0349003	0.0359471	0.0327958	0.0347115	0.0365881	0.029887	0.024058	0.0189275	0.0267733	0.0154625	0.0226088	0.0281185	0.0247823	0.0218879	0.0262206	0.0268292	0.0355487	0.0238906	0.04296	0.0360851	0.0262008	0.0254817	0.0285667	0.019897	0.0168351	0.0154309	0.0161993	0.0151174	0.0123951	0.0117138	0.00958558	0.00936233	0.0140699	0.017257	0.0157438	0.0248784	0.0271363	0.0308445	0.0484089
c'	0.0155059	0.0206826	0.0241258	0.0218216	0.0191721	0.0213421	0.0244685	0.0272512	0.0276262	0.0274239	0.035356	0.0204935	0.0223352	0.0298945	0.0178456	0.0134955	0.0164165	0.0270985	0.0474566	0.0423186	0.0932199	0.0773313	0.0471854	0.054033	0.0414867	0.0268089	0.0173825	0.0115545	0.00878364	0.00814156	0.00454431	0.00566146	0.0037037	0.00450625	0.00586009	0.00557162	0.00592994	0.00939436	0.00924042	0.0129889	0.0445412
est	0.0408579	0.0295491	0.0280898	0.0189551	0.015309	0.0156994	0.0269438	0.029679	0.0307955	0.0240874	0.0196025	0.0125364	0.0158333	0.0266935	0.0163132	0.0157818	0.0148073	0.017978	0.0294737	0.0324397	0.0569388	0.0698456	0.051999	0.0735951	0.0492556	0.0294286	0.0252697	0.0249112	0.0212496	0.009106	0.0107602	0.0104595	0.00691816	0.00753858	0.0124763	0.00966717	0.00773	0.0107564	0.0117272	0.0114984	0.0274434
pas	0.142088	0.0908427	0.0460546	0.0259317	0.0191114	0.0179186	0.0155057	0.0129578	0.0116356	0.0118751	0.0116349	0.0106137	0.0124872	0.0138283	0.0086244	0.0106418	0.01319	0.018668	0.0228801	0.0223261	0.0436234	0.0285953	0.0271287	0.0329786	0.0281228	0.0236369	0.0173926	0.0181192	0.0114741	0.00788132	0.00817938	0.0103476	0.0114386	0.0089885	0.0116722	0.0172997	0.0187085	0.0239548	0.025729	0.0266603	0.0592534
le	0.0786114	0.0604473	0.0380925	0.0187244	0.0130201	0.0110938	0.0110979	0.0122026	0.0126638	0.0112028	0.00708697	0.00849964	0.00964237	0.00638752	0.00472752	0.00670817	0.00938546	0.00959625	0.0151427	0.0236095	0.035662	0.0418475	0.0412092	0.0494641	0.0472976	0.0443928	0.0452749	0.0474677	0.0270032	0.0167223	0.0179794	0.0144696	0.0123428	0.00719767	0.00919574	0.00965443	0.00856683	0.0121126	0.0245855	0.0277606	0.0918509
