 	a	b	v	i	á	e	t	u	m	b	ú	m	á	a	b	ω	ώ	o	b	v	έ	</S>
l'	0.0770179	0.0186233	0.0158252	0.01081	0.0317419	0.0373451	0.0460507	0.0530168	0.0728754	0.0454437	0.0510045	0.0442509	0.0356042	0.048543	0.0670626	0.0746086	0.0822098	0.0534112	0.0281804	0.0364424	0.0343176	0.0356148
oseille	0.0393509	0.053777	0.09362	0.207426	0.159218	0.136386	0.0767048	0.0416239	0.0168691	0.00702554	0.014969	0.00853743	0.0196957	0.0144003	0.0164619	0.0271777	0.0219396	0.0208377	0.0135937	0.00470558	0.00326355	0.00241594
cuite	0.0345964	0.0340217	0.0192434	0.0473953	0.037236	0.0476558	0.0550937	0.0447528	0.0402083	0.057014	0.0681705	0.0557419	0.0720094	0.0523049	0.0510453	0.0764536	0.062639	0.0481997	0.0310334	0.0232276	0.0195721	0.0223852
à	0.029281	0.0493501	0.0572305	0.0944619	0.0916633	0.103085	0.0980747	0.0821882	0.0837945	0.0344164	0.017306	0.0128538	0.0109826	0.0122173	0.0103167	0.00842422	0.0092348	0.0136866	0.0231535	0.0384386	0.0495049	0.0703357
l'	0.0505756	0.0531954	0.0568305	0.0501729	0.0426234	0.0410055	0.0375435	0.0563055	0.0692109	0.0417889	0.0298673	0.017127	0.0225168	0.0261574	0.0310553	0.0432074	0.0451557	0.0475527	0.0738443	0.0426758	0.0436624	0.0779257
étouffée	0.0387242	0.0355276	0.0295138	0.0320885	0.0282137	0.0251823	0.0239192	0.0371678	0.0430589	0.051342	0.0443454	0.0367147	0.0332766	0.0769506	0.0684467	0.0809088	0.055142	0.0499967	0.0786592	0.0307855	0.0358268	0.064209
s'	0.0295242	0.0220449	0.0308213	0.0354714	0.0325417	0.0276976	0.0281149	0.0341569	0.0540035	0.0641859	0.0652343	0.048226	0.0376292	0.0294334	0.0309706	0.0338699	0.0457617	0.0551508	0.0694585	0.0746786	0.06523	0.0857946
attendrit	0.0907371	0.0726916	0.0824631	0.0488451	0.0264999	0.0173278	0.0105932	0.0073322	0.00804937	0.00710223	0.0140242	0.0138157	0.016648	0.0275993	0.0449924	0.0242577	0.0426381	0.0577044	0.0670911	0.083126	0.107747	0.128715
vite	0.0349142	0.0354647	0.0540704	0.0414119	0.0408491	0.0363719	0.0279837	0.0169959	0.0150457	0.0177563	0.0125084	0.00907851	0.00509102	0.00795827	0.012941	0.0161249	0.0341604	0.0673255	0.0837841	0.0898839	0.0610291	0.279251
</S>	0.0493964	0.0537242	0.0498245	0.0303258	0.0251289	0.0162981	0.0115405	0.00627739	0.00531307	0.00420664	0.00623647	0.00903635	0.00626148	0.0078959	0.0134136	0.0160243	0.032717	0.0674165	0.0876922	0.146643	0.124167	0.230461
