 	l	e	s	u	é	d	í	l	á	m	w	á	s	í	y	a	n	ω	é	d	í	o	d	z	á	l	e	n	g	u	n	g	a	k	a	á	</S>
ce	0.00582879	0.00667913	0.0106486	0.00652826	0.0176354	0.035143	0.0518821	0.0373372	0.0362847	0.0358056	0.0418557	0.0390263	0.0498365	0.0343825	0.0232017	0.0168212	0.0112615	0.0330242	0.0231875	0.0235908	0.0206528	0.0451867	0.0363502	0.0399365	0.0204541	0.0402167	0.0378086	0.0152978	0.0168636	0.0151357	0.0303648	0.0272269	0.0281891	0.0318284	0.0199722	0.0216494	0.0129059
cheveu	0.0612632	0.036039	0.0593115	0.0273654	0.0177006	0.0106935	0.0090485	0.0194657	0.018529	0.023737	0.0433421	0.0131931	0.0146375	0.0231232	0.0641864	0.0348938	0.0360103	0.0252557	0.0299759	0.00948591	0.0251831	0.00601664	0.0198316	0.0171113	0.028859	0.0697446	0.0959386	0.0393044	0.0415024	0.0303505	0.0147703	0.0110889	0.00576397	0.0110732	0.00279184	0.00300923	0.000403272
est	0.0371154	0.0173074	0.0104809	0.0142005	0.0188616	0.0459676	0.0380803	0.0404483	0.0364085	0.0395706	0.0417887	0.0662516	0.017436	0.0399415	0.0292689	0.0156957	0.0291637	0.0187028	0.0138385	0.0178572	0.0196166	0.00834612	0.015887	0.00881318	0.011339	0.0272309	0.0208183	0.0490837	0.0334553	0.0398062	0.0481326	0.0384343	0.0364918	0.023056	0.0158698	0.0118618	0.00337187
celui	0.011556	0.0218061	0.0262102	0.0348175	0.0422352	0.0257265	0.0239759	0.0290894	0.0309332	0.0345057	0.0465007	0.0363062	0.0204616	0.0285232	0.0413823	0.0398798	0.0567541	0.0335069	0.037038	0.00875571	0.0353528	0.0127104	0.0250593	0.0169243	0.0165458	0.0197946	0.0245485	0.0199727	0.0290942	0.025793	0.0248399	0.0242979	0.0175595	0.0178189	0.018318	0.0212649	0.0201409
de	0.0341172	0.0248262	0.0211109	0.0432666	0.0468159	0.0704982	0.0608222	0.0678418	0.0472667	0.0316602	0.028787	0.0295448	0.0149848	0.0144725	0.00974372	0.00778421	0.00966319	0.00710543	0.00655132	0.00523548	0.00905047	0.00949688	0.0177319	0.0215977	0.021631	0.0309912	0.0219868	0.033819	0.0368228	0.0319274	0.0314215	0.0238662	0.0199453	0.0227708	0.0212665	0.0292845	0.0342915
ta	0.034263	0.0185223	0.0222316	0.0394959	0.0311459	0.0323011	0.0281853	0.0351685	0.030979	0.025004	0.0306143	0.0378651	0.0170919	0.0130559	0.0171934	0.0119474	0.0144023	0.0134957	0.0125537	0.00840539	0.0131259	0.0113291	0.0228372	0.0310054	0.0210609	0.0374747	0.0247117	0.0315436	0.0233259	0.0292879	0.0445812	0.0355412	0.0380506	0.0438188	0.033495	0.0360074	0.0488816
femme	0.0370877	0.0265811	0.0209672	0.0447202	0.0413802	0.0556471	0.0437058	0.0383523	0.0269437	0.0211829	0.0194815	0.0335572	0.024269	0.0182868	0.0183892	0.0206242	0.0181536	0.0130703	0.0167482	0.00932713	0.0143911	0.0160295	0.0261549	0.0337174	0.0292372	0.0202108	0.0268992	0.00895556	0.0147324	0.0109521	0.0194711	0.0234075	0.0237962	0.0288804	0.0354552	0.0480432	0.071191
ce	0.0433126	0.0329151	0.0353001	0.0371868	0.0334633	0.0200951	0.0187059	0.0184279	0.0175699	0.0186014	0.0153596	0.0154814	0.0126443	0.0138056	0.0243554	0.0279199	0.0302249	0.0300539	0.0325383	0.0294537	0.018665	0.0192215	0.0174947	0.0426634	0.0257923	0.00962802	0.018515	0.0118013	0.01738	0.0109437	0.0146835	0.0147073	0.0133602	0.0168388	0.0432761	0.0668902	0.130724
n'	0.159948	0.0877811	0.0666131	0.0651396	0.0314595	0.0262629	0.0211448	0.0230418	0.0126421	0.0104376	0.00723483	0.00762867	0.00700425	0.00969739	0.0161463	0.0163695	0.0117179	0.0207953	0.0257634	0.0139444	0.0110236	0.0115017	0.0128098	0.0215158	0.020334	0.010157	0.0148576	0.00847242	0.0105247	0.00795231	0.012006	0.0127601	0.0121068	0.0135216	0.0195002	0.0310394	0.129145
est	0.10619	0.0962683	0.077647	0.059749	0.0529266	0.0205874	0.028706	0.0157929	0.00819424	0.00736932	0.00734502	0.00719921	0.004712	0.0108799	0.00668459	0.0067738	0.0076662	0.00668537	0.00848218	0.00723165	0.0185527	0.0106203	0.0189416	0.0163891	0.0270253	0.0215123	0.0250023	0.0232225	0.0357257	0.0240963	0.0257264	0.0269859	0.0177547	0.0264948	0.0338706	0.036198	0.0647904
pas	0.116222	0.0627577	0.0364513	0.0247448	0.0194414	0.0157686	0.0129072	0.0126267	0.0126685	0.0171624	0.0162829	0.0177835	0.0216258	0.0284395	0.027631	0.0237254	0.0206142	0.0198836	0.0206166	0.0196733	0.0278598	0.0213868	0.0242777	0.017756	0.035151	0.0112789	0.0181213	0.0100941	0.0161719	0.0145533	0.0176699	0.0244911	0.0318623	0.0345771	0.0371409	0.0403243	0.070257
un	0.19969	0.0906287	0.0576574	0.0244086	0.0245963	0.00665301	0.00599942	0.00387325	0.00370525	0.00329851	0.00365434	0.00580534	0.00450969	0.00442879	0.0067894	0.00756122	0.0107909	0.00815411	0.0160077	0.0071121	0.0401552	0.00959457	0.0115111	0.0136595	0.0202988	0.00906147	0.0191844	0.0202476	0.0229315	0.0305692	0.0307609	0.0374837	0.0498839	0.0358329	0.0583585	0.0450747	0.0500683
