 	w	a	á	s	í	í	s	i	e	b	y	é	m	b	o	y	á	m	b	ώ	n	g	ω	y	i	t	ώ	ω	l	á	m	w	á	s	í	y	a	w	a	</S>
il	0.145028	0.220961	0.206926	0.142944	0.0816634	0.0695383	0.0181788	0.0348008	0.0208549	0.00971526	0.00772107	0.00107966	0.00136362	0.00177657	0.0026069	0.00246817	0.00220942	0.00139746	0.00163438	0.0013916	0.00118539	0.00105686	0.00108004	0.00106096	0.00103285	0.00109732	0.00104424	0.00107533	0.00102335	0.000839436	0.00117707	0.00183576	0.00220311	0.00119343	0.00196784	0.0020914	0.00117065	0.0011795	0.00130684	0.00112076
a	0.0147319	0.0121432	0.0135765	0.0229899	0.0780153	0.117557	0.0446418	0.046228	0.0456711	0.0452023	0.0629122	0.0923202	0.0479951	0.0306382	0.0392352	0.0233392	0.0184119	0.0188476	0.0240456	0.0136472	0.0177313	0.0245887	0.0241148	0.00761411	0.00782652	0.00569633	0.00337901	0.00252584	0.00317647	0.00129371	0.00283329	0.00934859	0.0129286	0.00400837	0.0157874	0.0137925	0.00524716	0.00804558	0.0111365	0.00677556
versé	0.0162657	0.0232406	0.0242534	0.0257705	0.0439853	0.0333958	0.0306989	0.029321	0.018957	0.0159381	0.0175665	0.0290583	0.0261703	0.0260733	0.0178783	0.0156084	0.029162	0.0253535	0.0354094	0.0479943	0.0520687	0.0270921	0.0246678	0.0600883	0.0396321	0.0302691	0.0269985	0.0262511	0.0238207	0.0157462	0.0111362	0.0122383	0.0200308	0.00782111	0.0187583	0.0157456	0.013646	0.0171848	0.0144542	0.0102496
les	0.0103022	0.0139405	0.0107887	0.0183781	0.0343643	0.0318873	0.032179	0.0387966	0.0314985	0.0280895	0.027802	0.030273	0.0363505	0.0371865	0.0267288	0.0337308	0.0278055	0.0182048	0.0267042	0.035062	0.0308113	0.031279	0.0619887	0.0589844	0.0651823	0.0445031	0.0256865	0.0241534	0.0193285	0.00738693	0.00417875	0.00337593	0.00509445	0.00334525	0.00526601	0.00672908	0.0103517	0.00712623	0.0131601	0.0219954
arrhes	0.0171056	0.0188565	0.0176419	0.0181575	0.0258807	0.0324168	0.0346144	0.0312196	0.0199171	0.0252088	0.028769	0.0228713	0.0251467	0.0191592	0.0180189	0.0185016	0.0214526	0.0270778	0.032535	0.0359087	0.0301713	0.0354341	0.0470937	0.0388504	0.0371092	0.0310868	0.0230685	0.0312843	0.0262242	0.0164566	0.0215284	0.0178022	0.0211775	0.0187262	0.0111492	0.0178177	0.0287561	0.0102338	0.0114248	0.0341454
sur	0.00859009	0.0108328	0.00827396	0.00792581	0.0130776	0.011188	0.0108281	0.0174814	0.0154648	0.0131037	0.0153779	0.0107729	0.0133037	0.010564	0.0110797	0.0133444	0.0151371	0.0189733	0.0194985	0.018749	0.0257103	0.0343009	0.038846	0.0482699	0.0465564	0.0489425	0.049402	0.0740589	0.0639372	0.0682662	0.0519837	0.0186536	0.0174503	0.0182515	0.0169	0.0151686	0.0201718	0.0128517	0.0183927	0.0483191
la	0.004793	0.00519124	0.00413208	0.00390733	0.00590274	0.00686016	0.00582277	0.010182	0.00952713	0.0116856	0.0188361	0.0105682	0.0112505	0.0114339	0.0111184	0.0125097	0.0147394	0.0142847	0.0172478	0.015691	0.0183328	0.0209808	0.0247004	0.0365806	0.0486506	0.0725878	0.0708395	0.0746732	0.0716259	0.061297	0.049145	0.0266685	0.0262031	0.0268758	0.0257862	0.0264705	0.0291379	0.0175299	0.0286736	0.0375573
dot	0.024681	0.0280037	0.0226029	0.0162658	0.0154815	0.0197522	0.018716	0.0316919	0.0242853	0.0279118	0.0246932	0.0087677	0.00983604	0.0082299	0.0133682	0.0178308	0.0236827	0.026653	0.0279708	0.0300649	0.0336786	0.0433256	0.0452126	0.0596914	0.05031	0.044926	0.0265634	0.027913	0.0128443	0.0099191	0.0099199	0.0190137	0.0141672	0.0125956	0.0152559	0.0153594	0.0126257	0.0151615	0.0147301	0.0962973
de	0.00996596	0.0119584	0.00955553	0.00789373	0.00893146	0.0162097	0.0138003	0.0236754	0.0158978	0.0166297	0.0177204	0.00823073	0.0107564	0.00960603	0.0129009	0.0174336	0.023528	0.0253207	0.0241115	0.02476	0.0261004	0.0280236	0.0206583	0.0301792	0.0335584	0.0438131	0.0398872	0.0484583	0.0447	0.0388238	0.0297822	0.0297479	0.0309748	0.0327272	0.0289711	0.0354846	0.0383593	0.0304724	0.0364402	0.0439519
sa	0.0180189	0.0189434	0.018368	0.0169445	0.0139547	0.0132342	0.0137514	0.0125362	0.0118998	0.010833	0.0109736	0.00874763	0.00905999	0.00845573	0.0086112	0.00812503	0.00795936	0.0086476	0.00867048	0.00992153	0.00976164	0.0102761	0.013812	0.0137721	0.017976	0.0219773	0.0200202	0.0234257	0.0284376	0.0183029	0.0304352	0.0539767	0.0536883	0.0535745	0.0566716	0.0662752	0.0684683	0.0602432	0.0681342	0.0731149
femme	0.00845762	0.00995169	0.009436	0.00934615	0.00871593	0.00860435	0.00852345	0.00917409	0.00767999	0.00895956	0.0124217	0.0105931	0.0107243	0.0103761	0.0172205	0.0159859	0.0102895	0.014073	0.0147641	0.0169889	0.0217773	0.032709	0.0564831	0.0476409	0.0421613	0.0272614	0.0202541	0.0228839	0.0203109	0.0136842	0.0201287	0.0393493	0.0332514	0.0374517	0.057645	0.0555945	0.0417911	0.0411484	0.0531036	0.0930843
</S>	0.0107987	0.0121829	0.013102	0.0123301	0.0111087	0.0129172	0.0139495	0.0127923	0.0122077	0.0126181	0.0146682	0.0116115	0.00999785	0.00889904	0.0104109	0.00960644	0.00768505	0.0115571	0.00948666	0.0120995	0.0172789	0.0222213	0.0371501	0.0312284	0.0356514	0.0241264	0.0201224	0.0286136	0.0303839	0.0185549	0.0218475	0.0425444	0.0458598	0.030618	0.0494729	0.0664213	0.0549603	0.015454	0.0682289	0.109232
