 	n	g	á	í	b	έ	r	i	w	á	o	t	s	ω	ώ	s	é	l	é	n	g	é	</S>
je	0.119845	0.219245	0.332387	0.163403	0.0118584	0.00788967	0.00737863	0.00990235	0.0103125	0.00833807	0.00721403	0.00633333	0.00950358	0.0135207	0.00892668	0.00938395	0.00676588	0.0064184	0.00495926	0.00756657	0.00811367	0.0124591	0.00827518
lui	0.155444	0.0353169	0.0329702	0.0272568	0.0273382	0.0565292	0.098272	0.132226	0.114608	0.0585937	0.0463886	0.0459926	0.016722	0.0423394	0.0216106	0.0115294	0.00677931	0.00602925	0.00398014	0.0166886	0.0134426	0.0121027	0.0178397
ai	0.0369546	0.0519997	0.0681483	0.0375949	0.0572358	0.0679152	0.0550463	0.074835	0.0581733	0.0418017	0.0202446	0.0430799	0.0542814	0.0274972	0.0283883	0.0339793	0.0434892	0.0438881	0.0450651	0.0318235	0.0287859	0.0298617	0.0199112
donné	0.035762	0.0179608	0.0153888	0.0242558	0.049188	0.0683524	0.0296915	0.0326954	0.0442057	0.0345355	0.0637379	0.0856652	0.112725	0.0634792	0.0631096	0.0580029	0.0470184	0.0378038	0.0260531	0.0222713	0.0192421	0.0225411	0.0263147
un	0.0299782	0.00708919	0.0106221	0.0193783	0.0468234	0.0567074	0.0303418	0.0217942	0.0122644	0.00806094	0.00698044	0.023579	0.0488059	0.0462476	0.0664552	0.0852147	0.0889656	0.101166	0.0681783	0.0565132	0.0605611	0.0431839	0.0610891
coup	0.00904391	0.00616418	0.00939377	0.00952608	0.0126977	0.0153818	0.0161501	0.0141697	0.0146185	0.0136173	0.0233116	0.0233612	0.0356306	0.0665082	0.055335	0.0590297	0.0669019	0.08225	0.0782155	0.0754673	0.0934468	0.103051	0.116728
de	0.0120598	0.00950305	0.0132562	0.0147198	0.013782	0.0140047	0.0176211	0.0138017	0.0150356	0.0172961	0.0211101	0.0270149	0.0417297	0.0518574	0.0634427	0.0783023	0.0831991	0.0758812	0.0934955	0.0719845	0.0801577	0.0744263	0.0963187
poing	0.0258529	0.0241066	0.0231913	0.0235092	0.0231777	0.0217306	0.0222278	0.017142	0.0224895	0.0172208	0.0154808	0.0208993	0.0502745	0.0753903	0.0747759	0.0742421	0.053166	0.0593517	0.0477876	0.068167	0.0763287	0.0751741	0.0883136
dans	0.0258011	0.025143	0.0252451	0.0253238	0.0252417	0.0181718	0.017026	0.00964557	0.0134215	0.00824022	0.00795528	0.0118562	0.0334213	0.0641331	0.0694985	0.0771907	0.0559866	0.070714	0.0643829	0.0804146	0.0883528	0.0881256	0.0947084
la	0.0302284	0.02778	0.0263296	0.02764	0.0274601	0.0242814	0.0252455	0.0221331	0.0235395	0.0163874	0.0107452	0.0139053	0.028455	0.0529452	0.0404025	0.0289296	0.0341838	0.0720624	0.0860115	0.089494	0.0945227	0.098255	0.0990628
face	0.0134886	0.0161106	0.0240319	0.0182418	0.0238464	0.0182148	0.0148051	0.0132416	0.0171031	0.0146786	0.0179241	0.0226988	0.0495163	0.0736114	0.122727	0.0691377	0.0470601	0.0457024	0.0574335	0.0494015	0.0803151	0.0967651	0.0939442
</S>	0.0714242	0.0466838	0.0330802	0.0398666	0.0299861	0.0159104	0.0281748	0.0324924	0.0303028	0.0118286	0.0125768	0.0156948	0.0333672	0.0654805	0.0349588	0.0237441	0.0195969	0.0382654	0.0564592	0.0647431	0.0655396	0.0976169	0.132207
