 	a	y	ú	r	u	á	m	i	d	z	w	á	e	b	h	o	n	g	ó	ó	k	ú	b	h	á	y	á	a	m	b	e	e	</S>
les	0.161004	0.134315	0.0764099	0.023635	0.00839052	0.00540963	0.0047343	0.0111382	0.0251392	0.0479874	0.0438468	0.0489867	0.0381498	0.0404774	0.0341211	0.0205076	0.0175457	0.0162683	0.0287697	0.0204919	0.014436	0.0184025	0.017606	0.0197287	0.019778	0.0207297	0.0143169	0.0127457	0.0108469	0.0111934	0.0109394	0.0107955	0.0111531
femmes	0.0187628	0.0177066	0.0468871	0.077219	0.182187	0.186873	0.120639	0.134391	0.0298842	0.0390919	0.0292236	0.00696528	0.00501063	0.00610277	0.00346204	0.000747873	0.000949174	0.00375734	0.0046123	0.00670437	0.00531781	0.00551551	0.00721285	0.0109007	0.0113663	0.00876769	0.00725678	0.0048188	0.0039902	0.00349136	0.00311202	0.00312503	0.0039485
sont	0.0150803	0.00787046	0.00768583	0.0110246	0.0160156	0.0132374	0.0185553	0.0308116	0.0486707	0.0529249	0.0714572	0.0487559	0.0893428	0.0781557	0.0926133	0.0414594	0.0369998	0.0338472	0.0274849	0.0228586	0.0211365	0.015827	0.0158157	0.0164072	0.033107	0.0315145	0.0227366	0.014293	0.0127114	0.0153264	0.0135043	0.0148144	0.00795463
parties	0.0081722	0.0127351	0.0178504	0.0236563	0.0355692	0.0393634	0.0299954	0.03563	0.0436338	0.0559165	0.0329096	0.0277019	0.0240157	0.0359451	0.0378534	0.0281916	0.0375594	0.0315187	0.0392388	0.0402869	0.033809	0.0303486	0.0337519	0.03207	0.0386465	0.0334761	0.0221794	0.0233361	0.0229761	0.0239538	0.0175882	0.0254826	0.0246383
travailler	0.0234657	0.0187814	0.0205819	0.0176292	0.0205784	0.0201723	0.0276982	0.014996	0.0226398	0.0245544	0.0280594	0.0256218	0.0177615	0.027572	0.02313	0.0284399	0.0318803	0.0256299	0.0329288	0.027369	0.0393089	0.0394636	0.04676	0.0372258	0.0293406	0.0332231	0.0221053	0.0318899	0.0243317	0.0347984	0.05332	0.0553237	0.0734191
en	0.0244265	0.0168087	0.0171481	0.0156394	0.0186643	0.0193377	0.0223595	0.0160025	0.0254497	0.0318991	0.033112	0.0290168	0.0247228	0.0307121	0.0226159	0.0251244	0.0279674	0.0220579	0.0231812	0.0243368	0.0387641	0.0416663	0.0374897	0.0359232	0.0355655	0.0371191	0.0332203	0.0365155	0.0289156	0.0393725	0.053264	0.0541237	0.0574776
équipe	0.0161391	0.0110762	0.0106112	0.0111412	0.0126823	0.0125735	0.0103007	0.00893434	0.00943291	0.0183319	0.0178612	0.0285548	0.0501016	0.0271581	0.0219542	0.0491642	0.0278628	0.0323298	0.0347848	0.0261579	0.0423976	0.0371348	0.0259357	0.0247643	0.0231473	0.0276971	0.0356556	0.0390311	0.0496564	0.0593593	0.0708633	0.0587826	0.0684222
dans	0.0218596	0.0208465	0.0201813	0.0199144	0.0156194	0.00910438	0.0141348	0.0088834	0.0122965	0.0148068	0.0117535	0.0246552	0.0204805	0.0149294	0.00826162	0.0322029	0.0218073	0.0206906	0.022566	0.0187722	0.0384465	0.0447345	0.0327979	0.0229787	0.0164671	0.0127058	0.0206394	0.0220186	0.0462693	0.0685785	0.11497	0.126582	0.0790455
le	0.0459659	0.0245994	0.0210173	0.0192568	0.0204751	0.0128244	0.0123248	0.0105212	0.0121971	0.0197319	0.017968	0.0263049	0.0285639	0.0338352	0.0149288	0.019707	0.0164468	0.02003	0.0141977	0.0137398	0.0311909	0.0319968	0.0202473	0.0177045	0.0140978	0.0195208	0.0329209	0.0365904	0.0618366	0.0774444	0.0911622	0.0958879	0.0647633
jardin	0.0312597	0.0244885	0.0219572	0.0152339	0.0145638	0.0107909	0.00740817	0.00636939	0.00342561	0.00356667	0.00393501	0.00581762	0.00847224	0.00915283	0.0106498	0.0227134	0.0433645	0.0269343	0.0291297	0.0255197	0.0536882	0.0583101	0.0479855	0.0363848	0.031599	0.0355747	0.0396681	0.0428179	0.0470927	0.0603577	0.0515854	0.0636281	0.106555
d'	0.0280815	0.0226734	0.0198211	0.0157788	0.0154854	0.00985414	0.00992797	0.0089242	0.00720741	0.00764922	0.00750956	0.00876	0.0136491	0.0178762	0.0228876	0.038046	0.0703418	0.0396814	0.0289632	0.0273269	0.044954	0.048107	0.0398805	0.0286793	0.0134993	0.0173702	0.0164579	0.0243717	0.026216	0.0546563	0.0649827	0.0726436	0.127737
ambee	0.0258637	0.0209755	0.0220061	0.0178351	0.0218194	0.012218	0.00731731	0.005607	0.00276634	0.00308565	0.00180217	0.00460084	0.0114737	0.00640694	0.0204058	0.0376732	0.0611522	0.037293	0.0470928	0.0373039	0.0655018	0.0527705	0.0465514	0.0292831	0.0259387	0.0272655	0.0296404	0.0412716	0.040682	0.0570665	0.0444047	0.0607221	0.0742032
</S>	0.023482	0.017983	0.0151178	0.0136344	0.0125688	0.00632629	0.0053302	0.00385396	0.0047747	0.00547296	0.00482717	0.00815577	0.020459	0.0158332	0.0305798	0.0605602	0.0833022	0.0490302	0.0393163	0.0404138	0.0559618	0.0501601	0.0421355	0.0343809	0.0246564	0.0287637	0.0276748	0.033647	0.035491	0.0437971	0.04115	0.0523306	0.0688294
