 	w	á	á	n	g	á	i	w	é	l	é	e	k	u	n	d	á	n	g	á	s	á	o	y	o	á	l	e	n	d	ú	m	a	s	a	a	m	ó	t	é	m	a	</S>
si	0.109511	0.132715	0.0915075	0.0621453	0.0489488	0.0318408	0.0198037	0.012064	0.0202972	0.0351276	0.0236855	0.0285067	0.0254711	0.0278741	0.0258172	0.0160925	0.0196626	0.0160406	0.0100516	0.00976122	0.00761792	0.00625556	0.00753589	0.00466556	0.00732381	0.00577875	0.00674126	0.0052228	0.00414399	0.00580868	0.00481312	0.0072343	0.0105222	0.0110699	0.0139391	0.0160112	0.0117477	0.0180041	0.0184102	0.0207905	0.0142833	0.0139449	0.0112118
je	0.107433	0.0694997	0.0321153	0.0183711	0.0311911	0.0292505	0.0196464	0.045262	0.024143	0.0345312	0.0344331	0.0316774	0.0335063	0.0370498	0.032135	0.0221146	0.0263558	0.061568	0.0491364	0.0383832	0.0458156	0.0193205	0.015798	0.0115331	0.0119341	0.00769096	0.0089567	0.00555755	0.00340534	0.00320282	0.00516646	0.00327134	0.0037468	0.00320428	0.00579688	0.00371392	0.00485442	0.00361347	0.00577753	0.00734127	0.00557958	0.0130027	0.0239138
meurs	0.00408953	0.00384419	0.00275734	0.00602225	0.00573059	0.00938022	0.0153901	0.0218933	0.0250266	0.0295458	0.0269336	0.021945	0.0336022	0.0295083	0.0549633	0.0365163	0.0571233	0.0881801	0.0701051	0.085952	0.106812	0.0442001	0.0234708	0.0164685	0.0125083	0.00806789	0.00896628	0.00789481	0.00574339	0.00668415	0.00915564	0.00582963	0.00802351	0.00694903	0.0110652	0.00771532	0.00807891	0.00812282	0.0101141	0.0106224	0.0110175	0.0136528	0.0203273
enterrez-moi	0.0390445	0.0247513	0.00991167	0.0102854	0.0106753	0.0170235	0.0581894	0.0417832	0.0133985	0.022638	0.0284719	0.0180051	0.0191076	0.0275064	0.0273703	0.0260113	0.0340139	0.0224955	0.0365962	0.0333413	0.057944	0.0262777	0.0239608	0.018681	0.0153064	0.0149053	0.0161079	0.0305489	0.0281228	0.0251984	0.0319663	0.0283476	0.0334452	0.013857	0.0237823	0.0102394	0.0153612	0.0100293	0.00804142	0.00920227	0.00961489	0.00540751	0.0230322
dans	0.00488966	0.00341538	0.00410364	0.00867408	0.0108743	0.0166355	0.016973	0.0212231	0.0200234	0.0155764	0.0206221	0.01701	0.0162899	0.0211853	0.0207633	0.0202042	0.0278649	0.0184093	0.0170454	0.0265699	0.0306676	0.0504172	0.0505966	0.0968281	0.0475735	0.042213	0.0311921	0.0246308	0.0253246	0.0199351	0.0245946	0.0205805	0.0188996	0.0222674	0.0190456	0.0162095	0.0158194	0.0152598	0.0145916	0.0157615	0.0200412	0.0160964	0.0331019
la	0.0092605	0.0111667	0.00968603	0.00528609	0.0102224	0.0129377	0.00870359	0.0151776	0.0134881	0.0137948	0.0189592	0.0212534	0.0182573	0.0223555	0.024161	0.0202442	0.0212663	0.0197075	0.0201089	0.0256826	0.0266055	0.029166	0.0329865	0.0332429	0.0353979	0.0382327	0.0382633	0.0290742	0.0304298	0.0311845	0.0276862	0.0247865	0.0223627	0.0235567	0.0241939	0.0236488	0.0269036	0.0248165	0.0231858	0.0185852	0.023272	0.027298	0.0634012
forêt	0.00688834	0.00762958	0.00506224	0.00340635	0.00667849	0.0102257	0.00850385	0.01559	0.0132417	0.0142425	0.026736	0.0397296	0.0317175	0.0274002	0.0310704	0.0218778	0.0242409	0.0218003	0.0229588	0.0315004	0.0372351	0.0350974	0.0367617	0.0323011	0.0305648	0.0287156	0.0282906	0.021694	0.0237044	0.0227251	0.0207333	0.0208991	0.0222765	0.018721	0.0237978	0.0226327	0.0221583	0.017747	0.0174429	0.0186501	0.0213212	0.0307909	0.0752389
oyoa	0.00665105	0.00608576	0.00558872	0.00548133	0.00841581	0.0113423	0.00854754	0.0116741	0.00985278	0.00787714	0.00946112	0.0129412	0.0110607	0.00946163	0.0193814	0.0141367	0.0195497	0.0149173	0.0136571	0.0220112	0.0269894	0.0331508	0.0379069	0.0440564	0.0439425	0.0417075	0.0399246	0.0319581	0.0296599	0.0292917	0.0230954	0.0296286	0.0285581	0.0293255	0.0308017	0.0282622	0.0319245	0.031146	0.0317881	0.0313819	0.0376249	0.036806	0.0429749
avec	0.0053665	0.00529154	0.00396831	0.00461826	0.00484099	0.00554352	0.0082602	0.0161631	0.0101568	0.0154315	0.0105441	0.0144986	0.0204332	0.00921841	0.0304301	0.0146116	0.0241755	0.0252288	0.0284886	0.0457293	0.0693954	0.0590877	0.0529445	0.0649241	0.0451746	0.0468757	0.0370362	0.033672	0.0298213	0.0205247	0.0200011	0.0163972	0.0140237	0.0140926	0.012018	0.0116242	0.0144623	0.0147209	0.0137083	0.0190283	0.0221518	0.024438	0.0408786
une	0.0121491	0.0113399	0.00898812	0.00983389	0.00968843	0.0121142	0.0129382	0.0209749	0.01258	0.0102845	0.00874459	0.0110627	0.0164206	0.0106044	0.0276237	0.0219272	0.0337703	0.0189668	0.0206623	0.0381172	0.0709008	0.0629726	0.0532733	0.0736626	0.0398569	0.0488731	0.0364075	0.0256243	0.0245078	0.0195749	0.0159802	0.0188253	0.0149859	0.0186943	0.0115666	0.010126	0.0129648	0.0126733	0.0122147	0.0145791	0.0150384	0.0200881	0.0378184
