 	ω	b	v	έ	l	a	w	a	á	d	z	a	i	t	á	a	l	á	b	á	n	a	b	á	a	b	h	í	n	g	á	w	a	</S>
son	0.00917214	0.0122121	0.0149503	0.0132214	0.0206039	0.0125019	0.0156512	0.0344765	0.027149	0.0426794	0.0471469	0.0472191	0.0484966	0.0399025	0.0402196	0.0220879	0.0313933	0.0263078	0.0215312	0.0229655	0.0210211	0.021422	0.0235497	0.0304413	0.017792	0.0554074	0.04285	0.0729374	0.0472551	0.0257058	0.0322403	0.0196121	0.0207669	0.0191107
bonheur	0.0323973	0.140586	0.0785983	0.0682365	0.0556207	0.046861	0.0462609	0.0286698	0.0219779	0.0147008	0.00774543	0.00604874	0.00316565	0.00179756	0.00286388	0.00345902	0.00843843	0.0289565	0.0165535	0.029745	0.018226	0.0335524	0.0346522	0.0383416	0.00642191	0.0279419	0.0437467	0.0632429	0.0182376	0.0349124	0.0243407	0.0097544	0.00317282	0.000773486
était	0.0740903	0.0694723	0.0415698	0.0488309	0.0237995	0.0426042	0.0691573	0.0235657	0.0404986	0.0445547	0.0218689	0.0241556	0.029324	0.015269	0.017074	0.00774346	0.019981	0.0158564	0.0393343	0.0258247	0.0386769	0.035202	0.0307303	0.0198805	0.0167226	0.0634355	0.0202851	0.0264123	0.0182329	0.0101056	0.0130945	0.00453773	0.00527007	0.00283938
d'	0.0120281	0.0198233	0.0183469	0.0257483	0.0205383	0.0195951	0.0305348	0.0191811	0.0209864	0.022272	0.0153918	0.0127334	0.00964155	0.0127769	0.00759391	0.0227918	0.0160638	0.0558485	0.0257034	0.037626	0.035453	0.053861	0.0358934	0.0613871	0.0328261	0.0480942	0.0524029	0.113472	0.039028	0.0247728	0.0177231	0.0154405	0.0191998	0.0252205
avoir	0.0252084	0.026791	0.0260168	0.0346214	0.0359349	0.0217419	0.0443589	0.0260298	0.0205584	0.0168772	0.019084	0.0136746	0.016098	0.0220329	0.0139557	0.0351424	0.0182195	0.0384889	0.0190109	0.0236696	0.0277382	0.0345164	0.0339965	0.0457792	0.0348338	0.0342696	0.0391483	0.0763047	0.0283883	0.0272532	0.0314968	0.0313931	0.0280015	0.0293651
tous	0.0373295	0.0443659	0.0500583	0.0556009	0.0523706	0.0379467	0.0419027	0.0408532	0.0445364	0.0353966	0.0366079	0.0275172	0.0218954	0.0259202	0.0209914	0.0494447	0.0170255	0.0237578	0.0106353	0.0119033	0.01252	0.0181554	0.019504	0.0274528	0.0253355	0.0155202	0.0252449	0.0215215	0.0217389	0.0260151	0.01832	0.022428	0.0241109	0.0360733
ses	0.0394384	0.032883	0.035893	0.0502411	0.0491842	0.0440409	0.0574139	0.0470329	0.0338503	0.0230255	0.020783	0.0126431	0.0109419	0.0168651	0.0103926	0.0811812	0.0169866	0.0379285	0.0128737	0.0293743	0.0125926	0.0431136	0.0189535	0.0272334	0.00610572	0.0427681	0.032918	0.0202237	0.0257737	0.0158747	0.0203719	0.0209484	0.0211676	0.0289819
enfants	0.0690396	0.0463657	0.0419187	0.0369504	0.041733	0.032209	0.0267908	0.0207085	0.0149596	0.0171898	0.0159121	0.022283	0.02275	0.0314892	0.0291179	0.0509795	0.031346	0.032883	0.0318912	0.0311104	0.0060315	0.0247379	0.00491456	0.0116619	0.00158423	0.0281174	0.0235423	0.018287	0.0375009	0.0062711	0.0258389	0.0208045	0.0452417	0.0978388
autour	0.155841	0.0563409	0.0434111	0.0420711	0.0347093	0.0159542	0.0197456	0.00885222	0.00675718	0.00692498	0.012541	0.0158594	0.0204647	0.0299203	0.0333285	0.0372315	0.0225271	0.0284719	0.0282792	0.0237617	0.00568567	0.0210725	0.00535079	0.0134373	0.00257855	0.0305675	0.0200234	0.0174923	0.0307429	0.00806505	0.0305924	0.0231602	0.0439665	0.104272
d'	0.0636143	0.0326868	0.0303363	0.0447509	0.0363767	0.0224347	0.0288771	0.0146653	0.0114883	0.00883874	0.00783649	0.01116	0.00784165	0.00981508	0.0137868	0.0314217	0.00888052	0.0137154	0.0100077	0.0111559	0.015648	0.0232489	0.020067	0.0388799	0.0145996	0.0484715	0.0474752	0.0547882	0.0530419	0.0332358	0.0418008	0.037272	0.0675889	0.0841922
elle	0.0786359	0.0321535	0.0267039	0.0165615	0.0137059	0.0142065	0.0202793	0.0125347	0.011696	0.0103234	0.0101053	0.0116923	0.0150623	0.0232543	0.0286638	0.0305884	0.0289051	0.0271158	0.0326831	0.0292647	0.0199314	0.0292071	0.0187637	0.0230967	0.00602235	0.0317721	0.0420685	0.0499682	0.0488417	0.0215066	0.0478018	0.035078	0.0678919	0.0839143
</S>	0.1179	0.0389453	0.0292939	0.0129836	0.0114165	0.0114157	0.0107047	0.00779937	0.00756387	0.0069608	0.00623925	0.00774239	0.0105058	0.0157754	0.0291188	0.0140416	0.014177	0.0119801	0.0196066	0.0132079	0.00949312	0.0157557	0.0116837	0.022427	0.0103351	0.0330828	0.0673204	0.135469	0.041182	0.0154642	0.0493083	0.0344371	0.0773966	0.0792665
