 	e	k	á	n	d	í	l	í	y	é	é	k	á	n	d	í	b	á	a	n	d	z	á	a	é	d	z	e	l	a	m	w	a	</S>
la	0.00925637	0.0138864	0.0168467	0.0199362	0.0299527	0.0204195	0.0379527	0.0375573	0.0450043	0.0317201	0.0402363	0.0344998	0.0478925	0.0210841	0.0385302	0.0265612	0.053974	0.02852	0.0209255	0.021462	0.0198605	0.0196223	0.0228395	0.0152964	0.0241329	0.0141098	0.0193941	0.0188306	0.0327264	0.0363113	0.0425489	0.076347	0.0330559	0.0287067
manière	0.0106908	0.013569	0.0403127	0.0213387	0.0103176	0.0201618	0.0213484	0.022969	0.0227914	0.017566	0.0413152	0.0414124	0.0405107	0.0490306	0.0471982	0.0543072	0.0438261	0.0495653	0.0447374	0.05699	0.0372776	0.0386562	0.0512855	0.0600489	0.0319045	0.0299324	0.019222	0.0203912	0.0141119	0.0115891	0.00578336	0.00546751	0.00235555	0.0020158
dont	0.0778538	0.0195251	0.0171206	0.0108349	0.00438568	0.00532787	0.00528574	0.00233624	0.002	0.00158486	0.00369574	0.006459	0.00819245	0.0207097	0.0504045	0.067159	0.05405	0.0739637	0.0796917	0.113924	0.0562111	0.0618944	0.0667131	0.0550465	0.0292099	0.0305157	0.013152	0.011134	0.00794202	0.0060291	0.00487306	0.00434533	0.0125482	0.0158812
ils	0.0414129	0.0376036	0.0412373	0.0397554	0.0252079	0.0231714	0.0208437	0.0119511	0.0178471	0.0206242	0.0119715	0.012256	0.0110291	0.00734509	0.0203726	0.0174944	0.0438431	0.0198892	0.0641488	0.103764	0.0606878	0.048246	0.0710896	0.041288	0.0288641	0.0190504	0.0127195	0.00925595	0.012269	0.0093953	0.00900297	0.014923	0.00983186	0.0616078
ont	0.0585787	0.034067	0.0308732	0.0270965	0.0247182	0.0341444	0.0354495	0.0241247	0.0147937	0.0164131	0.0358531	0.0509419	0.0474964	0.0580566	0.0448969	0.0202853	0.0167606	0.0202754	0.0299424	0.0388635	0.0292576	0.0202112	0.036544	0.0463806	0.0324615	0.0254287	0.0273744	0.0208518	0.0161691	0.0129355	0.0098819	0.00934528	0.0188543	0.0306731
affronté	0.030812	0.0309462	0.0418655	0.0317446	0.0633097	0.0759963	0.0760539	0.0478221	0.0258674	0.0322152	0.037439	0.0444073	0.037192	0.0448125	0.0199458	0.0111476	0.00732949	0.00834717	0.00999755	0.012587	0.0120424	0.010779	0.0190086	0.021319	0.0185314	0.0214272	0.0211212	0.0256794	0.0273039	0.0196234	0.0172585	0.0204638	0.0320736	0.0435304
le	0.0389256	0.029432	0.0248808	0.0231347	0.0158201	0.0201759	0.0163599	0.0222178	0.0142014	0.0138086	0.0195065	0.0191715	0.015793	0.0184052	0.0267773	0.0200847	0.0181313	0.0289495	0.0356073	0.0268607	0.0338591	0.0312716	0.0302684	0.0402219	0.0386486	0.0385924	0.0606101	0.0477461	0.0346294	0.0280217	0.0321122	0.0209324	0.0339604	0.080882
buffle	0.0438689	0.0378696	0.0407272	0.0309254	0.0109228	0.0139058	0.00899818	0.0135527	0.00985162	0.0119102	0.020076	0.0171482	0.0141422	0.0193533	0.016372	0.0174205	0.0128798	0.0210497	0.0245561	0.0209634	0.0219537	0.0134737	0.0088218	0.0273496	0.0255242	0.0270243	0.049638	0.071206	0.0276685	0.0345906	0.0500312	0.0375338	0.0623631	0.136328
était	0.094672	0.0842267	0.0625403	0.0401456	0.0515928	0.0481073	0.0327139	0.0348343	0.0391536	0.0678084	0.0335745	0.0435835	0.0438806	0.0405059	0.027193	0.0237714	0.0246579	0.0270512	0.0167581	0.0108492	0.00862997	0.00962351	0.00996795	0.00790398	0.00796118	0.00686211	0.00641144	0.00772924	0.00536733	0.00534457	0.00740016	0.0111188	0.0103246	0.0477351
epouvantable	0.0694526	0.0441367	0.033456	0.0326342	0.014098	0.0103142	0.00908816	0.00923643	0.00913003	0.00647606	0.00966626	0.0107743	0.012788	0.0130416	0.0215762	0.0227488	0.0250862	0.030077	0.0298621	0.0233956	0.0198878	0.0140676	0.0123218	0.0149872	0.0113335	0.0110426	0.0152448	0.0314129	0.0214076	0.0283347	0.0534928	0.0812446	0.0691653	0.179018
</S>	0.0908268	0.0701484	0.0510894	0.0406474	0.0266148	0.0231753	0.0148494	0.0127064	0.00740407	0.00432526	0.00647882	0.00731843	0.00895932	0.00683489	0.0155922	0.0168918	0.0194497	0.0247672	0.039529	0.023274	0.0313448	0.0238348	0.0159448	0.0349898	0.0176799	0.0233173	0.0120615	0.0273903	0.0130948	0.0156733	0.023404	0.042047	0.0489392	0.159396
