 	o	t	a	a	w	á	á	o	b	a	r	í	í	t	s	í	n	a	w	a	b	h	έ	ε	l	á	a	k	y	á	i	k	y	έ	έ	</S>
ne	0.0122501	0.00723879	0.00676372	0.00904644	0.0203172	0.0122012	0.0190208	0.0167031	0.0213582	0.0253738	0.0411514	0.0425584	0.0426465	0.068765	0.0408823	0.0561867	0.0345667	0.0551777	0.0489122	0.0196519	0.0170196	0.0191654	0.020304	0.027054	0.0206876	0.0148972	0.0130518	0.0228933	0.0177835	0.0332833	0.0337246	0.0349959	0.0368015	0.0314878	0.0299551	0.0261231
pense	0.0665284	0.0228768	0.027037	0.0625228	0.0807969	0.0730907	0.0635554	0.0614148	0.0315779	0.0241508	0.0294192	0.0279137	0.0142872	0.0210391	0.0227968	0.0151642	0.0194249	0.0110638	0.0161867	0.0171658	0.0157126	0.0167023	0.0374317	0.0195036	0.00831041	0.0108731	0.0134163	0.0281076	0.0254649	0.0195907	0.0145224	0.0111296	0.0159862	0.0216412	0.017113	0.0164816
pas	0.063394	0.0478244	0.0437372	0.052069	0.0321297	0.0229837	0.0202797	0.0223732	0.0282072	0.0289179	0.024521	0.0309216	0.0169199	0.0187613	0.030597	0.0318493	0.0468794	0.0499844	0.132641	0.0684258	0.0365837	0.0352476	0.0233228	0.0102202	0.00978323	0.0070009	0.00609106	0.00704626	0.00361746	0.00600915	0.00529331	0.00684619	0.00710149	0.00811724	0.00748119	0.0068218
trop	0.0464013	0.0346017	0.0216706	0.0161499	0.00821386	0.0167668	0.0117954	0.0166815	0.0144097	0.0135205	0.0129063	0.0139805	0.00824693	0.0123233	0.0205787	0.0246594	0.0364846	0.0414	0.0512736	0.0768225	0.0603601	0.046518	0.0874748	0.037059	0.0332501	0.0374701	0.035144	0.0258597	0.0410244	0.0115814	0.0113764	0.00994287	0.0209983	0.0122717	0.0149037	0.0158783
à	0.0391707	0.022462	0.0445225	0.0237057	0.0477628	0.0206839	0.0231911	0.0151257	0.0162225	0.01049	0.00762204	0.0106417	0.0133913	0.0118232	0.0177792	0.0108482	0.0121819	0.0089311	0.0193072	0.0293569	0.0300034	0.0195536	0.0177149	0.0139644	0.0139888	0.0227264	0.0371116	0.0493542	0.0468216	0.0473281	0.0455799	0.0391929	0.077164	0.0427251	0.0447396	0.0468117
cela	0.0509733	0.0791784	0.0873661	0.0532763	0.056794	0.0309916	0.0243916	0.0188011	0.0116589	0.00923499	0.0129926	0.0175944	0.0191658	0.0314088	0.0366279	0.0180178	0.0177461	0.0166715	0.0152591	0.0146384	0.0118838	0.0103692	0.0100685	0.011071	0.00952126	0.010493	0.0147836	0.0156617	0.0324548	0.0232159	0.0279105	0.0314366	0.0412377	0.0313684	0.0349543	0.0607808
parce	0.0603442	0.0731502	0.0819422	0.0439302	0.0359857	0.0272048	0.0219652	0.0178713	0.0114759	0.00974935	0.0140793	0.019826	0.0225254	0.0305162	0.0299264	0.0182771	0.0190915	0.0195106	0.0177354	0.017294	0.0155803	0.0149421	0.0146528	0.0144107	0.00964776	0.011057	0.0140606	0.015923	0.0230926	0.0239309	0.0313848	0.0371832	0.0376576	0.0401283	0.0412302	0.062717
qu'	0.0474451	0.0836483	0.0456724	0.0375405	0.0376181	0.0219258	0.0232899	0.0133282	0.0177019	0.0159615	0.0257673	0.0334	0.0439122	0.0589272	0.0601414	0.0350902	0.049107	0.0516419	0.0174413	0.0077372	0.00422221	0.00704368	0.00883544	0.00955	0.00745717	0.00925257	0.0100109	0.0161995	0.00971054	0.00893177	0.0113811	0.0120106	0.0121717	0.0190152	0.0382837	0.0886264
il	0.09263	0.0762869	0.0478396	0.0448225	0.0381592	0.0393049	0.0254854	0.0199536	0.0188031	0.0141523	0.0170022	0.0319963	0.0207989	0.0198428	0.0180515	0.0233665	0.0378936	0.0408765	0.0222105	0.0126896	0.0103411	0.0122094	0.0106548	0.0129435	0.0102053	0.0104851	0.0138207	0.0239624	0.013849	0.0172415	0.0154756	0.0183587	0.0179967	0.0371471	0.0422113	0.0709323
blague	0.0905319	0.0392614	0.0242223	0.0203217	0.0137224	0.0139251	0.0111472	0.00810395	0.0085159	0.0100626	0.0140482	0.0214733	0.024692	0.019052	0.0155098	0.0153098	0.032976	0.0339608	0.0213032	0.0205131	0.0261863	0.0191972	0.0146728	0.0097812	0.0135811	0.0156221	0.0145714	0.0319278	0.0147663	0.0235339	0.023146	0.0320478	0.0358522	0.076541	0.0746174	0.115303
seulement	0.0342735	0.0265252	0.0322187	0.0247766	0.0171156	0.0155564	0.00976455	0.00723834	0.00542042	0.00454285	0.00694386	0.00687328	0.00567271	0.00888868	0.0110093	0.0109328	0.0242854	0.0232579	0.0149074	0.01414	0.0191365	0.0171637	0.0111405	0.00672447	0.0104846	0.0127702	0.0130127	0.0387356	0.0246349	0.0475952	0.0468775	0.0659601	0.0829627	0.0888301	0.10004	0.109588
</S>	0.0356201	0.0270555	0.0259998	0.0229033	0.0122578	0.0131698	0.0111469	0.0111415	0.0100809	0.00743032	0.00758175	0.00772206	0.00437199	0.00539383	0.00715	0.00723063	0.0168168	0.0197674	0.0178396	0.0125426	0.0129782	0.0143232	0.0154629	0.0164385	0.0309986	0.0410837	0.0462097	0.0449649	0.0422778	0.0491565	0.0661562	0.061959	0.0688304	0.0547067	0.0668267	0.0844045
