 	á	m	i	l	é	é	s	á	o	t	ú	y	a	m	é	k	ώ	ώ	s	ó	y	ó	o	</S>
on	0.431875	0.253448	0.179051	0.0124644	0.00347798	0.00543126	0.00330721	0.0038928	0.00521313	0.00730964	0.00580031	0.00592498	0.00623146	0.00796124	0.00777195	0.0078346	0.00559974	0.0069059	0.00694726	0.00661191	0.00616322	0.00623153	0.00710219	0.00744353
a	0.042975	0.0576323	0.0431275	0.0934931	0.107086	0.0866254	0.076012	0.0881087	0.0679521	0.0838466	0.0565608	0.0300453	0.0236717	0.0210254	0.0175599	0.0189636	0.0168131	0.017009	0.0102344	0.0109497	0.00674625	0.00625867	0.00791572	0.00938781
augmenté	0.0219675	0.0181438	0.0366136	0.0563052	0.0597784	0.0481544	0.0399338	0.0463894	0.0689579	0.0658095	0.0702504	0.0814392	0.102319	0.0556094	0.0263097	0.0193211	0.0203576	0.0190721	0.0222781	0.0188656	0.0198744	0.0233763	0.0349424	0.0239316
le	0.0447406	0.0447168	0.0342827	0.0582792	0.0773211	0.0714157	0.085758	0.0778349	0.0504046	0.0482565	0.0279256	0.0209884	0.0226954	0.0193463	0.0262755	0.0396109	0.0305126	0.0484009	0.0331934	0.0341747	0.0276891	0.02282	0.0215563	0.0318005
prix	0.0159358	0.0122794	0.0103832	0.0276818	0.0746793	0.0987913	0.101037	0.112132	0.0740175	0.0486842	0.029751	0.0304955	0.0325966	0.0406972	0.0304442	0.021904	0.0199738	0.0221406	0.0232478	0.0205176	0.0216242	0.0263604	0.0439468	0.0606782
du	0.0112958	0.0122789	0.0121736	0.0117095	0.0168692	0.0274977	0.0428252	0.0198543	0.0116841	0.0136204	0.0110448	0.0160827	0.0323163	0.0370087	0.0339495	0.0468723	0.0436507	0.0633911	0.0620214	0.0626375	0.0723918	0.0835276	0.0885871	0.16671
manioc	0.0228387	0.0227686	0.0204824	0.0418919	0.0441748	0.0429231	0.0409118	0.0415626	0.034134	0.0337508	0.0271119	0.0283291	0.0504502	0.0513898	0.0355096	0.0348969	0.0365305	0.0360052	0.037449	0.0429513	0.0472828	0.0588347	0.0574933	0.110327
à	0.0197082	0.0198335	0.0188365	0.0203518	0.0205758	0.0209212	0.0218566	0.0204197	0.019413	0.0202894	0.0200525	0.0219371	0.0315813	0.0554802	0.0543706	0.0512092	0.0439364	0.0509364	0.0529652	0.0619978	0.0799555	0.0841437	0.0833007	0.105928
oyo	0.0322	0.0318672	0.0290728	0.0245817	0.0195094	0.0152799	0.010791	0.010392	0.00692751	0.00517207	0.00450583	0.00624678	0.0121763	0.027269	0.0380575	0.0481584	0.0516467	0.0664009	0.0729351	0.0747513	0.0835495	0.105627	0.101922	0.120961
</S>	0.0311935	0.0295597	0.0264421	0.0251749	0.0246574	0.0230029	0.017883	0.0188048	0.0108836	0.00980721	0.00882304	0.0134834	0.0305376	0.0348738	0.0317668	0.0432284	0.0649248	0.0634776	0.0673716	0.065306	0.0581324	0.0635999	0.0687155	0.16835
