 	m	b	ε	ε	y	é	é	d	z	w	e	w	á	l	e	k	ώ	ώ	l	i	y	é	w	a	a	s	á	a	n	d	é	e	o	b	v	ú	r	a	k	a	á	</S>
depuis	0.00951776	0.0180305	0.0184217	0.0149991	0.0190772	0.0203201	0.0201566	0.0283812	0.0343487	0.044062	0.0683626	0.0463545	0.0496144	0.0485227	0.0810619	0.0310299	0.0207317	0.0223149	0.0212978	0.0175674	0.0118475	0.0152082	0.00923215	0.00779994	0.00872783	0.00786637	0.00579791	0.00975643	0.0155451	0.00734719	0.0131549	0.00714828	0.0150269	0.0162732	0.0279417	0.0379356	0.0290121	0.0268562	0.0316797	0.0226406	0.0202435	0.0187862
qu'	0.0549171	0.0821811	0.0699579	0.0730891	0.0568754	0.0283695	0.0217336	0.0111876	0.016597	0.0309951	0.0272786	0.0466011	0.0410215	0.0588307	0.0347097	0.0307387	0.0186555	0.0305977	0.013335	0.00776471	0.00575425	0.00844737	0.0106226	0.00646265	0.00441193	0.00348709	0.00559245	0.00769739	0.0123099	0.0116572	0.0311482	0.0143897	0.00976711	0.0198565	0.00967943	0.0186452	0.0229428	0.0137369	0.0119818	0.0068357	0.00640774	0.00272973
il	0.198411	0.124905	0.0716876	0.0436807	0.0246799	0.0238711	0.0241525	0.0236782	0.0202345	0.012242	0.0142579	0.0161098	0.03455	0.036642	0.00913578	0.0107017	0.00804236	0.0100825	0.0159664	0.009259	0.0227124	0.00752662	0.0198634	0.0136395	0.0176787	0.0124971	0.0196807	0.0188575	0.0132147	0.00737461	0.0115151	0.0100305	0.0135076	0.01137	0.0108165	0.0097077	0.00695889	0.00878713	0.00560889	0.00715913	0.00781517	0.0113888
est	0.0189607	0.0189657	0.0304997	0.0505416	0.0729972	0.0781026	0.0580312	0.0716709	0.0819123	0.0299794	0.0763042	0.0312458	0.0500945	0.0664218	0.0119393	0.0107983	0.0137503	0.00951965	0.0162496	0.0151804	0.00900794	0.00678485	0.00830951	0.0100119	0.0115026	0.0108929	0.0157214	0.0125747	0.00634765	0.00249414	0.0085446	0.00619122	0.00769926	0.0150231	0.00638225	0.00594003	0.00528708	0.00507672	0.00504487	0.00532786	0.00834831	0.0143218
parti	0.0388666	0.024117	0.0219903	0.0244292	0.0305497	0.0385946	0.0409863	0.0307676	0.0258058	0.0245541	0.0308403	0.0314181	0.042849	0.0606018	0.0458704	0.0141302	0.0204711	0.0175858	0.0207847	0.0153022	0.0172541	0.0152064	0.0196812	0.0151006	0.0102768	0.0105462	0.0100761	0.0169953	0.0160847	0.00905936	0.0137526	0.015259	0.00900995	0.0218899	0.0229222	0.028911	0.0223379	0.0185065	0.0207818	0.021513	0.0298411	0.0344795
pour	0.0239052	0.0291288	0.0244323	0.0268505	0.0334813	0.0358962	0.0361369	0.0328471	0.0362646	0.0222518	0.0268825	0.0146088	0.0245493	0.0296037	0.0241821	0.0153675	0.0195061	0.0130915	0.0159787	0.0252799	0.0211362	0.0171844	0.0173242	0.0166754	0.0111	0.0124506	0.0130685	0.0143942	0.0170703	0.0086127	0.022301	0.0136833	0.0173275	0.0274304	0.0287023	0.0410314	0.0344064	0.0153543	0.0276554	0.0242682	0.0338919	0.0546865
l'	0.00874206	0.0110217	0.0158368	0.021114	0.029139	0.0326817	0.0289964	0.0391178	0.0349932	0.0318738	0.0334916	0.0256719	0.0180509	0.0185834	0.0174944	0.0170395	0.0203278	0.0152492	0.0234592	0.0212689	0.0244556	0.0179498	0.0273867	0.0256175	0.0236556	0.0255789	0.0312349	0.0273039	0.0250962	0.014781	0.0254521	0.0155808	0.0232353	0.0249627	0.0248595	0.0265137	0.0266585	0.0186438	0.0286689	0.0231263	0.0219051	0.03318
école	0.047439	0.0341573	0.0223768	0.0201989	0.0190279	0.0177903	0.0147782	0.0201723	0.0206174	0.0197103	0.0132848	0.017759	0.0152698	0.03504	0.0250498	0.0452533	0.0369485	0.0474567	0.0552629	0.041708	0.0382041	0.0306081	0.0293953	0.0155196	0.0124353	0.018759	0.0201333	0.0206331	0.0216936	0.00830616	0.012663	0.00926716	0.00262846	0.0141129	0.00227158	0.00654765	0.0113447	0.0101109	0.0202341	0.0139304	0.0464701	0.0654302
il	0.0236752	0.0172495	0.0135688	0.0143646	0.018201	0.0201203	0.0223279	0.0301478	0.0266827	0.0201051	0.0103404	0.00867528	0.00787221	0.0238151	0.00780422	0.0125318	0.0158355	0.0124298	0.0229907	0.0284883	0.0429249	0.017664	0.0298074	0.0359906	0.0260068	0.042969	0.0829354	0.0408956	0.0454108	0.0235141	0.0378795	0.0205893	0.019321	0.0261759	0.0117959	0.0177129	0.0156074	0.0118893	0.0139514	0.0131929	0.0233091	0.0432306
n'	0.0848759	0.0291174	0.0188698	0.0172322	0.0142148	0.00725155	0.00595492	0.0069828	0.00595893	0.00675906	0.00702983	0.00584601	0.0085345	0.0119435	0.00995064	0.017141	0.0187031	0.0214417	0.0413735	0.0312605	0.038704	0.0232594	0.0382125	0.0494461	0.045365	0.0383172	0.0329293	0.0339366	0.0305032	0.0242135	0.0153457	0.0311717	0.0224851	0.0200136	0.0105149	0.0172539	0.0155726	0.013018	0.0218065	0.0203964	0.0330944	0.0539987
