 	n	g	á	l	í	i	l	á	n	g	á	e	t	ú	l	á	n	z	a	m	b	é	m	o	y	á	m	b	é	m	b	é	y	á	á	k	y	a	n	g	á	</S>
je	0.0640595	0.364402	0.358559	0.0970935	0.0444523	0.0075796	0.00161371	0.0020466	0.00121081	0.00228833	0.00211744	0.00223388	0.00118691	0.00150022	0.00188	0.00195428	0.00248966	0.00354008	0.00257774	0.00243216	0.00219053	0.00168785	0.0013003	0.00115656	0.00106551	0.00114314	0.00160849	0.00151772	0.0010918	0.00116522	0.00122102	0.00126332	0.00142377	0.00184267	0.00117159	0.00164155	0.00175338	0.00189016	0.00186538	0.00205504	0.00240795	0.00231936
demande	0.00814165	0.00530469	0.00726411	0.0106172	0.024644	0.0220609	0.0725879	0.110075	0.101035	0.0842465	0.0580455	0.0481304	0.0534482	0.0485562	0.0452677	0.0409533	0.0361619	0.0296114	0.0301601	0.00890616	0.0126265	0.0115098	0.00655167	0.00569075	0.00674991	0.0119857	0.00476592	0.00350565	0.004539	0.00432182	0.0054512	0.00688908	0.00627704	0.00474803	0.0092227	0.00384978	0.00363025	0.0112286	0.0144007	0.00618178	0.00604164	0.00461445
pardon	0.0404327	0.0628229	0.037457	0.03305	0.0148815	0.0220175	0.0409346	0.0287498	0.0214315	0.0216982	0.0217616	0.0181367	0.019437	0.0229746	0.0219982	0.0205452	0.0206605	0.0216702	0.0187014	0.0125365	0.0140849	0.0189922	0.0256365	0.033965	0.0654116	0.0440277	0.0337925	0.0246343	0.02082	0.0147256	0.0149489	0.0101952	0.0125721	0.011681	0.0189499	0.00995412	0.0155484	0.0179936	0.019158	0.0182058	0.0182316	0.0145735
à	0.0432766	0.021989	0.0255427	0.0182617	0.0153877	0.00826951	0.0104511	0.0126728	0.0116099	0.0146865	0.0083437	0.00775535	0.0171571	0.0130865	0.0123211	0.015785	0.022375	0.0205293	0.0350193	0.0365767	0.0338423	0.0366541	0.0343721	0.0317145	0.0276275	0.0233688	0.0352491	0.034196	0.0301814	0.0299285	0.02943	0.0259471	0.0286012	0.0303774	0.0165464	0.0294168	0.0243852	0.0288383	0.0232123	0.0245519	0.0270234	0.023439
dieu	0.0180802	0.00956665	0.0125369	0.005456	0.00427191	0.00481374	0.00729338	0.0101301	0.0105075	0.013125	0.0074895	0.00700796	0.00923192	0.00964543	0.00992019	0.0114807	0.0125505	0.010938	0.0141925	0.0155331	0.0215949	0.0226173	0.0316261	0.0377222	0.0450817	0.0428434	0.0431047	0.0457152	0.042386	0.0449446	0.0389022	0.0314909	0.0332469	0.0337365	0.0280776	0.0389074	0.0312408	0.0262653	0.0284699	0.0357484	0.0395945	0.0529124
pour	0.0366317	0.0131788	0.0230972	0.0120608	0.00509894	0.0067473	0.00925786	0.0145081	0.0119494	0.010369	0.0100446	0.0159342	0.0175951	0.0217274	0.0273472	0.0283024	0.0296308	0.0312418	0.0390998	0.0283678	0.0331263	0.0275071	0.0229682	0.0196863	0.0195483	0.0177314	0.0153145	0.0153392	0.0180308	0.0226864	0.024997	0.0291738	0.0285785	0.032234	0.0286194	0.0318317	0.0320956	0.0316	0.0320473	0.0332931	0.0370741	0.0543267
toutes	0.0206854	0.007925	0.00848435	0.0059631	0.00343517	0.00511462	0.00749187	0.010338	0.00844965	0.0107832	0.00847745	0.00865541	0.0107073	0.0115933	0.014214	0.0211668	0.0231192	0.0175889	0.0234254	0.0253023	0.0318337	0.0264091	0.0256006	0.0218287	0.0232267	0.0246564	0.0260199	0.026754	0.0304559	0.0337655	0.0356198	0.0395605	0.0390062	0.0468926	0.034107	0.0472159	0.0437299	0.0286731	0.0338417	0.0383199	0.03636	0.0532027
mes	0.00990278	0.00668973	0.00953357	0.00688041	0.00579727	0.00445382	0.00471703	0.00807263	0.0055198	0.0074838	0.0059545	0.00891524	0.00967226	0.0109775	0.0163276	0.0245186	0.0268661	0.0219765	0.0295902	0.0252194	0.0316451	0.0262797	0.0226165	0.0180116	0.0173121	0.0179918	0.0197268	0.0189365	0.0206319	0.0250692	0.0227029	0.0336425	0.0386381	0.0485233	0.0368352	0.0501266	0.0518407	0.0399659	0.0474688	0.0511152	0.048528	0.0633229
transgressions	0.0160012	0.0157355	0.0118739	0.0103746	0.00941321	0.00367008	0.00356162	0.00430805	0.00385983	0.00635167	0.00753345	0.00601692	0.0073483	0.00926843	0.00769435	0.0094921	0.0110354	0.0105557	0.0123969	0.0125122	0.015083	0.0177899	0.0230624	0.0216766	0.0276664	0.0207369	0.0218787	0.0212311	0.0203747	0.0224605	0.0192593	0.0325706	0.0269033	0.0425921	0.0531346	0.0480988	0.0564817	0.0584204	0.0683923	0.0628198	0.0669902	0.0733732
</S>	0.0343445	0.0123701	0.00703147	0.00730464	0.0128382	0.00819804	0.0078767	0.00995772	0.00822272	0.0137759	0.0134656	0.00822042	0.0117469	0.010658	0.0085282	0.00797708	0.00982682	0.00816229	0.00590167	0.00605309	0.00545406	0.00720423	0.013779	0.0159733	0.0280237	0.0194237	0.0250647	0.0281785	0.0282491	0.0347874	0.0274545	0.0384494	0.032427	0.0364145	0.0430366	0.0471737	0.0509269	0.0553906	0.0622894	0.0582842	0.0627617	0.0667939
