 	o	k	y	έ	έ	l	i	a	n	g	w	έ	m	b	e	b	ó	l	á	a	y	w	ω	ω	s	ώ	b	á	a	t	s	í	n	a	á	m	i	p	é	n	d	á	o	b	h	é	m	b	á	</S>
le	0.00380096	0.00616414	0.00624869	0.0163511	0.0110993	0.0116991	0.0271097	0.0293236	0.0337283	0.0365425	0.0740832	0.0419213	0.0748931	0.0699234	0.0651809	0.048048	0.0400899	0.0202557	0.0184697	0.0183233	0.0164349	0.0121537	0.0105578	0.00829239	0.00765336	0.00950005	0.0108817	0.00782812	0.0102628	0.0153802	0.00628802	0.0111211	0.0116972	0.0082529	0.0113595	0.0161328	0.00887186	0.012726	0.0146232	0.00804163	0.00668826	0.0109685	0.0101132	0.00930448	0.0103395	0.012072	0.0145652	0.0178028	0.0186343	0.0181969
berger	0.0446473	0.182361	0.0568641	0.0438344	0.0319278	0.0287002	0.0217498	0.0522354	0.0143238	0.0777703	0.106933	0.0637693	0.0583292	0.0479413	0.0354618	0.0424074	0.0304087	0.0183288	0.00270575	0.00212281	0.00109226	0.00208315	0.000557213	0.000393401	0.000334422	0.000592681	0.000600643	0.000456027	0.00053092	0.000688609	0.00037402	0.000837061	0.00064986	0.000678205	0.000638963	0.00116823	0.000869518	0.00120709	0.00150324	0.0014387	0.00327087	0.00479235	0.00330762	0.00106286	0.00265186	0.00135026	0.00273989	0.00058867	0.000341041	0.000378931
fait	0.0340987	0.0129876	0.0150476	0.0121253	0.0235845	0.0139642	0.0105718	0.00877437	0.0105717	0.0153989	0.037824	0.00414513	0.00683154	0.00791457	0.00878542	0.0146841	0.0290238	0.0523848	0.109458	0.0618313	0.0634204	0.0247155	0.0216323	0.0276994	0.0256171	0.0278417	0.0320542	0.0187798	0.0214719	0.0171886	0.0128888	0.0220623	0.0181152	0.0137362	0.0165299	0.0150845	0.014135	0.0153829	0.0217999	0.0284839	0.0163595	0.012108	0.00402373	0.00276593	0.00331731	0.00191971	0.00208245	0.00184499	0.0021045	0.00482702
reposer	0.050509	0.0652375	0.0467133	0.0282641	0.0354917	0.0633798	0.0599887	0.0448592	0.0305139	0.0242782	0.0269882	0.018866	0.0332935	0.0401985	0.0317828	0.0320357	0.0305982	0.0195851	0.0284365	0.0225322	0.0151488	0.0193642	0.0136253	0.0160447	0.0149028	0.0178861	0.0135063	0.0138022	0.0133735	0.0100313	0.0155321	0.0139494	0.0108657	0.0112439	0.00768314	0.00407152	0.0038732	0.00212314	0.0022884	0.00230537	0.00327872	0.00345776	0.0026753	0.00174546	0.0022174	0.00229392	0.00398605	0.00487736	0.00532706	0.0149677
les	0.0260255	0.0302799	0.0295125	0.0284092	0.0260991	0.0255283	0.0262918	0.0182732	0.0126307	0.0146049	0.0101661	0.0161651	0.0109835	0.0200743	0.00997388	0.0188578	0.0147417	0.0230523	0.0361064	0.0524519	0.0156162	0.0531024	0.0312618	0.023419	0.0329014	0.0376643	0.0430734	0.0207838	0.0355372	0.0300196	0.0210007	0.0453673	0.0254225	0.019712	0.0126973	0.0099376	0.00758227	0.00716584	0.00845723	0.00677722	0.00468552	0.00525202	0.00386685	0.00285084	0.00265015	0.00356725	0.00361537	0.00415217	0.0032639	0.028369
boeufs	0.0129883	0.0157217	0.0227951	0.026079	0.0293863	0.029894	0.0328613	0.025079	0.0214815	0.0159982	0.0135519	0.00610478	0.00541964	0.0105604	0.00916385	0.0170953	0.0172753	0.0240414	0.0426574	0.0330828	0.0235367	0.0245981	0.0136399	0.016308	0.0206954	0.0261519	0.0224493	0.0212996	0.0229089	0.0218592	0.0157502	0.0294204	0.0238677	0.0232694	0.0171589	0.0171833	0.0148688	0.0187257	0.0239532	0.0209093	0.0243402	0.0325683	0.0143976	0.00868497	0.0103965	0.0105532	0.0148371	0.0145708	0.00933377	0.0305265
car	0.00935685	0.0062558	0.00664629	0.00516008	0.00761988	0.00777945	0.00808742	0.00717058	0.0103863	0.0147693	0.00767407	0.00623206	0.00591192	0.00969762	0.00827674	0.00950188	0.00711229	0.0101209	0.0222983	0.017612	0.0245948	0.0229241	0.0267343	0.0368927	0.0458511	0.0403286	0.0359003	0.0406227	0.0424866	0.0362813	0.039688	0.0389848	0.0365846	0.0395805	0.032122	0.024059	0.0175299	0.0155342	0.0142626	0.00948142	0.0140269	0.0141096	0.0144611	0.015352	0.0139104	0.0132947	0.0169912	0.0241604	0.0299806	0.0355999
ceux-ci	0.0223946	0.0246736	0.026392	0.0220807	0.0327777	0.0351209	0.0353709	0.0274821	0.0210883	0.015008	0.0105775	0.0110913	0.00699068	0.0109359	0.00847717	0.0112391	0.00939667	0.0135296	0.0283643	0.0324846	0.0227243	0.0467779	0.0227368	0.0253143	0.0315567	0.0277654	0.0228868	0.0257325	0.0321224	0.0349916	0.0353406	0.0369837	0.0287029	0.0289611	0.0154865	0.00871096	0.00966367	0.0124388	0.00753224	0.00518775	0.0117872	0.00721195	0.00576017	0.00414344	0.00462074	0.00448132	0.0065108	0.00868172	0.0104788	0.0492313
ont	0.0125135	0.0141459	0.014796	0.00861881	0.00885441	0.00752534	0.00909588	0.00935989	0.0116544	0.01072	0.0056198	0.00417394	0.00395773	0.00660889	0.00434932	0.00766869	0.00458128	0.00608015	0.0191328	0.0233538	0.0120076	0.0380673	0.0245409	0.031078	0.0501	0.0475174	0.0412114	0.0484926	0.0529926	0.0473384	0.042642	0.0398776	0.03635	0.0326174	0.0235443	0.018114	0.0118649	0.0179355	0.0109698	0.00570328	0.00711845	0.00656023	0.0111445	0.00739114	0.00818707	0.00613959	0.0121187	0.0144598	0.021279	0.0798262
beaucoup	0.0203988	0.0137895	0.0137326	0.0122574	0.0112986	0.00646549	0.00494665	0.0041999	0.00518099	0.00591279	0.00514947	0.00338559	0.00397019	0.00432534	0.00323456	0.00467007	0.0030892	0.00744791	0.016016	0.0127673	0.0247209	0.0255267	0.0280768	0.0386365	0.0381302	0.034259	0.0306101	0.0418428	0.0373353	0.0355178	0.0434647	0.039963	0.0375766	0.0398513	0.0294159	0.0228532	0.0183175	0.0167991	0.0136971	0.0101852	0.0178721	0.0148145	0.0172599	0.0193664	0.0180994	0.0152964	0.0201862	0.0251791	0.036284	0.0466238
marché	0.0388521	0.0151674	0.0117153	0.0100508	0.00658366	0.0042428	0.00315612	0.00275433	0.00362876	0.00403968	0.00159942	0.00200462	0.00267203	0.00252884	0.00253814	0.00275154	0.00354575	0.00535933	0.0122364	0.00892227	0.0169566	0.0184964	0.0184119	0.0241522	0.0305315	0.03089	0.026289	0.0325084	0.0333049	0.0312251	0.0394724	0.0418404	0.0459979	0.060966	0.0397581	0.0306779	0.035631	0.0225728	0.0278834	0.0123482	0.0262576	0.01856	0.0223602	0.0239655	0.0179915	0.0157053	0.0235615	0.020296	0.0277936	0.0392458
