 	n	ω	m	w	á	s	í	b	ó	l	á	a	k	a	n	g	á	á	k	ó	n	y	í	</S>
ta	0.0130324	0.012005	0.0142353	0.0258977	0.0393413	0.0596303	0.0566651	0.0329076	0.0591309	0.0407587	0.0466065	0.0539329	0.0668754	0.0670684	0.0590151	0.0927502	0.0870993	0.0454817	0.0308988	0.0263005	0.0187323	0.0116853	0.0192912	0.0206581
femme	0.16289	0.188902	0.141429	0.0470878	0.0513691	0.021287	0.0135238	0.0399719	0.0311756	0.0736693	0.0469387	0.0384123	0.0222168	0.0104202	0.0146152	0.0178503	0.0225589	0.022117	0.0125254	0.00655721	0.00238367	0.00225173	0.0060331	0.00381426
est	0.0438432	0.0375127	0.0296308	0.0384037	0.0661421	0.0656987	0.0888424	0.0656955	0.0645649	0.067659	0.044433	0.0538033	0.0448324	0.0637164	0.0635725	0.0538992	0.0424307	0.0328106	0.0105059	0.00651565	0.00366002	0.00297313	0.00452652	0.00432789
en	0.0570776	0.0921436	0.0735722	0.0636344	0.0416203	0.0421366	0.0367096	0.0305731	0.0244138	0.0351871	0.0331177	0.0396849	0.0366331	0.0425532	0.0365505	0.0270666	0.0284857	0.0382918	0.0317258	0.0464745	0.0372237	0.0263695	0.0334174	0.0453371
train	0.0589948	0.0309639	0.0287209	0.0279957	0.0359828	0.0281289	0.021704	0.0379416	0.0503636	0.0598238	0.032667	0.0348138	0.0288095	0.0285367	0.0395188	0.0323255	0.0258788	0.0481578	0.0425458	0.0630928	0.0338409	0.0406144	0.0694847	0.0990939
de	0.05461	0.0533981	0.0553698	0.0331444	0.0550632	0.0504859	0.0348303	0.0365188	0.031915	0.0668671	0.0293591	0.0232197	0.0115393	0.018564	0.0222199	0.0208007	0.0218783	0.0185461	0.0255926	0.0219851	0.03196	0.036338	0.0688275	0.176967
ligoter	0.0503547	0.0501682	0.0443697	0.0463047	0.070075	0.0526927	0.030196	0.0454849	0.0421748	0.0948194	0.0643587	0.0627169	0.0369794	0.0554239	0.0424317	0.0371493	0.0259955	0.0161933	0.00891097	0.0141639	0.0109643	0.0172841	0.0282981	0.0524897
des	0.222947	0.120139	0.0922532	0.0363578	0.0335045	0.0308865	0.0378662	0.0250105	0.0253546	0.022485	0.0235794	0.0279726	0.0239311	0.0224618	0.0130132	0.0146744	0.019735	0.0159803	0.0195055	0.0330424	0.0291559	0.0299588	0.0274929	0.0526919
fagots	0.0535242	0.0420685	0.0456569	0.029738	0.0146019	0.00911577	0.00418722	0.00468904	0.00399258	0.00527035	0.00385977	0.00687275	0.00923548	0.00986586	0.0127895	0.0133886	0.0260458	0.0564271	0.0928292	0.0914817	0.0583396	0.0827418	0.0629905	0.260288
de	0.0852665	0.0438736	0.0445946	0.0416996	0.042878	0.0358359	0.0515374	0.0480307	0.0449562	0.0425227	0.023629	0.0309135	0.0169033	0.0320488	0.0316712	0.0299691	0.0241471	0.0261317	0.0250575	0.0322997	0.0422977	0.0442826	0.0418381	0.117615
bois	0.0948918	0.0614886	0.0615441	0.0356069	0.0161539	0.0103533	0.00621753	0.00526421	0.00388071	0.00451014	0.00367647	0.00429091	0.00359838	0.00451927	0.00369822	0.00452386	0.00951711	0.02384	0.0545237	0.0955381	0.111301	0.129463	0.0885785	0.16302
</S>	0.0906284	0.0663818	0.0563605	0.028962	0.0142074	0.0109625	0.00598939	0.00805177	0.00364503	0.00881421	0.00377465	0.00522611	0.00742282	0.0106218	0.0104703	0.01372	0.0270396	0.0455662	0.0828119	0.0822748	0.0880704	0.0911632	0.0757679	0.162067
