 	t	έ	έ	s	έ	p	f	u	s	u	u	y	á	p	i	m	a	y	é	é	d	i	ó	m	é	s	á	</S>
enlève	0.0107771	0.0132522	0.021702	0.0252945	0.0294098	0.0294137	0.040512	0.0481179	0.063166	0.0603801	0.0631781	0.0612513	0.0564695	0.0535856	0.0547468	0.0423794	0.0360922	0.0363191	0.0319499	0.034956	0.0280607	0.023584	0.0187603	0.0184939	0.0255022	0.0303537	0.0273903	0.0149018
les	0.0860798	0.120021	0.0785566	0.0413726	0.0327949	0.0279044	0.0366024	0.037491	0.0346148	0.0400042	0.0316294	0.0485799	0.0447112	0.0426983	0.0457512	0.0563067	0.0408463	0.0231675	0.011735	0.00799282	0.00871704	0.0146319	0.008948	0.0173518	0.0140646	0.0142806	0.0127966	0.020349
miettes	0.0720743	0.0546207	0.0483277	0.0543271	0.0699401	0.055858	0.0611953	0.0406513	0.0306917	0.0244911	0.0176605	0.016982	0.0162928	0.0167298	0.0207771	0.0189015	0.0170448	0.0259408	0.0408391	0.0394703	0.0453684	0.0391747	0.0361208	0.0351873	0.0309163	0.0316838	0.0234203	0.0153123
de	0.0432359	0.050445	0.0358303	0.0255104	0.0278716	0.0148535	0.0198682	0.0209407	0.0221842	0.0214855	0.0160968	0.0184705	0.0128846	0.0109331	0.0139832	0.0121915	0.0165061	0.0198808	0.0330821	0.0331686	0.038198	0.049376	0.0626692	0.0674557	0.0437178	0.0603849	0.0716263	0.137149
pain	0.0344479	0.0678943	0.0957537	0.104281	0.114138	0.115738	0.0762995	0.0332166	0.0203078	0.0138913	0.00958216	0.00564825	0.00686317	0.00959638	0.0127252	0.0100347	0.00842202	0.0118851	0.0180464	0.0228516	0.015454	0.0111662	0.00800069	0.00651951	0.0086796	0.0106619	0.0207821	0.127114
qui	0.0523374	0.038316	0.0382697	0.035973	0.0358844	0.0357183	0.0328826	0.0223174	0.0162197	0.0133183	0.0177224	0.0186289	0.0215953	0.0327913	0.0318833	0.0330139	0.0442445	0.0705371	0.054986	0.0347319	0.0298003	0.023594	0.0146366	0.0188321	0.0357002	0.0399685	0.0473401	0.108757
sont	0.0753374	0.0465923	0.0423368	0.0383862	0.0373028	0.0351701	0.0233375	0.0131309	0.0101737	0.00979421	0.0119525	0.0118989	0.0150975	0.0342012	0.0363613	0.0577242	0.0633173	0.0553278	0.0360832	0.0248286	0.0225955	0.0196554	0.0139807	0.017247	0.0366188	0.0404654	0.0473465	0.123737
sur	0.0401302	0.0250471	0.017988	0.0156491	0.0126509	0.0103451	0.0126017	0.0167439	0.0216018	0.0347736	0.035916	0.0408951	0.0514144	0.070556	0.0782694	0.0769897	0.0679856	0.0523202	0.0190914	0.00937932	0.00894878	0.00976321	0.007999	0.0139967	0.0339258	0.0481256	0.0627389	0.104154
la	0.0604543	0.0278824	0.0213421	0.0215578	0.0237821	0.0249437	0.0147547	0.0145433	0.0163549	0.0291312	0.0428465	0.0543142	0.0537566	0.0847851	0.0810582	0.0488502	0.0367842	0.0308913	0.0198274	0.0166851	0.0150486	0.0174529	0.00850731	0.0135849	0.0266396	0.0302769	0.038223	0.125721
table	0.0600214	0.0386585	0.0334727	0.0302079	0.0161356	0.011523	0.00840889	0.00965083	0.00920119	0.0108955	0.0127776	0.0145741	0.0221373	0.0342595	0.0293476	0.0237391	0.0167179	0.0167439	0.0139376	0.0175935	0.019799	0.02593	0.0295955	0.0544768	0.0705401	0.0909266	0.0893397	0.189389
</S>	0.130749	0.0850514	0.0705066	0.0741529	0.0573386	0.0337508	0.029603	0.0227367	0.0167499	0.0243791	0.0256504	0.0271941	0.0333115	0.045426	0.0327154	0.0321649	0.031565	0.0234589	0.00947014	0.006594	0.00841846	0.0237141	0.0114321	0.0193339	0.0183701	0.0163234	0.019318	0.0705221
