 	l	o	p	f	a	o	p	ε	p	ε	o	y	ε	i	o	k	ú	l	á	i	s	ó	r	i	s	a	l	á	w	a	o	k	á	n	d	á	m	á	p	y	é	b	h	i	</S>
après	0.0497769	0.0181078	0.0220376	0.0193204	0.0312672	0.0256868	0.0307931	0.0374853	0.0281632	0.0311885	0.0326134	0.028892	0.0403206	0.0218582	0.0169174	0.00951605	0.00930073	0.0097833	0.00902482	0.0115137	0.0154439	0.0149683	0.0125729	0.0145794	0.0117107	0.0126931	0.0159386	0.0122946	0.0109885	0.00981236	0.00860129	0.00811702	0.00955037	0.0118409	0.0128244	0.0239414	0.0370853	0.0346454	0.0317573	0.0312955	0.0501292	0.0342345	0.0347252	0.0332907	0.0233921
la	0.0998575	0.0435838	0.0191464	0.0104306	0.0630166	0.0496704	0.0323516	0.042991	0.0201051	0.0331557	0.0268099	0.0262104	0.0137067	0.0214647	0.0232019	0.0184377	0.038238	0.0190995	0.0301204	0.0280226	0.0389166	0.0313373	0.0310862	0.0315108	0.0319007	0.022229	0.0184036	0.0148337	0.00748823	0.00491913	0.00359365	0.00396822	0.0049487	0.00310698	0.00438233	0.00766531	0.00572599	0.00776337	0.00519942	0.00848236	0.00679071	0.00776745	0.00660466	0.00814748	0.0236076
bise	0.0235928	0.0415871	0.0417708	0.0438753	0.0395347	0.0321708	0.0321489	0.027599	0.019855	0.0122274	0.0183615	0.023948	0.0357107	0.0339036	0.0272163	0.0137554	0.0154985	0.0256085	0.0158977	0.0259722	0.0171982	0.0180955	0.0163847	0.0236953	0.0157205	0.0205337	0.0184902	0.0128027	0.0179457	0.0127375	0.0136723	0.0206575	0.0191638	0.0112995	0.0204392	0.0198315	0.0395554	0.019792	0.0101205	0.0129047	0.028333	0.0121006	0.0152041	0.0162503	0.0168375
a	0.0154549	0.0173173	0.0153941	0.0189858	0.0173395	0.0149873	0.0160381	0.0108691	0.0148097	0.0148575	0.0151725	0.0158304	0.0214674	0.0269134	0.0279478	0.0232262	0.0420084	0.0384001	0.0381848	0.0451141	0.0329733	0.0497529	0.0504214	0.0417457	0.0537331	0.0345063	0.0299918	0.027801	0.0231451	0.0198848	0.0206709	0.0226171	0.0130369	0.0071984	0.00914192	0.0117464	0.012017	0.00904882	0.00881602	0.0082324	0.010911	0.0137695	0.0101838	0.0119379	0.0163979
renoncé	0.021379	0.0192773	0.018842	0.0185987	0.0181044	0.0181581	0.0173886	0.0188806	0.0165199	0.0194938	0.0207684	0.0249542	0.0384833	0.0332045	0.0404803	0.0421057	0.0467781	0.0410302	0.0327895	0.0282034	0.0228435	0.0194164	0.027308	0.0317111	0.0300413	0.0250642	0.0236303	0.0219976	0.0124081	0.00718138	0.00588206	0.00646334	0.00735573	0.00491611	0.00290883	0.0108615	0.00622358	0.00273349	0.00814307	0.016192	0.0185971	0.0174196	0.0337687	0.0394547	0.0620387
à	0.014232	0.0136645	0.0143986	0.0167348	0.0171223	0.0173912	0.0184607	0.0190653	0.0204661	0.0127109	0.0156681	0.0172406	0.0213013	0.024046	0.0342535	0.0273566	0.0272838	0.0314765	0.0408794	0.0332398	0.0282114	0.0359645	0.0405553	0.0325051	0.0407121	0.0380059	0.0261134	0.0455582	0.0204245	0.0132086	0.00594316	0.00687641	0.00907813	0.00917196	0.00626316	0.0177471	0.0213123	0.016391	0.0182377	0.0180011	0.0198612	0.015994	0.0208133	0.0194946	0.036564
lui	0.0185452	0.0177015	0.0172262	0.0187918	0.0210652	0.0195369	0.0194711	0.0169623	0.0136243	0.0113873	0.0125478	0.0150341	0.0159583	0.0180556	0.0271714	0.0222	0.0198529	0.0248548	0.0255614	0.0219662	0.0214926	0.024236	0.0284887	0.0245928	0.0256742	0.0309305	0.025605	0.0476823	0.0275835	0.0250542	0.0131651	0.0150561	0.0161315	0.0186684	0.0107127	0.0196845	0.0180852	0.0175443	0.0218227	0.024202	0.028351	0.0324	0.0312383	0.026263	0.0478211
faire	0.0100954	0.00978596	0.0103376	0.0110989	0.0121286	0.0120636	0.0114738	0.0102318	0.00806229	0.00963756	0.00957376	0.00999385	0.0110962	0.0130068	0.0166938	0.0158322	0.0177463	0.0222125	0.0238321	0.0189022	0.0209825	0.0220653	0.0280428	0.0216358	0.0185346	0.0225514	0.022789	0.0339654	0.0232269	0.027158	0.0232951	0.0291174	0.0292746	0.0280327	0.0285692	0.0398496	0.0411421	0.0345678	0.037671	0.0321036	0.034313	0.0342213	0.0341932	0.0292538	0.0396386
ôter	0.0216237	0.0165909	0.0201999	0.0205161	0.0189111	0.0145418	0.0103548	0.0125117	0.010964	0.0158198	0.0176766	0.0147791	0.0168492	0.0136522	0.0153328	0.0132441	0.0143237	0.0152638	0.0162609	0.0163912	0.0163894	0.0178805	0.0174059	0.0144048	0.0143546	0.0137327	0.0167822	0.0224246	0.0152555	0.0166977	0.0166904	0.0196457	0.0257259	0.0311545	0.025319	0.0372926	0.0456966	0.0366569	0.0400045	0.0386991	0.0400737	0.0387644	0.0409516	0.0406547	0.0415351
son	0.0305414	0.0196599	0.0213082	0.0166399	0.0146551	0.0106102	0.0103076	0.0125173	0.0105972	0.0143611	0.015823	0.0141824	0.014619	0.0109557	0.0156285	0.0139198	0.0201915	0.0182303	0.0214226	0.0241378	0.0250546	0.0220687	0.023021	0.0212918	0.0236651	0.0220158	0.0181348	0.0198575	0.0147343	0.0120512	0.0116896	0.0122157	0.0147739	0.0214106	0.0134295	0.01956	0.0169998	0.0234871	0.0320191	0.038985	0.0442624	0.0557114	0.0568957	0.0448325	0.0615244
