 	b	í	s	í	l	é	b	v	e	f	u	l	ú	s	á	p	o	o	y	á	t	s	w	á	</S>
nous	0.24886	0.23028	0.129624	0.0527221	0.0323934	0.00597148	0.0120155	0.0103433	0.00913048	0.0254962	0.0182357	0.0258055	0.0164675	0.0272355	0.0314557	0.0145566	0.0105074	0.00756785	0.00969487	0.0108366	0.0157785	0.0114993	0.0122616	0.0193407	0.011921
avons	0.0394947	0.027807	0.0231556	0.0186551	0.0459063	0.0635123	0.0792159	0.111128	0.120278	0.0963716	0.107862	0.0685538	0.0550152	0.0252115	0.0294791	0.00869958	0.00928964	0.00654156	0.0177108	0.00923514	0.0091126	0.00565563	0.0132112	0.0043901	0.00450733
passé	0.0144475	0.0366934	0.0392011	0.0590544	0.0331158	0.071266	0.0420351	0.0473053	0.0210483	0.0338744	0.0500233	0.0488385	0.0517795	0.0527321	0.0762243	0.0788362	0.0652955	0.0408446	0.0216077	0.0210454	0.0231829	0.0241394	0.0162498	0.020558	0.0106014
la	0.00636344	0.00442166	0.00469622	0.00521297	0.0056761	0.0112953	0.0210674	0.0343612	0.0412401	0.0631627	0.0755195	0.084034	0.0672025	0.0959966	0.120837	0.0690951	0.0556023	0.0404228	0.038034	0.0328579	0.0270238	0.0263333	0.0235425	0.0235097	0.022492
nuit	0.0113565	0.00975408	0.00955715	0.0132729	0.015808	0.0369803	0.0435986	0.0681688	0.0651555	0.141274	0.113268	0.0807175	0.0592185	0.0621714	0.0538104	0.0320475	0.0312015	0.0257745	0.0224253	0.0185856	0.0154903	0.0139252	0.0160465	0.0147102	0.0256819
dans	0.00658052	0.00720543	0.00595026	0.018431	0.0107246	0.0277636	0.0239968	0.0356359	0.0252822	0.03049	0.0230143	0.0308786	0.0345873	0.0537112	0.0556293	0.0660698	0.0795148	0.0820244	0.079887	0.0690328	0.0586009	0.0599991	0.0188315	0.0318248	0.0643338
un	0.0910883	0.0644034	0.0462211	0.0347461	0.0332566	0.0370977	0.0311238	0.0449427	0.0319435	0.041772	0.0530379	0.0327093	0.0291199	0.025742	0.0262838	0.023011	0.0242002	0.0239437	0.0229486	0.0257826	0.024666	0.0367409	0.0529358	0.0472799	0.095003
village	0.0203451	0.0195903	0.0194312	0.0187634	0.0139775	0.0145312	0.0137257	0.026542	0.0208172	0.0502547	0.0357075	0.029379	0.0231238	0.036841	0.0285888	0.0413964	0.0515035	0.0711621	0.0745342	0.068315	0.0703267	0.0713949	0.0381543	0.0617432	0.0798514
de	0.0232267	0.0221186	0.0228801	0.022807	0.0223381	0.0225541	0.0195136	0.0219346	0.0218714	0.0243165	0.0260638	0.0238523	0.0224479	0.0269117	0.0257038	0.0344209	0.0437167	0.0557429	0.0579558	0.062287	0.0688406	0.0785242	0.0804603	0.0815648	0.0879467
pygmées	0.0379529	0.0291079	0.0260175	0.027953	0.0173658	0.0211572	0.0167051	0.0288389	0.0228909	0.0272741	0.0234746	0.0159608	0.0125697	0.0154384	0.011086	0.0210379	0.0285335	0.0394417	0.0401501	0.0430379	0.0603387	0.0787091	0.103755	0.11462	0.136583
</S>	0.0289107	0.0207191	0.0221935	0.0169884	0.0147604	0.0171381	0.0145959	0.0216665	0.0251578	0.0416198	0.0426568	0.0644426	0.0470512	0.0866367	0.0571866	0.0422877	0.0377473	0.0418979	0.0324125	0.0390945	0.0467118	0.0452355	0.0652673	0.0501927	0.0774287
