 	p	o	o	y	á	b	í	s	í	é	b	h	i	k	á	n	i	k	a	á	</S>
il	0.0107492	0.0148159	0.0170048	0.015334	0.0165272	0.0222855	0.0267785	0.038133	0.0847607	0.163733	0.138539	0.112569	0.0533061	0.0599693	0.0346722	0.0490286	0.0371333	0.0402271	0.0257948	0.0206005	0.0180372
n'	0.147293	0.101751	0.0784399	0.0629013	0.0421844	0.0416784	0.0261608	0.0326419	0.027737	0.0803121	0.097495	0.0505632	0.0190716	0.0119565	0.00934648	0.0332108	0.0187345	0.0305658	0.0341956	0.0204981	0.0332636
y	0.0696266	0.0679899	0.0691275	0.0465144	0.0345386	0.0134049	0.0432089	0.0573749	0.0828942	0.0627471	0.066244	0.0559656	0.0670143	0.0725693	0.0294669	0.0307686	0.0216833	0.0234593	0.0332859	0.0282502	0.0238657
a	0.0938173	0.107206	0.109603	0.0961114	0.0333017	0.0249098	0.0170513	0.0285474	0.0280581	0.0312971	0.0387314	0.0363434	0.0313572	0.0332025	0.0313585	0.0346735	0.023831	0.0369462	0.0394879	0.0649191	0.0592462
plus	0.073985	0.0849209	0.0753147	0.0474004	0.0227403	0.0170635	0.0122547	0.0154549	0.0170005	0.019769	0.0209461	0.0221163	0.0431996	0.0519373	0.0483837	0.0466467	0.0588216	0.0961921	0.0923207	0.0617178	0.0718143
de	0.105746	0.0740457	0.0503153	0.0740664	0.0585017	0.0701542	0.0574415	0.0617241	0.0338338	0.042446	0.0431918	0.0300255	0.0259972	0.0311525	0.0255211	0.0227593	0.0262755	0.0332221	0.0386276	0.0325359	0.0624173
juge	0.0836259	0.0571755	0.0507526	0.0736285	0.064775	0.0952316	0.0415436	0.0408343	0.0154266	0.0194886	0.0298323	0.0222209	0.0166963	0.0160127	0.0270828	0.0398629	0.0439082	0.0572688	0.0680953	0.0458207	0.0907168
dans	0.0890647	0.0922835	0.0690252	0.0644863	0.0334412	0.0495674	0.028317	0.0408716	0.0271237	0.0359827	0.0474694	0.0525242	0.0395626	0.0277884	0.0370887	0.0374357	0.0368112	0.0418286	0.0469036	0.0356096	0.0668144
notre	0.0557974	0.0418702	0.0371733	0.0371178	0.037824	0.0497608	0.0410986	0.0438322	0.0184955	0.0104963	0.0110186	0.00884022	0.0108574	0.0195548	0.0477202	0.079431	0.0692999	0.0957842	0.0848952	0.0945079	0.104624
vil-	0.139356	0.0906057	0.0681549	0.0557733	0.0215165	0.0175048	0.0121375	0.013067	0.0085868	0.0108733	0.01511	0.0152411	0.0153908	0.0198499	0.0493391	0.0570036	0.061897	0.0664863	0.0723754	0.0741157	0.115615
lage	0.119215	0.0848444	0.0679148	0.0707294	0.0261924	0.0203121	0.0171859	0.0259806	0.0164203	0.0146656	0.0190465	0.0179163	0.0231766	0.0255843	0.04005	0.0400702	0.0447955	0.0496357	0.0711603	0.0755848	0.129519
</S>	0.233771	0.112133	0.0694396	0.0510526	0.0287995	0.0189615	0.013984	0.0113079	0.00311177	0.00255266	0.00300948	0.00260534	0.00230933	0.00412475	0.0117627	0.0291699	0.0347578	0.0665348	0.0933848	0.096094	0.111133
