 	n	g	ó	o	á	s	ó	m	b	i	m	w	á	n	a	y	a	w	a	m	b	o	l	o	o	</S>
la	0.404415	0.149462	0.0354104	0.0124058	0.0068638	0.00556579	0.00509778	0.00506027	0.00733962	0.0129939	0.0196379	0.017897	0.0126135	0.0122548	0.0227625	0.0181012	0.0233072	0.0254726	0.0316087	0.0356018	0.0321824	0.0243471	0.0311177	0.0203034	0.0139529	0.0142248
mère	0.507718	0.195478	0.133536	0.0544269	0.0351391	0.0282256	0.0164024	0.0131944	0.00721966	0.00363257	0.000296641	0.000214726	0.000257187	0.000369439	0.000772844	0.00040137	0.00023762	0.000307313	0.000280607	0.000489549	0.000397417	0.000350049	0.000193761	0.000176877	0.000163027	0.00011966
a	0.0338433	0.0664288	0.0588466	0.0377492	0.0178001	0.0477843	0.0641707	0.047925	0.0489181	0.0535412	0.0427596	0.0303355	0.0238532	0.0339107	0.0231106	0.023759	0.022216	0.0323255	0.0394108	0.0316747	0.0362585	0.0570543	0.0392912	0.0343576	0.0324735	0.0202021
acheté	0.047951	0.0290976	0.0292371	0.032389	0.0234017	0.0257825	0.0401138	0.0405752	0.035686	0.0480872	0.0464544	0.04531	0.0523071	0.0213406	0.0122584	0.0282043	0.0195728	0.0328319	0.0471758	0.0491381	0.0331975	0.0389222	0.0362025	0.0747484	0.0557906	0.0542245
un	0.115491	0.0248224	0.0426614	0.0568201	0.0482812	0.0379818	0.0366425	0.0376943	0.0289791	0.0400882	0.0340662	0.0216283	0.0304589	0.0105221	0.00895787	0.0178267	0.016971	0.0231447	0.038995	0.0490582	0.0386291	0.0341153	0.0256034	0.0564971	0.0351074	0.0889564
ballon	0.0219896	0.0334424	0.0377119	0.0285944	0.028043	0.0314665	0.043829	0.0443035	0.0430779	0.0579507	0.0739081	0.0374379	0.038919	0.0158268	0.011022	0.0202719	0.0238212	0.0229707	0.0373959	0.0437058	0.0365962	0.0319749	0.0375616	0.0444851	0.0459481	0.107746
à	0.0204909	0.0201145	0.0288245	0.0228161	0.0265598	0.0334963	0.0367016	0.0399152	0.0407035	0.0474702	0.0505987	0.0406718	0.0265626	0.0205415	0.019168	0.0215029	0.0373564	0.0174842	0.0307083	0.0461337	0.0267779	0.0435711	0.0534456	0.0591032	0.0751734	0.114108
son	0.0158601	0.0129573	0.0130976	0.0201947	0.0245741	0.0222518	0.025074	0.0261782	0.0243056	0.0293937	0.0341713	0.0337359	0.0397249	0.0256127	0.028387	0.0394784	0.0498937	0.0252062	0.0427068	0.0613075	0.0382616	0.0507109	0.0748715	0.0777814	0.079028	0.085235
enfant	0.0407039	0.0433918	0.0397297	0.0310224	0.0275597	0.0239231	0.0223453	0.0324194	0.0353193	0.036715	0.0669091	0.0470225	0.0456993	0.0262627	0.0190111	0.0230228	0.0214616	0.0162157	0.0128572	0.0303306	0.00869157	0.0123251	0.0449128	0.0551546	0.062749	0.174245
</S>	0.0526015	0.0236129	0.0298699	0.029989	0.0283797	0.0267146	0.0215198	0.0173379	0.0161716	0.0138914	0.0278067	0.0189349	0.0251855	0.0162593	0.0193711	0.0314918	0.033448	0.0299502	0.0465987	0.0655546	0.0345267	0.0482748	0.0506158	0.0799464	0.074448	0.137499
