 	n	g	á	í	p	i	i	i	k	ú	l	á	m	í	l	ώ	b	h	ω	</S>
j'	0.250693	0.214235	0.117926	0.150386	0.0760524	0.0160454	0.00869289	0.00990231	0.00844813	0.0101822	0.0155476	0.0155728	0.0268706	0.0223137	0.0162955	0.0121333	0.00944973	0.00714753	0.00636091	0.00574632
ai	0.0491163	0.025581	0.0401164	0.0545395	0.0199024	0.0259052	0.0492079	0.125407	0.104853	0.0846398	0.0834951	0.0512406	0.0370506	0.0182663	0.0180521	0.0212604	0.0279487	0.0383023	0.0419502	0.0831654
attrapé	0.0303552	0.0135746	0.0215892	0.0321969	0.041692	0.058246	0.102105	0.0673085	0.0743534	0.0522518	0.0675857	0.0742938	0.0615128	0.0799774	0.0536487	0.0350119	0.0256171	0.0350724	0.0395623	0.034045
le	0.0381724	0.0318848	0.0213606	0.0196547	0.0461125	0.0745514	0.0521705	0.0220351	0.0310943	0.035186	0.0323587	0.0444404	0.0458957	0.0749873	0.0455415	0.0438774	0.0369055	0.0606275	0.117542	0.125602
petit	0.0122258	0.00914085	0.0111867	0.0113592	0.0274546	0.0547544	0.064215	0.0695278	0.042222	0.0601921	0.035996	0.0405184	0.0448257	0.0441687	0.0542133	0.0715959	0.0779008	0.0662492	0.0767262	0.125527
poisson	0.00949592	0.00936518	0.0115697	0.00958651	0.0177606	0.0261573	0.0365013	0.0459125	0.0438781	0.0422093	0.034657	0.051735	0.0432307	0.0492396	0.0635518	0.0645333	0.0729268	0.0858707	0.11706	0.164759
ikula	0.0410015	0.0208782	0.0220807	0.0215004	0.0199231	0.020854	0.0265556	0.0432945	0.0339138	0.0452284	0.038683	0.0401588	0.0430462	0.0582432	0.0631889	0.0706982	0.0782003	0.0806759	0.0861384	0.145737
avec	0.0668125	0.0617175	0.0423887	0.0328259	0.0259611	0.0247703	0.0236492	0.0291	0.0183002	0.0268999	0.0200773	0.0182924	0.0330351	0.044373	0.0637098	0.0782902	0.0839303	0.092434	0.0907865	0.122646
l'	0.039524	0.0408694	0.0393052	0.043693	0.0326983	0.0309043	0.0222418	0.0207806	0.0155174	0.0169131	0.0184279	0.0207232	0.0268328	0.0448209	0.0535549	0.0665818	0.0971177	0.118441	0.119353	0.131699
hameçon	0.0353457	0.0337021	0.0347322	0.0385566	0.042166	0.046994	0.024086	0.0216863	0.032221	0.0251153	0.0263323	0.0388256	0.0494081	0.0478596	0.062301	0.0750366	0.0936282	0.0845389	0.0883518	0.0991127
</S>	0.0808111	0.0295873	0.0224089	0.0424806	0.0304354	0.0344882	0.0482855	0.0498695	0.053655	0.0247606	0.0358594	0.0277145	0.0549414	0.0701447	0.0529697	0.0425174	0.0396623	0.0457521	0.0912848	0.122372
