 	e	d	í	m	b	v	a	l	a	m	o	r	o	n	d	z	á	á	é	d	í	o	k	w	é	</S>
cela	0.0125808	0.0168998	0.0193641	0.0189966	0.0272253	0.0214479	0.0530948	0.0304363	0.0737202	0.0656122	0.0510619	0.0562065	0.0448058	0.0484074	0.0373917	0.0302557	0.0302721	0.032771	0.0432889	0.0464826	0.0446341	0.04721	0.0407402	0.0389327	0.0373764	0.0307849
a	0.0633986	0.116205	0.073359	0.0548222	0.0460225	0.0580511	0.0511336	0.0368737	0.0519272	0.0593426	0.100338	0.109136	0.0736531	0.0145533	0.00737538	0.00667605	0.00532315	0.00739726	0.0111943	0.015021	0.0109991	0.00738519	0.00310949	0.00847357	0.00505489	0.00317406
l'	0.0388117	0.047773	0.0452864	0.0427697	0.03395	0.0316636	0.0397963	0.0393475	0.0482771	0.0464311	0.0677563	0.0996063	0.0924207	0.111053	0.0598975	0.0190693	0.0183904	0.016626	0.0214123	0.0215964	0.0120146	0.0162271	0.00979084	0.00701062	0.00711067	0.00591183
apparence	0.0405106	0.0408552	0.0409591	0.0325156	0.0328962	0.0394863	0.0429076	0.0448856	0.0473048	0.0452739	0.0495578	0.0529283	0.0533208	0.0620285	0.0437506	0.0423201	0.0576845	0.0527309	0.0448283	0.0297742	0.0179665	0.0255445	0.0147077	0.00389467	0.0190512	0.0223166
d'	0.115755	0.0684257	0.0415576	0.0337644	0.03599	0.0257181	0.0243476	0.0237847	0.0249226	0.0275494	0.033166	0.0239392	0.0198245	0.0383936	0.0410058	0.0408814	0.0382663	0.0349481	0.0238573	0.0142189	0.0211782	0.0209481	0.0212037	0.00927686	0.059061	0.138016
un	0.0570252	0.0337574	0.0267142	0.019898	0.0307208	0.0366057	0.0332428	0.0358901	0.0313027	0.0342051	0.0301436	0.028738	0.0245983	0.0419895	0.0487973	0.0679822	0.0543603	0.0392492	0.051635	0.0268291	0.0293301	0.0358893	0.0393965	0.0258111	0.04358	0.0723089
homme	0.0545916	0.0386745	0.0553356	0.0326174	0.042308	0.0524511	0.0366401	0.0278597	0.0211347	0.0240913	0.0184131	0.0130135	0.0106093	0.014516	0.0030009	0.00687173	0.00553761	0.00905939	0.0125123	0.0272561	0.0197403	0.0638163	0.0497091	0.0770946	0.07949	0.203656
mais	0.0906956	0.0591786	0.0625434	0.044306	0.0388647	0.0337675	0.0203753	0.0161471	0.0117189	0.0124866	0.0123969	0.0123256	0.00897868	0.0156778	0.00329561	0.00672517	0.00483027	0.00793345	0.00778877	0.0307762	0.0169968	0.0669684	0.0548472	0.0546287	0.0893238	0.216423
c'	0.0611976	0.054049	0.0343275	0.0315198	0.0273041	0.0233601	0.0204009	0.0201035	0.0153847	0.0133439	0.00906585	0.0107038	0.00771987	0.0140149	0.00630688	0.0193874	0.0149395	0.0288838	0.0288017	0.0564378	0.037528	0.0566802	0.0815359	0.0788596	0.0854324	0.162711
est	0.0931016	0.0933913	0.0426316	0.0362153	0.0212438	0.0161189	0.0222492	0.0242328	0.0224895	0.0215592	0.0276055	0.0307977	0.0171713	0.0168708	0.0189755	0.0231629	0.0398508	0.0454176	0.0376847	0.0424654	0.0427759	0.0339855	0.0376105	0.0223185	0.0613987	0.108676
un	0.239448	0.119929	0.0479671	0.0325976	0.0271547	0.016642	0.00899413	0.00497015	0.0041409	0.00452675	0.00658067	0.00598527	0.00542489	0.0126886	0.0215962	0.0163405	0.0217567	0.0360224	0.0315509	0.037741	0.0373516	0.0286603	0.0296788	0.0382179	0.0688967	0.0951374
esprit	0.0799354	0.0717575	0.0500562	0.0343319	0.0214693	0.0246917	0.0231178	0.0240448	0.020913	0.0295705	0.0338236	0.0350634	0.0306198	0.0304612	0.0131042	0.0225731	0.0118562	0.0117353	0.0125362	0.0225479	0.0192627	0.0342303	0.0555491	0.0734451	0.074707	0.138597
</S>	0.0974316	0.0553757	0.0343003	0.0227436	0.025566	0.0217048	0.0220792	0.020621	0.0155939	0.0150972	0.0110814	0.00824176	0.00467128	0.00898821	0.00577454	0.0123091	0.0140187	0.0234943	0.0337595	0.0301773	0.0274084	0.0429471	0.0520884	0.0472331	0.110457	0.236836
