 	e	m	a	a	s	í	l	í	y	é	é	m	a	a	s	í	w	a	t	á	á	á	m	i	k	á	n	á	á	l	a	w	a	</S>
de	0.011589	0.0106384	0.0125142	0.0116706	0.00933174	0.00888905	0.00729411	0.0160594	0.0249367	0.0387846	0.0385363	0.0784374	0.0687342	0.0501568	0.0580701	0.0322848	0.0410817	0.0236008	0.0347441	0.035678	0.0205272	0.0137249	0.0163291	0.0329101	0.0176042	0.0188797	0.0261066	0.0185654	0.0342141	0.0598636	0.0480325	0.0199194	0.0291935	0.0310978
la	0.168417	0.100428	0.0891035	0.0544569	0.0449534	0.0293393	0.0148453	0.021684	0.0160554	0.0170446	0.0223198	0.0165938	0.0254874	0.0246201	0.0169191	0.0147166	0.0219292	0.0163211	0.0146465	0.017375	0.0145307	0.00863482	0.030018	0.0287689	0.0370586	0.0187789	0.0204048	0.0134619	0.0166002	0.0161352	0.00701696	0.0205197	0.0129573	0.00785818
manière	0.0464223	0.0401702	0.0568509	0.0292623	0.0266458	0.0142025	0.0151345	0.0191098	0.019059	0.0204648	0.0175532	0.0121258	0.0270106	0.0571815	0.0521798	0.0251534	0.0139084	0.019803	0.0170267	0.0123689	0.0212379	0.00992674	0.0508481	0.0743988	0.0503374	0.0482755	0.0589374	0.0283808	0.0458501	0.0303237	0.0109681	0.0108748	0.00963638	0.00837074
qu'	0.0629017	0.0647055	0.0607523	0.0405723	0.0375597	0.0213599	0.0263342	0.0143876	0.0198929	0.0176042	0.0172162	0.013084	0.0216593	0.0187244	0.0223936	0.0153703	0.00877819	0.0242644	0.0327524	0.0359252	0.046962	0.049502	0.0257743	0.0158287	0.0290036	0.0334754	0.02564	0.0413597	0.0211763	0.0218233	0.0246838	0.0300302	0.0196975	0.0388049
il	0.0193213	0.0321051	0.0459369	0.0531536	0.052615	0.0554869	0.0841148	0.0697414	0.0581001	0.0803292	0.0704215	0.0431073	0.0356381	0.0308031	0.0170141	0.0232198	0.0123293	0.0118437	0.00788583	0.0154895	0.013877	0.015217	0.00671411	0.00644529	0.0136133	0.0146558	0.00919799	0.00806355	0.00697714	0.00780779	0.0125802	0.0111376	0.0140102	0.0410465
a	0.0399593	0.0309267	0.0434013	0.0327813	0.0234958	0.0192424	0.0244909	0.0234871	0.0189706	0.0198573	0.0197557	0.0161472	0.018563	0.0295431	0.0307735	0.0475411	0.0277092	0.0289379	0.0201663	0.0306468	0.0217228	0.0169033	0.0133064	0.0272452	0.0267603	0.0359176	0.0389121	0.0207511	0.0308542	0.0266219	0.0276056	0.0347976	0.0556779	0.0765277
de	0.0672091	0.0568523	0.049908	0.0335831	0.0252562	0.0242165	0.0249627	0.0243196	0.0222549	0.0257325	0.0301365	0.0287884	0.0314014	0.0374228	0.0328624	0.0323261	0.025059	0.0200351	0.0122436	0.0189688	0.00987911	0.00961534	0.00950471	0.0159667	0.0166611	0.0238872	0.0288365	0.0176913	0.0299209	0.0216657	0.0267047	0.0404359	0.0541066	0.0715853
mandé	0.093255	0.0851	0.0752482	0.0528699	0.0405205	0.0357163	0.0380953	0.032657	0.0328053	0.0397708	0.040777	0.0285139	0.02952	0.041604	0.0350731	0.0372002	0.0321498	0.0159521	0.00557567	0.0158492	0.00682983	0.0034705	0.00284867	0.00807538	0.0062164	0.0104753	0.0109036	0.0053517	0.00943898	0.00858337	0.00995617	0.0138147	0.0243543	0.0714279
son	0.0823518	0.0610348	0.0606925	0.0700096	0.0596852	0.0401072	0.0380262	0.0371822	0.0285965	0.0317898	0.0289892	0.0225102	0.0257582	0.0399982	0.0351235	0.047263	0.0233559	0.0194084	0.00863257	0.0146091	0.012722	0.00740083	0.00406031	0.00658371	0.00849648	0.0161116	0.00703138	0.0086819	0.00727219	0.0103292	0.0123328	0.0155533	0.0125929	0.0957073
père	0.0426536	0.0303616	0.0407335	0.0283873	0.0159245	0.00785436	0.0142952	0.0139602	0.0109204	0.0201227	0.0222267	0.0237083	0.0238174	0.0254707	0.030253	0.0582781	0.0376257	0.0493389	0.0200216	0.0208585	0.0429114	0.0129985	0.0109279	0.0257174	0.014668	0.0145231	0.0309932	0.00740148	0.0399972	0.0396888	0.0271926	0.0364929	0.0350659	0.124609
il	0.152843	0.119887	0.0723922	0.0627967	0.0468479	0.0216238	0.0264491	0.0192026	0.0130627	0.0146385	0.0163323	0.0136718	0.0137833	0.0110657	0.0130031	0.0181558	0.0152208	0.0144547	0.0150757	0.0204713	0.0204274	0.0123664	0.00886565	0.0127769	0.012891	0.00983113	0.0165561	0.0118861	0.0191076	0.028236	0.0238965	0.0314727	0.0335542	0.0571538
y	0.137121	0.0939187	0.0567704	0.0372253	0.0247767	0.0165672	0.0261008	0.0209541	0.0203109	0.0182707	0.0164885	0.0154718	0.0146852	0.0137107	0.0159453	0.0193836	0.0217507	0.0236148	0.0234932	0.0206634	0.024111	0.011893	0.0139689	0.019651	0.0212538	0.0186203	0.0331011	0.0154245	0.026717	0.0263363	0.0241507	0.0237219	0.0420933	0.0617348
a	0.0888428	0.0733805	0.0439188	0.0314353	0.0204208	0.0126592	0.0174098	0.0156827	0.0153883	0.0183473	0.0190984	0.0144926	0.0140696	0.0110279	0.0127129	0.0204357	0.0226059	0.0284423	0.0269632	0.0442602	0.0492768	0.0357893	0.0204422	0.023448	0.0301164	0.0301331	0.0330489	0.0226245	0.0259377	0.0240567	0.0222286	0.0247502	0.0381894	0.0683639
longtemps	0.0609284	0.044203	0.020791	0.0123346	0.00809524	0.00715843	0.00906586	0.00869865	0.00866345	0.010343	0.0117698	0.0114917	0.00978704	0.00772513	0.0105104	0.021771	0.0193316	0.0226625	0.0214185	0.0234331	0.0405949	0.0158677	0.0267567	0.0231363	0.0270044	0.0309329	0.0528254	0.0399082	0.0642453	0.0507913	0.0394651	0.0604218	0.0745111	0.103356
qu'	0.0781851	0.063221	0.0507743	0.0331452	0.0250399	0.0151597	0.0157499	0.0145181	0.0154097	0.0149462	0.0136375	0.0129814	0.0114688	0.0126735	0.0110532	0.0135249	0.0123932	0.0150904	0.0141884	0.029333	0.0383289	0.0356917	0.0185278	0.016545	0.022915	0.0214624	0.023577	0.023494	0.0241078	0.0318771	0.0320302	0.0438236	0.0501963	0.144929
il	0.112454	0.101718	0.0610029	0.0410894	0.0319262	0.0206966	0.0271425	0.0233331	0.0258146	0.0240794	0.0193623	0.0152425	0.0122451	0.0101489	0.00763652	0.00786827	0.00765315	0.0101277	0.00603638	0.0135299	0.0248298	0.0238118	0.0164986	0.0141396	0.0196805	0.017478	0.0219299	0.0199695	0.0178838	0.0217443	0.0184479	0.0279735	0.0335863	0.14292
l'	0.105782	0.0618361	0.0275847	0.0182649	0.0143284	0.0129177	0.0173655	0.0148534	0.0166779	0.0164711	0.017808	0.0211554	0.0159256	0.0147689	0.0162931	0.0240997	0.0269798	0.0263451	0.0248465	0.0405674	0.08634	0.0252804	0.019709	0.0123015	0.0167042	0.0163931	0.0226352	0.0223294	0.0251331	0.0279867	0.0200255	0.020343	0.0240329	0.125915
a	0.0419121	0.027386	0.0179119	0.0146585	0.0123874	0.0116955	0.0130954	0.0121945	0.0136193	0.0137452	0.0136568	0.0165376	0.0138726	0.0159897	0.0207617	0.0510561	0.044729	0.0430648	0.0312436	0.0364297	0.0875926	0.0179068	0.0157594	0.0167658	0.0164064	0.0118257	0.0248494	0.0160988	0.0277806	0.0267513	0.0160313	0.018656	0.0367963	0.200832
vu	0.0549327	0.028211	0.0183759	0.0137482	0.0108276	0.0100239	0.0106764	0.0101888	0.0103612	0.0102881	0.0112364	0.0146404	0.0108597	0.0137357	0.017097	0.0429846	0.0381518	0.0321574	0.0182392	0.0340286	0.0574134	0.0136917	0.0175279	0.0196803	0.0191264	0.0200551	0.031251	0.0157418	0.0317823	0.0337154	0.0202828	0.0231828	0.0472657	0.238519
</S>	0.0711772	0.0572813	0.040471	0.0249042	0.0161321	0.0129946	0.014096	0.0119896	0.0127613	0.00974477	0.0105777	0.0132624	0.00891303	0.0107302	0.0103368	0.0157481	0.0111562	0.0101952	0.0048942	0.00924821	0.0181697	0.00536249	0.0204458	0.0213557	0.0187549	0.0170098	0.0424783	0.0169803	0.0492195	0.0565378	0.0357986	0.0825017	0.089305	0.149466
