 	w	a	l	á	a	b	h	í	á	ω	s	a	b	h	i	s	á	o	b	ó	o	</S>
il	0.0263326	0.0535011	0.1282	0.309276	0.349202	0.091469	0.0268568	0.00114699	0.000250669	0.0001514	0.000345787	0.000352974	0.000730671	0.00142074	0.0022797	0.00194615	0.00137235	0.00114147	0.0013542	0.00117361	0.000997493	0.000497579
appuie	0.00589116	0.00443962	0.00482747	0.00386164	0.0032404	0.00299747	0.0382601	0.0784535	0.135923	0.173931	0.120067	0.128173	0.114088	0.0882169	0.0251277	0.0183829	0.0103883	0.0154803	0.0120704	0.00737111	0.00351641	0.00529271
son	0.0220815	0.0374777	0.0781698	0.0749285	0.0502126	0.0307702	0.053212	0.0391501	0.0871359	0.0467255	0.0402792	0.0326842	0.0487887	0.0435866	0.0513462	0.0579444	0.0409296	0.034692	0.0386926	0.0370132	0.0250575	0.029122
doigt	0.0045275	0.00750341	0.00756188	0.00811532	0.0109884	0.00870731	0.0138624	0.0188904	0.0381155	0.0666416	0.064761	0.0570512	0.106426	0.114904	0.0979062	0.0421671	0.0366618	0.0332038	0.0592566	0.0563012	0.067191	0.0792571
dans	0.00595282	0.0037126	0.00452153	0.00591909	0.00612626	0.00735855	0.0100666	0.0161937	0.0251002	0.041383	0.0435904	0.0282478	0.0261401	0.0313111	0.037574	0.0405544	0.0458367	0.0594073	0.0615059	0.127485	0.199461	0.172552
la	0.0411461	0.038432	0.0498343	0.0333141	0.0248	0.0245142	0.0218225	0.0349158	0.056811	0.0592363	0.0391646	0.0281798	0.0258345	0.034017	0.0416588	0.0634126	0.068446	0.0833058	0.0798665	0.0801938	0.0227217	0.0483726
pâte	0.0185195	0.0184325	0.020501	0.018812	0.0186308	0.0179053	0.0185277	0.0217912	0.0256939	0.0210188	0.0234279	0.0268932	0.0290291	0.0432391	0.0554891	0.0673304	0.072867	0.0822373	0.0800745	0.082267	0.125852	0.111461
de	0.0260013	0.0273791	0.046051	0.0279058	0.0302258	0.0384917	0.0375705	0.0397196	0.0432003	0.0425603	0.0260599	0.0218188	0.0121663	0.0172652	0.0308034	0.0454376	0.0473784	0.0694457	0.042108	0.0883992	0.0472236	0.192788
manioc	0.0177894	0.0147159	0.0168328	0.0198837	0.0150802	0.0150717	0.01237	0.0110291	0.0114419	0.0116744	0.0116597	0.0132214	0.0133163	0.0147154	0.0292191	0.0470711	0.044115	0.0743959	0.0904363	0.151532	0.141301	0.223127
</S>	0.022472	0.0224909	0.0229985	0.0220695	0.0199968	0.0194663	0.0271179	0.0364167	0.0379888	0.0239113	0.0139033	0.0124086	0.0124218	0.0128902	0.0202555	0.0331902	0.0366669	0.0734596	0.0801838	0.109203	0.0909735	0.249515
