 	o	k	y	é	l	i	i	e	b	é	e	y	é	é	k	y	έ	s	έ	b	á	a	n	y	a	m	a	a	d	i	í	y	a	á	o	s	u	n	u	o	k	á	m	b	a	έ	</S>
celui	0.00627425	0.00869262	0.00853046	0.00751585	0.00715456	0.00730908	0.0223689	0.0255994	0.035586	0.0287127	0.0305413	0.02444	0.0450431	0.0616912	0.05369	0.063358	0.0209414	0.0362998	0.036058	0.0173128	0.0225625	0.018403	0.0289933	0.0251682	0.0287276	0.0329673	0.0198398	0.0171313	0.0091024	0.0145993	0.0137367	0.0101034	0.0107018	0.00489323	0.00675266	0.00514183	0.00789017	0.00581434	0.0120634	0.0103754	0.0215132	0.018662	0.0202318	0.0245032	0.0207776	0.0228839	0.0193415
qui	0.0873028	0.0361005	0.0165309	0.0152654	0.0105515	0.0114017	0.00994321	0.0175346	0.0133157	0.0200298	0.0264687	0.0258947	0.0296943	0.0260435	0.0197098	0.0227328	0.00918796	0.0532158	0.0371897	0.0480368	0.0413696	0.014876	0.026824	0.0143995	0.0233879	0.0383984	0.0580597	0.027113	0.0163144	0.0309994	0.0336092	0.0124561	0.0249949	0.0149476	0.0112763	0.00976815	0.00848858	0.00669564	0.00654326	0.00887634	0.00587731	0.00910453	0.00790664	0.00479284	0.00217815	0.00126707	0.00332542
assiste	0.0630289	0.0394022	0.0255101	0.0226844	0.0215473	0.0445608	0.0442657	0.018325	0.0166007	0.0140372	0.0121838	0.0148338	0.0255631	0.0248906	0.0251255	0.0266911	0.0194813	0.0542995	0.0264933	0.0272459	0.0115185	0.00555156	0.00933127	0.00412926	0.00541596	0.00742167	0.0235234	0.0128496	0.0180106	0.0244012	0.0213607	0.0238631	0.0245457	0.0162082	0.0113009	0.0117138	0.00967796	0.0127258	0.015902	0.0246107	0.0242974	0.0318625	0.0240306	0.0181352	0.0167357	0.0132127	0.0108941
au	0.00904681	0.00800227	0.00520941	0.00483477	0.00527647	0.00789086	0.0173971	0.0203364	0.0148104	0.0205844	0.0135575	0.011412	0.0108497	0.00969861	0.00908842	0.00571569	0.00385542	0.0083814	0.00828504	0.0199238	0.0235413	0.0262304	0.0391919	0.0208401	0.0262415	0.0259437	0.0596914	0.0311128	0.0554363	0.0530419	0.0465187	0.0431231	0.0518142	0.0249995	0.0547865	0.0283136	0.0338875	0.0183374	0.0248776	0.0112892	0.0120988	0.0112784	0.0081111	0.0102432	0.0107051	0.0127518	0.0214361
dépeçage	0.00938299	0.0118971	0.0134609	0.012295	0.0122487	0.0197113	0.0150286	0.0109372	0.0111868	0.0085301	0.00775718	0.00796841	0.00920517	0.0132445	0.0138895	0.0158339	0.0138222	0.0164356	0.0140925	0.024211	0.0418592	0.0569276	0.111432	0.0535795	0.0560113	0.0546033	0.0516119	0.0467023	0.020738	0.0234265	0.0250645	0.00973467	0.0203471	0.009854	0.0108938	0.0146735	0.0151634	0.0105455	0.0122225	0.0146675	0.00926899	0.0086776	0.00571567	0.00467089	0.00525696	0.00832851	0.0368849
d'	0.0127861	0.0151529	0.0192724	0.0163411	0.0140135	0.023008	0.0211646	0.0212526	0.0214141	0.0197294	0.0194531	0.0185367	0.029742	0.0274576	0.0470593	0.0522126	0.0671954	0.0505464	0.0320426	0.0305161	0.0190934	0.0282862	0.0286363	0.0294094	0.0249027	0.0296098	0.0255545	0.0272846	0.026166	0.0223995	0.0293643	0.020897	0.0209563	0.0140754	0.0133605	0.0116126	0.00612882	0.00897962	0.0105563	0.00452949	0.00650791	0.00428262	0.00348812	0.00349911	0.0034911	0.00500473	0.0130271
un	0.0426185	0.0361951	0.0363372	0.0326822	0.0268348	0.0336505	0.0276986	0.0281845	0.0256439	0.0369274	0.0311278	0.0227327	0.0213749	0.0250046	0.0335036	0.0292641	0.0693383	0.0304751	0.0321065	0.029798	0.0200129	0.0185339	0.0162164	0.0102653	0.012721	0.0101684	0.0100613	0.0149019	0.0190103	0.015351	0.00959159	0.00907564	0.00807581	0.00700717	0.00655091	0.00627753	0.00778683	0.00722412	0.0111808	0.00934799	0.00962026	0.0085673	0.00837293	0.010626	0.014369	0.0180778	0.0495076
animal	0.061809	0.0482169	0.0346851	0.0236207	0.0119895	0.0149213	0.0142425	0.0167427	0.0167221	0.018761	0.0241057	0.0229415	0.0256376	0.02061	0.0282317	0.0244575	0.0381546	0.0231462	0.0198799	0.018421	0.0163137	0.0207524	0.019944	0.0184125	0.0200958	0.0152644	0.0204632	0.0289529	0.0398055	0.0403158	0.0268405	0.0211115	0.0171589	0.0132487	0.00952014	0.00913675	0.00808309	0.0039754	0.00605425	0.00563296	0.0110239	0.00985733	0.00710563	0.0126757	0.0142684	0.0295332	0.0471574
s'	0.0687205	0.0336851	0.0211942	0.0165639	0.0091464	0.00816213	0.00974144	0.0125176	0.0099877	0.0149448	0.017294	0.0115601	0.0111523	0.00923548	0.0144347	0.0137753	0.0315982	0.0137009	0.0149897	0.0152015	0.0142426	0.0176143	0.0163903	0.0164343	0.0201643	0.0173101	0.0309593	0.0317961	0.0359161	0.0378159	0.034784	0.0284628	0.0280067	0.0251715	0.0238008	0.0242826	0.0187191	0.0114781	0.015384	0.0157198	0.0216424	0.0179588	0.0138031	0.0206798	0.0213704	0.0353153	0.0471715
en	0.0505514	0.0183227	0.00762532	0.00594333	0.00485733	0.00442457	0.00447557	0.00649439	0.00566163	0.00765288	0.0121056	0.0105214	0.00914077	0.00551006	0.00821359	0.00763131	0.0175188	0.0114574	0.0182582	0.023091	0.0222909	0.0308363	0.0348906	0.038152	0.0387049	0.0379328	0.0478372	0.0429513	0.0448548	0.0386473	0.0369696	0.0426633	0.0371338	0.0354031	0.0280801	0.0262299	0.0205434	0.0131978	0.0134191	0.0159693	0.0109001	0.0102462	0.0096509	0.0123713	0.0121096	0.0243144	0.0342427
