 	o	y	ú	r	u	w	ó	l	á	a	k	y	á	l	e	t	á	á	m	á	t	s	í	n	a	o	l	ó	m	i	y	a	w	a	a	d	í	o	n	a	n	g	a	</S>
cette	0.00890654	0.00849928	0.00816773	0.00778946	0.0109562	0.0119528	0.0256254	0.0147341	0.0145626	0.0288537	0.0406491	0.0398079	0.0268954	0.0296205	0.0377868	0.0257914	0.0134305	0.0198227	0.0326049	0.0232627	0.011103	0.00879832	0.0144661	0.010004	0.016584	0.02339	0.0235952	0.0204592	0.0111517	0.00869637	0.00892558	0.00741021	0.0162821	0.00582192	0.0104049	0.0180465	0.0366177	0.036008	0.047996	0.0513666	0.0427757	0.0384296	0.0553619	0.0465859
femme	0.262111	0.276133	0.134499	0.0893645	0.0802582	0.0129256	0.024282	0.0226398	0.00871429	0.0043482	0.00999347	0.00325979	0.0036162	0.00800822	0.00514105	0.00114162	0.00207075	0.00496725	0.000845513	0.00338966	0.00108004	0.000891513	0.00163588	0.00118634	0.00247256	0.00106574	0.00100535	0.00139235	0.00135768	0.00226389	0.00376785	0.00149146	0.00189448	0.00120419	0.00175474	0.00375961	0.00334851	0.00265731	0.00372974	0.00145087	0.00168429	0.000789495	0.000333628	7.32491e-05
agit	0.0314257	0.0474268	0.062842	0.0452227	0.0358714	0.0303289	0.0448682	0.060261	0.0824473	0.0507955	0.055877	0.0590415	0.0413691	0.0346836	0.0310694	0.0193	0.0230701	0.0190357	0.0263754	0.0110256	0.00984408	0.00829519	0.00649837	0.00457923	0.0061436	0.00448891	0.00403711	0.00392808	0.00457464	0.00482665	0.0081563	0.00453083	0.030979	0.0149732	0.0276622	0.00581051	0.00580413	0.00328186	0.00490994	0.00398466	0.00606129	0.00436309	0.00515025	0.00477975
avec	0.0244418	0.0245017	0.0291529	0.0185339	0.0108904	0.00764963	0.00778281	0.0107002	0.00658532	0.0121286	0.019052	0.0248055	0.0179842	0.0272108	0.0453569	0.0460856	0.0486937	0.0244892	0.0504077	0.0233049	0.0434144	0.0413553	0.0380346	0.0253525	0.0435212	0.0220123	0.0224781	0.0164663	0.0097581	0.00701553	0.00666944	0.0126992	0.0163193	0.0217099	0.0137823	0.0108292	0.0155992	0.013613	0.0148258	0.0155342	0.0123935	0.0202772	0.0291912	0.0473906
ostentation	0.0413611	0.0264167	0.030626	0.0122603	0.00906209	0.00467024	0.00770963	0.00709447	0.00563285	0.00879132	0.00659643	0.00974563	0.00918484	0.0108788	0.0146636	0.0163874	0.017321	0.0185436	0.0247473	0.0243631	0.0572294	0.0364817	0.0408189	0.0910252	0.0756287	0.0316917	0.0595654	0.0373082	0.0469182	0.0173178	0.00943526	0.0143904	0.00934844	0.0107686	0.00892056	0.00846099	0.010459	0.010919	0.013876	0.0121055	0.0162109	0.0157108	0.0198636	0.0394894
parce	0.00777343	0.00587687	0.0057322	0.00435748	0.00333178	0.00242053	0.00239356	0.00246121	0.00277095	0.00412463	0.00439647	0.00554221	0.00474987	0.00860413	0.00798621	0.0178476	0.012559	0.022114	0.0264064	0.0270043	0.0531191	0.0417413	0.0533164	0.0860567	0.06373	0.0603349	0.0900659	0.0631934	0.0929429	0.0610429	0.0311828	0.0276576	0.0122019	0.00710201	0.00435382	0.0044872	0.00570751	0.00550965	0.00570528	0.00623515	0.00780547	0.00952928	0.0114438	0.0170823
que	0.0121735	0.0111996	0.0135409	0.0114422	0.00975164	0.00420411	0.0053078	0.00403699	0.00330731	0.0097519	0.0123538	0.0142313	0.0151862	0.0268319	0.0223774	0.0669217	0.0314648	0.0609643	0.0691528	0.0732651	0.0502913	0.0589754	0.0787935	0.0288929	0.0385312	0.0303011	0.0402721	0.041911	0.0291053	0.0264911	0.0148968	0.011684	0.00333534	0.00307539	0.00231422	0.00285184	0.00276323	0.00279082	0.00273648	0.00234333	0.00565069	0.00523184	0.0081794	0.0311165
son	0.0152863	0.0182287	0.0193327	0.0196353	0.0179687	0.0100538	0.0106707	0.00703895	0.0035358	0.0106296	0.00721829	0.00739834	0.00753362	0.0114594	0.0135304	0.0240706	0.0186349	0.0342471	0.0329749	0.0364227	0.0814959	0.0574867	0.0563359	0.0774367	0.0924134	0.0364329	0.0590821	0.0388996	0.0319746	0.0149341	0.00937244	0.0104894	0.00242778	0.0037891	0.00251133	0.00606324	0.00598003	0.0066912	0.00749007	0.00644812	0.00886925	0.00784502	0.0120212	0.0376393
mari	0.0299176	0.0248673	0.0175958	0.0146013	0.00894642	0.00394169	0.00441474	0.00286975	0.00354721	0.00754389	0.00947368	0.00635452	0.00657643	0.0119664	0.0234871	0.0338479	0.0293813	0.0346014	0.0390713	0.039208	0.0861529	0.0568898	0.0607771	0.0830633	0.0842309	0.0522942	0.053926	0.0353389	0.0199545	0.00350469	0.00454472	0.00640701	0.000881348	0.00101168	0.000455558	0.00146578	0.00105328	0.00181643	0.00213228	0.002171	0.00387821	0.00428165	0.0109483	0.0706069
est	0.0713633	0.0409225	0.0348621	0.021692	0.0123862	0.00550841	0.00542867	0.00634931	0.00269978	0.00493476	0.00544358	0.00799205	0.00754082	0.0125277	0.0170014	0.0228338	0.0303151	0.0213573	0.0288815	0.0230794	0.0333572	0.0373213	0.0403183	0.0278054	0.0431435	0.0277144	0.0314887	0.0226535	0.0130091	0.00531288	0.00451427	0.00399391	0.00182706	0.00345807	0.00241973	0.00805154	0.00736056	0.0119331	0.0181077	0.0110015	0.024669	0.0239759	0.0483339	0.16511
