 	e	k	ú	ú	l	ú	y	á	m	í	á	y	é	y	á	m	o	r	o	y	e	e	d	í	l	a	n	d	z	a	a	</S>
cette	0.0144401	0.0136102	0.0129684	0.00963051	0.00957651	0.0101773	0.0126813	0.0153026	0.0255823	0.0396391	0.0644199	0.0732809	0.0905779	0.0505899	0.0450905	0.0492922	0.0320789	0.025766	0.0254932	0.0191091	0.019902	0.0118453	0.0143238	0.0150366	0.0191376	0.0287135	0.0392261	0.0491774	0.0398029	0.0429483	0.0419113	0.0386687
manière	0.0195434	0.0292949	0.0497593	0.0255859	0.0170671	0.0138511	0.0131089	0.0103541	0.00719532	0.0329254	0.0382757	0.0535902	0.0501933	0.0341537	0.0516838	0.122066	0.0343045	0.0425253	0.0355766	0.0331144	0.0312222	0.0257219	0.028929	0.0319999	0.0235523	0.0540767	0.0507152	0.0151301	0.0117594	0.00678345	0.00360527	0.00233554
d'	0.059855	0.0276825	0.0203171	0.0257033	0.0239576	0.0294476	0.0309764	0.0268439	0.01724	0.0236442	0.0146459	0.0118998	0.0149065	0.0292846	0.0523969	0.0959563	0.125161	0.0777447	0.0663323	0.0432161	0.0452577	0.0308088	0.0318944	0.0168894	0.0147214	0.00723335	0.00515734	0.00587855	0.00556375	0.00348186	0.00407867	0.0118227
attiser	0.018974	0.0263395	0.0259101	0.0260361	0.0158516	0.0127749	0.0116565	0.018769	0.0171562	0.0351284	0.0672065	0.0347467	0.0424242	0.0373919	0.0227534	0.0375524	0.0817626	0.0571456	0.0762636	0.0897928	0.0381044	0.0458535	0.0161252	0.0277716	0.0146721	0.0125866	0.0110854	0.0076072	0.00739439	0.00717226	0.00955012	0.0464414
le	0.0152455	0.0206596	0.0228199	0.0156945	0.0117464	0.0124565	0.0123508	0.0147477	0.0143084	0.0221404	0.021038	0.0121923	0.00836828	0.0233068	0.0308723	0.027568	0.0887037	0.0853854	0.0753081	0.106934	0.107405	0.0867162	0.0529062	0.0287265	0.0180887	0.0100709	0.00589206	0.00738324	0.00423475	0.00494093	0.00621388	0.0255743
feu	0.0233993	0.024126	0.0319282	0.0358898	0.0231629	0.0171929	0.0122525	0.0140964	0.00926912	0.00804924	0.00684841	0.00679759	0.0100864	0.0192927	0.0298895	0.0265712	0.0339762	0.0509503	0.045414	0.0578517	0.0707761	0.0590147	0.0720046	0.0396834	0.0391674	0.0320754	0.0216928	0.0260709	0.0153357	0.020697	0.0286308	0.0878069
est	0.0317297	0.0355245	0.0351313	0.0340572	0.0218426	0.0176231	0.0150884	0.0189492	0.0163671	0.0136195	0.0112572	0.00963832	0.00892464	0.0148279	0.0187327	0.0339007	0.072698	0.0603232	0.0593409	0.0586531	0.0575878	0.0403084	0.0327387	0.026569	0.0197063	0.0148938	0.011297	0.0109377	0.0157997	0.0133978	0.0296621	0.138872
celle	0.0215281	0.0278287	0.0412726	0.0370047	0.0219498	0.0206046	0.0189717	0.0211557	0.0198662	0.0222264	0.0151164	0.00792611	0.00709138	0.00813985	0.00740005	0.0183871	0.01433	0.0226885	0.0468696	0.0474998	0.034036	0.0348556	0.0231769	0.0418218	0.02499	0.0393515	0.030257	0.0217495	0.0442146	0.029121	0.0575357	0.171033
d'	0.0422137	0.0455582	0.0339016	0.0250883	0.0209426	0.0277291	0.0236276	0.0270208	0.0206791	0.0158535	0.0183487	0.0101337	0.0127837	0.0189117	0.0163285	0.0139806	0.0253552	0.0450297	0.0468679	0.0512954	0.0478242	0.035473	0.0292859	0.0266654	0.0290138	0.0233556	0.0210787	0.0216412	0.0370458	0.0359983	0.0605569	0.0904118
un	0.0403145	0.0369167	0.0325528	0.0235453	0.0132819	0.00844757	0.00771228	0.00788104	0.0077006	0.00745516	0.00754772	0.00758471	0.00818822	0.00875113	0.0102235	0.0212216	0.0190419	0.0203348	0.0224093	0.0234918	0.0299472	0.0224348	0.0202986	0.0303308	0.0297318	0.04287	0.0497089	0.0535985	0.0722428	0.0862812	0.0838476	0.144105
homme	0.0976734	0.0899796	0.0803813	0.0670193	0.0438627	0.0278294	0.0356994	0.03178	0.0303327	0.0200001	0.0100308	0.00552163	0.00445107	0.00345837	0.00374132	0.0101906	0.0112834	0.00835209	0.0113039	0.0124652	0.0144598	0.0146631	0.011223	0.0154865	0.0126553	0.0184213	0.0233272	0.0207937	0.0536735	0.0300613	0.055227	0.124652
affamé	0.0667868	0.0514295	0.0440618	0.0401125	0.0372025	0.0236954	0.0182664	0.0194291	0.0141066	0.013418	0.0123718	0.00763538	0.00870974	0.00679922	0.00976666	0.027263	0.0189141	0.0281293	0.0289739	0.0290857	0.017553	0.0228113	0.0127445	0.029191	0.0156668	0.0295748	0.0387256	0.024823	0.0648853	0.0385213	0.0805569	0.118789
</S>	0.055756	0.0595978	0.0510224	0.0404363	0.0383598	0.0128303	0.00817958	0.0115404	0.00701849	0.0108883	0.0114774	0.00833599	0.00954817	0.00707528	0.0105046	0.0220832	0.0298267	0.0433833	0.0335148	0.0379374	0.0446599	0.0289679	0.0253856	0.0244374	0.0261899	0.0337447	0.0392605	0.0351518	0.0567455	0.0387209	0.0409326	0.0964872
