 	e	k	y	e	m	í	í	l	í	y	é	y	á	m	o	r	o	y	e	e	d	í	i	b	h	ώ	ω	o	y	é	b	h	a	έ	</S>
cette	0.0123824	0.0159663	0.0153037	0.0159986	0.00953212	0.00654005	0.00949617	0.0112613	0.0164359	0.0202597	0.058461	0.0875984	0.0920256	0.0381901	0.0474741	0.0230403	0.0146956	0.0169299	0.0133376	0.0164285	0.0167442	0.0197971	0.0197979	0.0166177	0.0168422	0.0202364	0.0189503	0.0207802	0.0275769	0.049723	0.0522015	0.0504545	0.0488461	0.0399274	0.0401469
manière	0.0128724	0.0207584	0.0329382	0.029303	0.0158428	0.0126209	0.0143555	0.0196455	0.0362526	0.0327713	0.0312538	0.0236704	0.0411917	0.0659277	0.0701498	0.0711502	0.0251752	0.049939	0.0331225	0.0135114	0.0232582	0.0499811	0.0407898	0.0184032	0.0104365	0.0601326	0.0325853	0.0424172	0.0154182	0.0240429	0.0168923	0.0047714	0.0035281	0.00311215	0.00177875
de	0.141506	0.0700362	0.0333269	0.0213699	0.0104058	0.0074997	0.00802477	0.00651991	0.00988119	0.0107648	0.0101752	0.0107951	0.0098026	0.0172158	0.046001	0.0734758	0.0629914	0.0443205	0.0406615	0.0597517	0.041327	0.0665223	0.0344681	0.0243708	0.0322465	0.0312278	0.0194545	0.014121	0.0108521	0.00574199	0.00300144	0.004109	0.00388807	0.00645125	0.00769262
s'	0.0355129	0.0345843	0.0273925	0.0278346	0.0369287	0.0199445	0.0158582	0.0162556	0.0260166	0.019834	0.0199045	0.0180479	0.0162363	0.0117005	0.0168698	0.0839834	0.0474699	0.0401223	0.0859347	0.0829958	0.0481662	0.0705043	0.0496889	0.0390779	0.0214349	0.0149417	0.00635264	0.00469675	0.00479276	0.00841596	0.00907025	0.00391678	0.00461283	0.00528554	0.0256156
étonner	0.0504891	0.0361814	0.0246809	0.0226633	0.0338018	0.029409	0.0238549	0.0147561	0.0129291	0.0107328	0.00946983	0.0114291	0.0149613	0.0195404	0.0221976	0.0632418	0.054175	0.0458062	0.0595063	0.0789005	0.0588823	0.0783493	0.0536703	0.0387005	0.0313199	0.0254451	0.0216708	0.00748767	0.00395927	0.00295424	0.0029998	0.00235324	0.00394401	0.0077815	0.0217557
est	0.015956	0.0155463	0.0133513	0.00881608	0.00587483	0.0048612	0.00478197	0.0061619	0.00872699	0.0116936	0.00954311	0.0074526	0.00913205	0.0103292	0.0132103	0.0442767	0.0781696	0.0659417	0.0833453	0.115141	0.0771909	0.0809342	0.0590877	0.0487153	0.0365648	0.0218186	0.0235452	0.014191	0.0104407	0.00718633	0.00441248	0.00674426	0.012021	0.0219229	0.0429131
celle	0.0333241	0.0272582	0.0214735	0.0196975	0.0260981	0.0205711	0.0185673	0.0243482	0.0210319	0.0246325	0.0164274	0.0158804	0.0172831	0.013643	0.0156071	0.0254238	0.026141	0.0352201	0.0453248	0.0613281	0.0298296	0.0423233	0.031458	0.028496	0.0281374	0.0241929	0.034376	0.0237144	0.0219127	0.021031	0.0236162	0.0315036	0.0413044	0.0437681	0.0650553
d'	0.0390848	0.0391847	0.0289639	0.0185263	0.0165047	0.0121185	0.012971	0.023365	0.0253981	0.0316098	0.0244162	0.0190062	0.0172642	0.0192674	0.0126875	0.0406009	0.0444901	0.0470474	0.045641	0.0613066	0.0260352	0.0250558	0.0251317	0.0286829	0.0332877	0.0242638	0.0406908	0.0161386	0.0160459	0.0127058	0.0110302	0.0134505	0.0264779	0.0419786	0.0795701
un	0.0456062	0.0313404	0.0261489	0.0301542	0.032785	0.0212413	0.0174952	0.0208537	0.0131736	0.015592	0.0125803	0.0139418	0.0126586	0.00989836	0.00876104	0.0175434	0.013723	0.029761	0.033055	0.0304021	0.0233197	0.0225502	0.0256993	0.044548	0.0583585	0.0464806	0.0441165	0.0240689	0.0140849	0.0174452	0.0168955	0.0259439	0.0425399	0.0558326	0.101401
innocent	0.0357898	0.05046	0.0573732	0.0543412	0.0406184	0.0228455	0.0178408	0.016168	0.0145031	0.0140316	0.0117366	0.0125299	0.00998485	0.00894886	0.0135683	0.0321547	0.0162675	0.0309937	0.0265234	0.0339328	0.0415524	0.0393333	0.0111141	0.0179822	0.0219	0.0255214	0.0235289	0.0215738	0.0172633	0.0185848	0.0157391	0.0184431	0.0254287	0.0571042	0.124319
</S>	0.0529255	0.0412581	0.0341503	0.0314177	0.0340402	0.0417631	0.0429855	0.0378209	0.0383142	0.0266936	0.0153678	0.0122237	0.0116992	0.0106298	0.0117562	0.0308328	0.0257068	0.0409435	0.025673	0.0378053	0.0198951	0.0216877	0.0206936	0.0279252	0.0326149	0.0285279	0.030481	0.0107888	0.00484533	0.00634013	0.004973	0.00624898	0.017545	0.0464359	0.11699
