 	o	y	ú	r	u	y	e	é	y	a	a	w	ó	a	d	i	k	w	é	é	l	é	o	l	ó	m	i	á	w	á	m	ó	s	i	d	á	</S>
cette	0.00753226	0.00489699	0.00591141	0.00624691	0.00601333	0.00883399	0.0142075	0.014714	0.0122904	0.0135327	0.0314846	0.0186323	0.0374311	0.0387242	0.0238286	0.0210105	0.0283309	0.0243071	0.020617	0.0173965	0.0167225	0.0144778	0.00974725	0.0186148	0.0194179	0.0288125	0.0389823	0.0438491	0.0535722	0.0307371	0.0507475	0.056815	0.0563574	0.0547523	0.0666998	0.0491982	0.0345539
femme	0.0805016	0.0884953	0.109927	0.10338	0.0817136	0.0372378	0.0341934	0.0293853	0.0569508	0.0177891	0.0660306	0.0497156	0.0250654	0.0170363	0.038542	0.0249253	0.0259564	0.00721817	0.0182607	0.0116256	0.00409239	0.00233639	0.00246859	0.00800794	0.00748721	0.0103468	0.00441164	0.00416625	0.00887362	0.000801501	0.00581622	0.00819311	0.00226758	0.00133625	0.00180874	0.00202889	0.00160638
qui	0.074665	0.031698	0.0226648	0.0162105	0.042955	0.020317	0.0158938	0.012783	0.0120686	0.0162944	0.0218667	0.028096	0.0250158	0.0259788	0.0252049	0.0122649	0.0163352	0.0220018	0.0186776	0.0220199	0.0168507	0.0144086	0.0252937	0.015125	0.027657	0.0956849	0.025996	0.0515009	0.0311593	0.024582	0.0402564	0.0376501	0.0425425	0.0213944	0.0136464	0.0207034	0.0125371
arrive	0.00956463	0.0194342	0.0326567	0.0285743	0.0501523	0.0217727	0.0117238	0.00824255	0.0126288	0.00892542	0.0203505	0.00928975	0.0166404	0.00974114	0.014356	0.0368901	0.0367824	0.0270504	0.0227833	0.0213143	0.0295136	0.0215703	0.0456922	0.0244183	0.0231629	0.0640695	0.0356377	0.0452561	0.0498246	0.0566813	0.0244835	0.0158982	0.0229813	0.0209558	0.0231161	0.0417642	0.0361007
est	0.0511867	0.0435411	0.037866	0.024887	0.0282905	0.0180402	0.0139666	0.0134073	0.0153416	0.0159408	0.0176812	0.0149773	0.0176484	0.0131946	0.0123599	0.0273902	0.0226843	0.053984	0.0192391	0.0370151	0.030727	0.0354501	0.0450946	0.0286071	0.0349417	0.021288	0.021872	0.017644	0.0297733	0.0146956	0.0213038	0.0271714	0.0233728	0.0277613	0.0302366	0.0356534	0.0557652
veuve	0.0404403	0.0325548	0.0210053	0.0245718	0.0280352	0.0236329	0.0168415	0.0158199	0.0317691	0.0306522	0.0292691	0.0352245	0.0277672	0.0219264	0.00977057	0.0267515	0.0210864	0.0286492	0.0262764	0.0290835	0.0334328	0.0390924	0.0264867	0.0347567	0.0449527	0.0268279	0.0268202	0.0164865	0.0202237	0.00411819	0.0225675	0.0264627	0.0133878	0.0211602	0.0402804	0.0410393	0.0407763
son	0.0485278	0.0292095	0.0212301	0.0222376	0.0301105	0.0330201	0.0224224	0.0318033	0.0325516	0.0354007	0.0223246	0.0279719	0.0166689	0.0117884	0.00675589	0.0148131	0.0162548	0.0141076	0.0175726	0.0243679	0.0318881	0.0320209	0.0330786	0.0303969	0.0285075	0.0364737	0.0320388	0.0180843	0.0238425	0.00426322	0.0327239	0.0300588	0.0219406	0.0322027	0.0416218	0.0431737	0.0485448
mari	0.0242243	0.0199186	0.018088	0.0192225	0.0201317	0.0222458	0.021042	0.0212018	0.0175817	0.015111	0.0143712	0.0185572	0.0135475	0.0157807	0.012319	0.0371808	0.0426484	0.0428757	0.0473633	0.0481658	0.0435738	0.0465956	0.0358216	0.0268509	0.0252172	0.0135467	0.0102018	0.00696522	0.00776191	0.00510636	0.0113615	0.0138719	0.00645005	0.0233827	0.0674835	0.0567921	0.10744
est	0.0934981	0.0730558	0.0643231	0.0422958	0.0462166	0.0191528	0.00848872	0.0115696	0.00543925	0.00540919	0.00467256	0.0058512	0.00497412	0.00464166	0.00593771	0.0147616	0.0182343	0.0322057	0.0265887	0.0446767	0.0538132	0.0491786	0.0275152	0.042624	0.0328526	0.0315358	0.0219304	0.00849469	0.0147795	0.00206444	0.0241956	0.032024	0.0170511	0.019486	0.0153877	0.0215224	0.0535515
mort	0.032023	0.0191566	0.018913	0.0162215	0.0137708	0.00894361	0.00687526	0.00669316	0.0068307	0.00499383	0.00711112	0.0051262	0.00640542	0.00585317	0.00743575	0.0217763	0.0308824	0.0342056	0.0296022	0.0349582	0.0441035	0.0473205	0.0403916	0.0389919	0.0282141	0.0219215	0.013094	0.00889488	0.0123946	0.00818826	0.0245118	0.0276909	0.0181773	0.0459567	0.0831118	0.0839314	0.135328
du	0.0706002	0.0630543	0.0755768	0.0488358	0.056934	0.0193827	0.00849481	0.00576581	0.00368237	0.00267114	0.00391882	0.00297256	0.00346209	0.00284169	0.00282148	0.00460629	0.00781322	0.0132259	0.012889	0.0180663	0.0308583	0.0283527	0.0314436	0.0274337	0.0358514	0.0380508	0.0433567	0.0367094	0.0279942	0.0167725	0.0248877	0.0344714	0.0264109	0.034299	0.0323404	0.0366578	0.0664938
sida	0.0509948	0.0347063	0.0437261	0.029969	0.0259368	0.0121444	0.00796549	0.0056599	0.00847196	0.00557	0.0079783	0.00664488	0.00784874	0.00763521	0.0103045	0.0235541	0.0212924	0.0382907	0.0196718	0.0340332	0.0257741	0.0248977	0.0247122	0.0244597	0.0187376	0.0127467	0.00673322	0.00515213	0.0121858	0.00629375	0.0284604	0.0221978	0.0127465	0.0276759	0.0798607	0.100588	0.16438
</S>	0.0433583	0.031308	0.0405701	0.0232963	0.0197741	0.00654559	0.0035882	0.00278269	0.00398643	0.00317221	0.00339634	0.00474184	0.00524862	0.00551297	0.00667126	0.0087035	0.0123506	0.0201686	0.0113651	0.0228333	0.0211832	0.0214656	0.0251114	0.0217983	0.0245557	0.0195006	0.020714	0.02625	0.0397182	0.0156447	0.0480736	0.0458162	0.0433135	0.0556084	0.0794871	0.0926508	0.119735
