 	y	é	w	á	r	é	e	t	é	t	e	é	i	t	á	a	l	á	n	y	a	m	a	l	e	n	g	ú	l	ε	</S>
c'	0.0241405	0.0425911	0.0517898	0.111669	0.103535	0.034668	0.0528059	0.0293977	0.0265157	0.0370579	0.0406091	0.0433972	0.0363447	0.0246645	0.0242714	0.0216313	0.0228704	0.0221516	0.0205747	0.0188405	0.0236343	0.032224	0.0228435	0.0206124	0.0162726	0.0150484	0.0185679	0.0160124	0.0133959	0.0141559	0.0177076
est	0.092166	0.0509108	0.0292778	0.0164739	0.0158799	0.0157885	0.0173284	0.0187351	0.0334289	0.0301375	0.0309428	0.0480316	0.111923	0.0727144	0.0813606	0.0538515	0.0447474	0.0265359	0.020001	0.0118144	0.0115248	0.0212217	0.0184089	0.0164567	0.0183829	0.0220279	0.0210427	0.0208553	0.012652	0.00659471	0.00878296
vraiment	0.0631039	0.0667471	0.0697389	0.0269371	0.0258777	0.0161089	0.0265848	0.023586	0.0237148	0.0269479	0.0270706	0.0181141	0.0219973	0.0519747	0.0943062	0.0745864	0.0632212	0.0378695	0.0108145	0.00535146	0.0052528	0.00636675	0.00850065	0.0101466	0.0103595	0.0127884	0.0182744	0.0312081	0.0291504	0.0220736	0.0712257
insolite	0.0307236	0.0547391	0.0857739	0.0553334	0.0536197	0.0547826	0.0675804	0.0320018	0.0141611	0.0231631	0.0194153	0.0376158	0.0287464	0.0750162	0.0756287	0.105114	0.0455615	0.0214378	0.0197657	0.0110589	0.00975335	0.00822614	0.00620484	0.00723097	0.00769634	0.00599759	0.00558524	0.00599675	0.00849914	0.0079528	0.015618
de	0.0536551	0.045447	0.048105	0.024506	0.0308584	0.0397552	0.0544204	0.0259315	0.00971409	0.0358056	0.0458831	0.0434165	0.033647	0.0417424	0.0405352	0.0621505	0.0452096	0.0225248	0.0183516	0.0119177	0.0111684	0.0139953	0.0140979	0.0141594	0.0113917	0.0105328	0.0122964	0.0137566	0.03094	0.0332155	0.100869
voir	0.0845587	0.0453889	0.0259374	0.0167801	0.0252818	0.028463	0.0404982	0.0408855	0.033499	0.0574022	0.0515585	0.0603579	0.0563168	0.0617388	0.0325398	0.0475275	0.0295421	0.0181187	0.0177002	0.0200554	0.0137776	0.00797219	0.00830433	0.0115184	0.00920208	0.0132163	0.0151365	0.013891	0.0279358	0.0206372	0.0642579
une	0.0523943	0.020583	0.015332	0.0106209	0.0134436	0.0140223	0.0223871	0.0476931	0.0383087	0.0595953	0.0576052	0.0595408	0.0571837	0.0562	0.0381294	0.0401487	0.0252427	0.0157641	0.01249	0.0122896	0.0137746	0.0202923	0.0228906	0.0295361	0.0252857	0.0288031	0.0232228	0.0204614	0.0262124	0.0243605	0.096186
bête	0.071591	0.0530715	0.038038	0.0377442	0.0400471	0.0280227	0.0300277	0.0446584	0.0533158	0.0683292	0.0564481	0.0544354	0.0423198	0.0457737	0.034065	0.0321496	0.0234324	0.0159551	0.0143526	0.0126087	0.00648732	0.00420563	0.00547392	0.00747937	0.00692926	0.0136821	0.0202874	0.0163012	0.0285136	0.0152872	0.0789669
bossue	0.0279251	0.020137	0.0229022	0.0188105	0.0263584	0.0148543	0.0199655	0.0255882	0.0260455	0.0206588	0.0215606	0.0295151	0.0206306	0.0373116	0.0293239	0.034768	0.0369966	0.0498185	0.0658476	0.0538362	0.0320286	0.0277006	0.0259206	0.0188651	0.0225779	0.0295867	0.0341853	0.0376199	0.0461577	0.0415375	0.080966
</S>	0.0957845	0.049236	0.0450048	0.0312819	0.0286737	0.0307692	0.0265417	0.020423	0.0157856	0.0113924	0.0138201	0.0125991	0.00957368	0.0148577	0.0121515	0.00942425	0.0128687	0.0137114	0.011966	0.00840822	0.0108548	0.0209369	0.0233247	0.0285565	0.0299712	0.0357287	0.0392156	0.0514349	0.0630843	0.0764644	0.146154
