 	p	o	o	y	é	b	á	a	y	o	b	h	á	n	g	a	l	a	m	í	d	z	á	á	g	h	á	</S>
dans	0.0128603	0.012067	0.00857058	0.00716926	0.0102951	0.0116123	0.0273255	0.0552989	0.0543581	0.0453188	0.0494038	0.0433003	0.0454137	0.0453555	0.0561605	0.0455532	0.0404759	0.0257066	0.0330086	0.0355042	0.0379036	0.0679628	0.0455779	0.0456121	0.0551279	0.0360516	0.0299962	0.0170099
ce	0.086464	0.0424872	0.0631132	0.0478684	0.0355267	0.0227647	0.0260863	0.0302952	0.0262028	0.059581	0.0492065	0.0650472	0.0880021	0.0818316	0.0543483	0.0457609	0.0252855	0.0165631	0.0173651	0.0215651	0.0206341	0.0316413	0.00979875	0.00981056	0.00293013	0.00561994	0.00512973	0.00907067
village	0.0430492	0.0327086	0.021064	0.0147125	0.00754477	0.00708783	0.011324	0.0248892	0.0265917	0.0277353	0.0333469	0.0505756	0.0545365	0.101608	0.0337729	0.0430948	0.0532159	0.0377923	0.0667668	0.0751292	0.0649468	0.0532018	0.0332405	0.0332686	0.0181478	0.0108434	0.0121108	0.00769435
on	0.0300915	0.0337182	0.0487841	0.0549011	0.0570039	0.0964587	0.0603453	0.0400869	0.0254787	0.0247612	0.0273584	0.0434682	0.0367328	0.0349566	0.0221281	0.0324089	0.0525812	0.031459	0.0360426	0.0251555	0.0201664	0.019635	0.0160902	0.0145226	0.00897997	0.0199348	0.0316062	0.0551437
parle	0.0584073	0.0540444	0.04751	0.0389896	0.0466297	0.0382425	0.0316212	0.0262357	0.0273105	0.0270791	0.0343097	0.0350621	0.0309813	0.0454311	0.0210277	0.0184923	0.0195144	0.0108111	0.0120672	0.0132709	0.0268511	0.0305713	0.0338356	0.0308803	0.0418318	0.0560877	0.0606252	0.0822793
mal	0.0623117	0.0637122	0.054243	0.0559798	0.0623423	0.0328321	0.0201637	0.0204237	0.0218167	0.0287223	0.0401813	0.0474732	0.052415	0.0489576	0.035842	0.0348862	0.0334891	0.03289	0.0274943	0.0142326	0.0136165	0.0150931	0.0155646	0.0167109	0.0281577	0.0296673	0.0367787	0.0540026
de	0.0554697	0.0418736	0.0339543	0.0360531	0.0407916	0.0385085	0.0272494	0.0241648	0.0249189	0.0294922	0.0412428	0.0488767	0.057252	0.0570989	0.0347062	0.0311726	0.0344757	0.0342578	0.0199249	0.0135469	0.0170542	0.029226	0.0203971	0.028973	0.0332697	0.0340583	0.0436247	0.0683665
ngala	0.0286102	0.021861	0.0255466	0.0344082	0.0507942	0.0452791	0.0329929	0.0360723	0.0410405	0.0362885	0.0449814	0.0415347	0.0403328	0.0546946	0.0400883	0.0362425	0.0429284	0.0486781	0.0152072	0.0102262	0.012339	0.02128	0.0188357	0.0282573	0.0331595	0.0425899	0.0504637	0.0652675
parce	0.0659887	0.0383145	0.0383812	0.0447498	0.0458265	0.0324528	0.0221374	0.0171105	0.0163262	0.0116462	0.013033	0.0132112	0.00999134	0.0149687	0.0103068	0.0155179	0.0267321	0.0257256	0.020506	0.0202256	0.029755	0.0561632	0.0437115	0.0640271	0.057501	0.0719293	0.0816413	0.0921196
qu'	0.0589492	0.0373601	0.0585955	0.0692299	0.0695479	0.0589965	0.0453206	0.0261858	0.0175293	0.00950715	0.00856022	0.012836	0.00785158	0.010787	0.00423926	0.00516706	0.00828885	0.0110083	0.0151653	0.0183924	0.026376	0.0399161	0.0465308	0.0475837	0.0594999	0.0687225	0.0714763	0.0863769
elle	0.0559988	0.0422132	0.0417618	0.0444517	0.0448875	0.0399121	0.0371051	0.0233416	0.0158135	0.0119491	0.00929696	0.0114191	0.0086393	0.0116267	0.00530566	0.00549085	0.0114881	0.0110816	0.0218481	0.0240872	0.0315892	0.0444625	0.0536172	0.0489396	0.0524649	0.0863182	0.0815423	0.123348
a	0.125003	0.0738392	0.0629147	0.0505924	0.0441793	0.0273322	0.0173645	0.0160569	0.0171004	0.0181209	0.0184539	0.0209279	0.0164984	0.0174427	0.0121923	0.0187575	0.019327	0.0180285	0.0145311	0.0136406	0.0183527	0.0311085	0.0295469	0.0382428	0.0452073	0.0646688	0.0725933	0.0779759
fait	0.129847	0.0718315	0.0636429	0.0530642	0.0435723	0.026161	0.0198159	0.0157873	0.0149461	0.0144807	0.0148042	0.0168123	0.0145865	0.0141454	0.0113847	0.0145405	0.0163937	0.0175138	0.0173175	0.0169163	0.0222091	0.0327909	0.0325735	0.0351865	0.0427099	0.0684612	0.0760914	0.0824139
une	0.118038	0.0751364	0.0470624	0.0321566	0.0227351	0.0166521	0.0137002	0.00862071	0.00763595	0.00857574	0.00836077	0.0094898	0.0131604	0.0136932	0.0103382	0.0118994	0.0157922	0.0145806	0.0194283	0.0208508	0.0291664	0.0450008	0.0446053	0.0392982	0.045492	0.0872259	0.0992638	0.122041
bonne	0.093319	0.0386804	0.0221787	0.0138083	0.00801656	0.0063191	0.00615765	0.00492159	0.00412154	0.00437536	0.0044695	0.0049013	0.00671135	0.00883168	0.010124	0.0136895	0.0170314	0.0187077	0.0238348	0.0326634	0.056989	0.0685293	0.0673182	0.0456924	0.0368242	0.0745055	0.120424	0.186855
récolte	0.0932598	0.0340742	0.0272214	0.0239561	0.0204843	0.0137577	0.00922333	0.00808612	0.00623408	0.00452169	0.0048389	0.00418682	0.00515284	0.0111655	0.0114047	0.0119685	0.0134646	0.00870489	0.0118207	0.0183936	0.031786	0.0547587	0.0344346	0.0452479	0.0279547	0.094374	0.1249	0.244625
d'	0.0890311	0.0426515	0.0309039	0.0245353	0.0183862	0.0276578	0.0262153	0.0164951	0.0137513	0.0167511	0.00953506	0.0113786	0.0134611	0.00988296	0.00680787	0.00711942	0.00927479	0.00947009	0.0148913	0.0150112	0.0280193	0.037637	0.0516592	0.0463302	0.0324041	0.0895575	0.122054	0.179128
