 	e	p	f	u	a	y	ó	y	ú	r	u	y	é	á	b	h	i	á	n	d	z	á	a	n	d	z	á	a	t	s	í	n	a	á	t	u	m	b	á	y	í	a	m	ω	n	d	í	</S>
cette	0.0233631	0.0161944	0.018719	0.0172014	0.0129484	0.0107942	0.00514959	0.00477452	0.00621894	0.00827128	0.0253846	0.0291489	0.0580389	0.0226208	0.0174175	0.0151711	0.018707	0.0113084	0.00846297	0.012499	0.00922518	0.0156722	0.00964033	0.014873	0.0111763	0.00879833	0.00958308	0.00865548	0.0101657	0.0128156	0.0148601	0.0247491	0.025146	0.0279203	0.0344809	0.0399318	0.0399897	0.0373012	0.0257569	0.0285586	0.0248012	0.0225839	0.0178328	0.0216474	0.0295479	0.0483207	0.0515636	0.0320087
jeune	0.137837	0.169186	0.200693	0.092351	0.0637614	0.0431818	0.02409	0.0253652	0.014274	0.0182483	0.033101	0.0144823	0.0153093	0.0161964	0.0173173	0.0121046	0.0198527	0.0152228	0.00638951	0.00492703	0.00724327	0.0052876	0.00481947	0.00259749	0.00194323	0.00119709	0.000717376	0.000669319	0.000366044	0.000437675	0.000422363	0.000477441	0.000438762	0.000392236	0.000712103	0.00129689	0.000939784	0.000668922	0.0015224	0.00207114	0.00225753	0.0029532	0.00273303	0.00461798	0.00471824	0.00321155	0.000848597	0.000549396
fille	0.057033	0.0508772	0.0267655	0.0289161	0.0363135	0.029361	0.0351428	0.0206763	0.0195349	0.0163873	0.0106093	0.0178597	0.033477	0.0365501	0.0148151	0.0135381	0.0226649	0.0264673	0.0133451	0.0134606	0.0163754	0.0115098	0.017349	0.0213454	0.0117609	0.0091949	0.011899	0.00945138	0.0133783	0.0232619	0.0190798	0.0148843	0.0164548	0.0156389	0.0160953	0.0171757	0.0236154	0.0324324	0.0326496	0.0394891	0.0164497	0.0322133	0.0164478	0.0112988	0.00827721	0.00804315	0.00588019	0.00455379
a	0.0249496	0.0265241	0.0289901	0.0246189	0.0369298	0.0223281	0.0148245	0.00775883	0.0094523	0.00878128	0.00740235	0.00681671	0.0110523	0.00412421	0.00256712	0.00400542	0.0109436	0.0244895	0.0246369	0.0239479	0.0327726	0.0190479	0.0325248	0.0335418	0.0478724	0.0524443	0.0456836	0.0440951	0.0277407	0.0271648	0.0268712	0.0188682	0.0183613	0.0158141	0.0200465	0.0144516	0.0158814	0.024467	0.0154159	0.0154802	0.0122863	0.0114521	0.014158	0.0108372	0.0109069	0.0128924	0.0159358	0.0378425
perdu	0.0164128	0.0123646	0.0108588	0.0109642	0.0107772	0.00833569	0.00691308	0.00553288	0.00532872	0.00567043	0.00585022	0.00707565	0.0156076	0.0103586	0.0094149	0.0161716	0.0463868	0.0705165	0.0499121	0.0363421	0.060944	0.0583114	0.0720806	0.0594653	0.0539715	0.0343874	0.0283578	0.0339513	0.0178363	0.0195323	0.0158079	0.0100109	0.00916844	0.0076903	0.00966098	0.00825334	0.0104101	0.0107823	0.0071552	0.00640008	0.00738652	0.00626143	0.0077991	0.0102665	0.0158177	0.0145654	0.0183587	0.024573
la	0.00415542	0.00571637	0.00620349	0.00801702	0.00682015	0.00681525	0.00972013	0.00979525	0.010823	0.00910707	0.0124205	0.0185283	0.0286443	0.0143708	0.0117473	0.0101296	0.0183083	0.0169864	0.0206537	0.0239128	0.0227649	0.0205176	0.026521	0.0215013	0.0230649	0.0288422	0.0252709	0.034737	0.0315014	0.0305067	0.0329558	0.0217947	0.025513	0.0236842	0.0295894	0.0243175	0.034594	0.0346471	0.029862	0.0194952	0.024401	0.018565	0.0278991	0.0286986	0.0331701	0.025791	0.0235874	0.0233321
raison	0.0151214	0.00809654	0.00602945	0.00655155	0.00591134	0.00538727	0.00742917	0.00865258	0.0104202	0.00934506	0.0153381	0.0146939	0.0193146	0.013377	0.0225117	0.0186948	0.02399	0.0317374	0.0284234	0.0213838	0.0274089	0.0224751	0.0321361	0.019567	0.0218518	0.0287205	0.016727	0.0251219	0.0176464	0.0222593	0.026256	0.0201504	0.0209102	0.0214645	0.0246226	0.0266165	0.020672	0.0271785	0.0367417	0.0309756	0.0277572	0.0284382	0.0277767	0.0288511	0.0272592	0.0237792	0.0247373	0.0294896
depuis	0.0159808	0.00876975	0.00668358	0.00703555	0.00687476	0.00809952	0.0115338	0.00766215	0.0070026	0.00531568	0.00811865	0.0105147	0.01625	0.00902341	0.0105959	0.00990304	0.015938	0.0243521	0.0379318	0.0312503	0.020501	0.0171432	0.0261812	0.0187852	0.0327105	0.0423317	0.0215957	0.0364599	0.0474367	0.0640203	0.0461671	0.0349159	0.0287782	0.0290123	0.0291376	0.0284818	0.0236546	0.0246118	0.0305981	0.0183667	0.0131171	0.011725	0.0153134	0.0149792	0.0137626	0.0112309	0.0142238	0.0259223
qu'	0.0246315	0.0161251	0.0117951	0.0116592	0.00906683	0.00609778	0.00598668	0.00717963	0.00792298	0.0090874	0.0091608	0.012971	0.0164303	0.0163949	0.020141	0.0268991	0.0238201	0.0372621	0.03145	0.029521	0.0244259	0.0287749	0.0457546	0.0291845	0.0350161	0.0316834	0.0314579	0.0356134	0.0260646	0.035519	0.0371654	0.0292302	0.0192833	0.0223621	0.0140395	0.0131869	0.00673039	0.0109235	0.0186959	0.00718883	0.0127081	0.0103293	0.0113159	0.0167758	0.0168013	0.0197984	0.0296425	0.046726
on	0.0707648	0.034932	0.0231283	0.016251	0.0157141	0.0149245	0.0132246	0.0103455	0.0103585	0.0119638	0.00534042	0.00567408	0.00500776	0.00608637	0.00659768	0.00540514	0.00518397	0.00577872	0.00739325	0.00811312	0.0119196	0.00640123	0.0087719	0.00824689	0.0111754	0.017786	0.0152523	0.0185886	0.0257243	0.036568	0.0409074	0.0378498	0.0299528	0.0381885	0.0485393	0.0315652	0.0383527	0.0433175	0.0379663	0.0201173	0.0175502	0.0165703	0.0190995	0.0153318	0.0133448	0.013905	0.021459	0.073361
