 	o	y	ú	r	u	w	ó	o	m	b	ó	n	g	o	ó	m	i	s	á	á	o	b	v	a	</S>
l'	0.0184723	0.0128913	0.0139922	0.00955545	0.0138361	0.0283002	0.0148776	0.0309339	0.0229487	0.0186973	0.0199408	0.0168778	0.0194329	0.0148304	0.023656	0.0676244	0.0618366	0.0538537	0.0710315	0.0757249	0.0784574	0.0873427	0.0723936	0.0873825	0.0651097
activité	0.0647701	0.171088	0.222336	0.15621	0.0206612	0.0392753	0.010366	0.0598827	0.0427867	0.0521666	0.0120458	0.00661413	0.00390792	0.00860678	0.00319739	0.0125355	0.0322515	0.0179181	0.0147119	0.0149692	0.0175135	0.00436727	0.00949743	0.00180365	0.000516971
commerciale	0.0489338	0.0598605	0.0297425	0.0326617	0.0416573	0.036689	0.0270381	0.0565796	0.035909	0.0556948	0.0612273	0.0617409	0.0292513	0.0319559	0.038596	0.031066	0.0331075	0.0385814	0.0330536	0.0592065	0.0386613	0.040681	0.025706	0.0295038	0.0228949
de	0.0536523	0.0408203	0.0480375	0.0449947	0.0425436	0.0336532	0.0359888	0.0213444	0.0242334	0.0209074	0.0343	0.0273594	0.032189	0.0161019	0.0187096	0.0182112	0.0182317	0.0221386	0.031457	0.0382884	0.0299971	0.0362516	0.0804375	0.0934969	0.136654
cette	0.139399	0.0644612	0.0557846	0.0446851	0.0431575	0.0341382	0.0321935	0.0290061	0.0300974	0.0291265	0.0216606	0.0213793	0.0175767	0.0181692	0.0230036	0.0241575	0.017435	0.0154388	0.0190641	0.0240376	0.0253046	0.0462047	0.0498627	0.0511139	0.123543
femme	0.0508547	0.0542467	0.0519159	0.0534356	0.0244564	0.044448	0.00863636	0.0189396	0.0121336	0.010546	0.00582398	0.00311862	0.00698551	0.00757422	0.00974584	0.0290885	0.0520765	0.0441094	0.0526991	0.0721566	0.0727156	0.0788516	0.0986812	0.0551392	0.0816212
a	0.0769845	0.0887032	0.0484001	0.0441733	0.0317094	0.0238246	0.0177126	0.0139048	0.0189617	0.0184971	0.0228484	0.0328783	0.0307311	0.081458	0.0576088	0.0374208	0.0515911	0.0374307	0.034035	0.0336746	0.042034	0.0254363	0.0331067	0.0400073	0.0568677
fait	0.0884549	0.0796649	0.0442472	0.0396381	0.0333436	0.0226062	0.0152854	0.0122544	0.0169621	0.0156177	0.0232246	0.0189054	0.0242779	0.0417626	0.0527973	0.0283761	0.0369171	0.042341	0.0463067	0.0391827	0.0374867	0.027768	0.0392587	0.0623816	0.110939
faillite	0.117281	0.0879837	0.0532236	0.0422843	0.0270889	0.0185434	0.0111247	0.020051	0.0213534	0.0368071	0.0472327	0.0235562	0.0758747	0.0935744	0.0764836	0.0422206	0.0217449	0.027711	0.0180838	0.0142875	0.0135644	0.0105942	0.0132694	0.0265929	0.0594682
</S>	0.0726278	0.0523129	0.0359622	0.0268766	0.0171601	0.0205289	0.0134918	0.0225661	0.0284297	0.0336861	0.0275197	0.0310802	0.0370287	0.0512315	0.0560183	0.0400948	0.0184121	0.015743	0.0192709	0.0277869	0.0289484	0.0514844	0.0624481	0.0648252	0.144465
