 	e	p	ó	b	h	ó	y	é	n	y	i	r	á	n	y	i	r	a	b	á	a	k	o	b	h	á	m	á	l	a	m	b	í	m	á	m	u	a	</S>
l'	0.011628	0.0159261	0.0143449	0.0143692	0.0118054	0.013298	0.0229775	0.0250796	0.0447182	0.0547078	0.0542315	0.0443216	0.0460593	0.0437372	0.0228154	0.0225033	0.0263677	0.0172332	0.0176305	0.0145463	0.0128016	0.0128994	0.0116127	0.0110383	0.0127397	0.0148253	0.0161478	0.0121845	0.0188984	0.0150443	0.0356316	0.0298872	0.038545	0.0340069	0.0448275	0.0526763	0.0301086	0.0308754	0.0269485
écorce	0.0192742	0.0979261	0.121044	0.195739	0.113192	0.0628219	0.0587105	0.0166998	0.0180258	0.0107462	0.00758594	0.00386538	0.00513312	0.0041605	0.00325008	0.00821886	0.011227	0.016458	0.0116114	0.00530867	0.00620671	0.00360755	0.00163697	0.000941522	0.00157968	0.00240995	0.00132285	0.00115389	0.00498105	0.00671472	0.0210565	0.0346116	0.0298712	0.0277364	0.0344722	0.0150552	0.012611	0.00151949	0.00151264
de	0.132205	0.0740677	0.0429632	0.0170969	0.0109776	0.00998225	0.00970332	0.00739052	0.00713534	0.00433926	0.00642301	0.00654992	0.00734568	0.00858673	0.0172404	0.0191693	0.0285893	0.0577404	0.0709026	0.0483639	0.0428092	0.034878	0.0252558	0.0273787	0.0322747	0.0221057	0.0181336	0.0168114	0.0147551	0.0157444	0.0173359	0.0129488	0.0226422	0.015227	0.0201125	0.0227105	0.0118783	0.0165658	0.0236602
bananier	0.0207165	0.0181299	0.0250245	0.0289914	0.0403897	0.0281649	0.0325439	0.0287524	0.0329857	0.0258874	0.0182271	0.0216654	0.0215355	0.0280313	0.0160158	0.0231002	0.0334889	0.0414106	0.0452084	0.064897	0.0431348	0.0379227	0.0367701	0.0445944	0.0306013	0.0283648	0.0309478	0.0310293	0.0186528	0.0140464	0.00602694	0.00885863	0.00660614	0.00547561	0.00980174	0.0100598	0.00847108	0.00925122	0.0242178
flétrie	0.0586412	0.0428231	0.0473712	0.0443219	0.0551381	0.0492167	0.0518922	0.0288808	0.0334765	0.0206417	0.0149679	0.0162705	0.0124958	0.00724487	0.00666454	0.0140756	0.0200195	0.0378087	0.0400339	0.040572	0.0222625	0.0321685	0.014568	0.0202439	0.0267964	0.0221495	0.0209742	0.0286853	0.0201604	0.0181923	0.0181065	0.0105201	0.0146883	0.0130526	0.00771194	0.0108292	0.00770892	0.00669162	0.0419334
est	0.032094	0.0373026	0.0366912	0.0430367	0.0390184	0.0438208	0.0327295	0.0339315	0.0234583	0.0181301	0.0139378	0.0162364	0.0131661	0.0088376	0.0115555	0.0171062	0.0206312	0.0253021	0.0228451	0.0210892	0.026417	0.021946	0.0323294	0.0394568	0.0458615	0.0350467	0.03323	0.0213636	0.0230126	0.0138931	0.0159105	0.0102516	0.0142652	0.0169425	0.0133851	0.0188722	0.0219817	0.0203516	0.0645628
utilisée	0.0472537	0.0255032	0.0120515	0.011275	0.00630006	0.00488607	0.00261945	0.00191075	0.00274118	0.00320827	0.00304125	0.00510976	0.00816304	0.00731365	0.0130781	0.0180841	0.0216443	0.0268428	0.0355006	0.0218739	0.0275154	0.0188503	0.0354686	0.0508395	0.0943009	0.0756817	0.0567457	0.0471674	0.0367195	0.0162896	0.0270997	0.018238	0.0279854	0.0239453	0.0184138	0.0268603	0.0243518	0.0262075	0.0689189
comme	0.10844	0.0933529	0.0724237	0.080223	0.0620788	0.0569779	0.0387433	0.0369633	0.0488386	0.0356828	0.0209011	0.0237337	0.0252743	0.0161266	0.0155404	0.0127281	0.00704418	0.00405426	0.00683963	0.00387847	0.00846871	0.00609001	0.0125517	0.0127147	0.0177706	0.0126385	0.0102179	0.00572657	0.00809689	0.0032351	0.00454842	0.00333403	0.00581415	0.00527893	0.0079942	0.00938845	0.0145624	0.0100903	0.0716336
bretelles	0.0405455	0.0412243	0.0370505	0.0414293	0.0323903	0.0203731	0.0205474	0.0205818	0.0380792	0.0277756	0.0209372	0.027406	0.035553	0.0189396	0.0242797	0.0307594	0.0159237	0.0131507	0.0130161	0.00785199	0.01666	0.00850574	0.0241527	0.0283523	0.0349567	0.0373317	0.0357585	0.0191983	0.0276146	0.00492779	0.0209115	0.00553409	0.0155893	0.0139323	0.00807794	0.0138789	0.0113464	0.0115152	0.133942
de	0.0473558	0.0296818	0.022315	0.0183695	0.0165148	0.0171505	0.0310956	0.034492	0.0589571	0.0314325	0.0243358	0.0396086	0.0466496	0.0337045	0.0295935	0.0317713	0.0195006	0.0145707	0.0182615	0.0179029	0.0235346	0.0157338	0.0183605	0.034464	0.0322906	0.0325576	0.0331409	0.032529	0.0325873	0.00718686	0.0110551	0.00676051	0.00776949	0.0094798	0.0106218	0.0128781	0.0120194	0.0189206	0.0648464
