 	b	e	a	í	t	s	ω	b	í	í	l	é	m	b	á	s	á	p	o	o	y	é	á	b	h	e	á	b	á	a	y	í	n	d	z	á	m	ó	m	w	á	n	a	y	a	n	g	á	</S>
mon	0.0198009	0.00904431	0.009192	0.00766276	0.00704978	0.00837216	0.0125385	0.0193474	0.0367455	0.0907021	0.0796076	0.0193948	0.0251529	0.012575	0.00598384	0.00560752	0.00714118	0.00588004	0.0051356	0.00513601	0.00344568	0.00587653	0.00725509	0.00769243	0.0110859	0.0105338	0.00795558	0.0106292	0.011485	0.0114002	0.00974963	0.00931676	0.0100967	0.0120281	0.00978157	0.00847495	0.0172525	0.0172767	0.0163357	0.0195776	0.028332	0.0278213	0.0490852	0.0604119	0.0565148	0.0427401	0.0497971	0.0489244	0.0270535
fils	0.0876611	0.0456853	0.0627338	0.0999237	0.199575	0.1148	0.0458717	0.0284155	0.0349062	0.0199364	0.0140297	0.00416362	0.00482251	0.00244408	0.00536825	0.00243642	0.0040161	0.00434223	0.00143251	0.00426855	0.00121917	0.00208544	0.0010568	0.000937993	0.00171892	0.00292389	0.00331635	0.00275768	0.00755414	0.0050644	0.0123375	0.00571872	0.0105371	0.0261635	0.0317972	0.0136582	0.0117781	0.00778485	0.0104199	0.0180074	0.000533419	0.00170783	0.00776373	0.00742443	0.00515711	0.00749228	0.00383563	0.00190717	0.00050818
est	0.093968	0.0405243	0.0504649	0.0645097	0.0468877	0.0367871	0.0443487	0.033085	0.0278836	0.0155017	0.0129603	0.00805431	0.00938541	0.00927152	0.0161256	0.00887319	0.00833154	0.00676734	0.00616487	0.00762425	0.00803826	0.00825429	0.00632313	0.0071325	0.00929357	0.00767103	0.0135072	0.0103776	0.014565	0.0148253	0.0125985	0.0167927	0.0211699	0.0213345	0.0151843	0.0258838	0.0216075	0.0205496	0.0208731	0.0422268	0.00767736	0.0147675	0.0306485	0.0284668	0.0173415	0.00811597	0.0105002	0.0120309	0.00472348
tenu	0.0191808	0.0380084	0.0339601	0.0358815	0.0416612	0.0339438	0.0245244	0.0229751	0.0197162	0.0184292	0.0174609	0.016705	0.0149937	0.0453349	0.0336794	0.038386	0.0331823	0.032278	0.0263456	0.0269984	0.0258888	0.0229177	0.0179252	0.0172408	0.0125721	0.014294	0.0191104	0.0160601	0.0162257	0.0145508	0.0102703	0.00914835	0.00673489	0.00854494	0.00887896	0.0117262	0.0110506	0.0110507	0.0133276	0.0149822	0.00140184	0.00890353	0.0118306	0.0110555	0.0180518	0.0209189	0.0186818	0.0284852	0.0245257
responsable	0.0207189	0.0184923	0.0155424	0.0117903	0.0136627	0.0146232	0.0117316	0.0102529	0.0117997	0.0132188	0.0157033	0.021046	0.0257705	0.030295	0.0343586	0.0551453	0.0368489	0.0687713	0.0428125	0.05025	0.0385609	0.0295587	0.0161412	0.018049	0.0131226	0.0192319	0.0230098	0.0236773	0.0249224	0.0235618	0.017118	0.014172	0.0131673	0.00903813	0.0117275	0.00815377	0.0109394	0.0106999	0.0132994	0.0116809	0.00252493	0.00843507	0.0112124	0.0114689	0.013256	0.0133521	0.0175678	0.021487	0.0280293
pour	0.0153315	0.0122611	0.0163198	0.0214172	0.0175613	0.0168345	0.0171926	0.0176684	0.0241926	0.0145275	0.0133005	0.0192769	0.0330499	0.0181595	0.0334711	0.0291152	0.0183747	0.0311065	0.0212335	0.0264583	0.0251787	0.0287425	0.0242972	0.0242625	0.0209505	0.0260998	0.0201611	0.0252402	0.0273954	0.0205206	0.0192499	0.018864	0.0232047	0.018649	0.018848	0.017097	0.0148751	0.00865236	0.0124254	0.00582469	0.00188233	0.00806562	0.00557424	0.0085286	0.0135104	0.0178694	0.0207933	0.0284113	0.0779734
tout	0.0342803	0.0314225	0.0296819	0.026887	0.0274275	0.0292788	0.0246233	0.0166523	0.0100294	0.00710405	0.00525381	0.00630353	0.00686014	0.0120428	0.009878	0.0106495	0.00817245	0.0141878	0.0132909	0.0194343	0.0188911	0.0179094	0.0189795	0.0237256	0.0192318	0.02591	0.0255309	0.0259369	0.0259406	0.0195136	0.0237618	0.0182703	0.0178048	0.0178258	0.0160871	0.0174043	0.018677	0.0183916	0.030503	0.0289524	0.00226306	0.00695009	0.0130239	0.022631	0.0210995	0.0208893	0.040253	0.0478021	0.0523802
ce	0.0233842	0.0226929	0.0225179	0.0249269	0.0206301	0.0165732	0.0138411	0.0134648	0.0132458	0.0117748	0.0112465	0.0137258	0.0152571	0.0237209	0.0148661	0.0242028	0.0149368	0.0178718	0.0189917	0.0140963	0.016188	0.0143514	0.0244147	0.022575	0.0186972	0.0244555	0.0211662	0.0248706	0.0294742	0.0167623	0.0195472	0.015755	0.00767834	0.0108993	0.0110736	0.00596054	0.00369614	0.00333194	0.00598261	0.0143336	0.00206054	0.00703981	0.0087299	0.018868	0.0405159	0.0341144	0.0452654	0.0745981	0.105627
qui	0.0444549	0.0341179	0.0244942	0.00994571	0.00660594	0.0053362	0.00284337	0.00427014	0.0075046	0.0107834	0.0146035	0.0204983	0.0274036	0.0272206	0.016553	0.0482589	0.0253908	0.038979	0.0565605	0.0497815	0.0464081	0.0476851	0.0549235	0.0597722	0.0389314	0.0461806	0.0273129	0.0239439	0.0183577	0.0216851	0.0166181	0.0131317	0.00455113	0.00446905	0.00592896	0.00287495	0.00325204	0.00204825	0.00287469	0.00379302	0.00234692	0.00297964	0.00338425	0.00466133	0.00481333	0.00576741	0.00601532	0.00868995	0.0409935
se	0.0653191	0.0459295	0.0225826	0.0156743	0.00930579	0.0058356	0.0026881	0.00347189	0.0035252	0.0036385	0.00436176	0.00825273	0.0112916	0.0192747	0.0162522	0.0186395	0.014511	0.0240213	0.0277912	0.0394367	0.0408445	0.0383468	0.0387248	0.0386658	0.032827	0.0326963	0.0273644	0.0326966	0.0328177	0.0268536	0.0290014	0.024723	0.00591821	0.00929864	0.00970411	0.00393883	0.00540462	0.00420882	0.0048316	0.00757139	0.00150662	0.00645305	0.00485484	0.00904801	0.0213566	0.0168439	0.0221959	0.0395492	0.0699505
