 	w	a	á	p	f	e	e	d	u	n	ú	i	k	ω	n	í	k	a	á	</S>
il	0.203544	0.327169	0.175017	0.151059	0.0570829	0.0298894	0.0085907	0.00161304	0.00184822	0.0011893	0.00193651	0.00261942	0.00393653	0.00535116	0.00519683	0.00448781	0.00528614	0.00464817	0.00542697	0.00410825
a	0.0450527	0.0519852	0.0568595	0.0479707	0.138733	0.197834	0.153076	0.12948	0.0834022	0.0126842	0.00733551	0.00767812	0.00543087	0.0127673	0.00266644	0.00256315	0.0056586	0.0058943	0.0113014	0.0216265
atteint	0.0322268	0.0486445	0.0323947	0.024931	0.0324384	0.0364116	0.0279141	0.0774106	0.107229	0.109878	0.0669175	0.0837395	0.0455162	0.0433714	0.0384283	0.0344164	0.0353964	0.0439792	0.0409185	0.0378382
la	0.0110079	0.0120717	0.00701058	0.00812728	0.0125395	0.0186669	0.0263983	0.0532624	0.0397855	0.0956529	0.134572	0.131838	0.0650705	0.062752	0.0538519	0.0304977	0.0346759	0.0348579	0.0750964	0.0922646
vieillesse	0.00840985	0.0106789	0.00995165	0.00741081	0.00949189	0.023263	0.0177835	0.0449751	0.0507992	0.106407	0.0975928	0.0807443	0.0887393	0.0805139	0.0785905	0.0640133	0.0404398	0.0346407	0.0480665	0.0974882
sans	0.0371582	0.030454	0.0278236	0.0352337	0.0379035	0.0439892	0.033941	0.0327831	0.0284408	0.0350345	0.0372923	0.034404	0.039017	0.0438278	0.0502533	0.0692324	0.0593658	0.0780625	0.0978031	0.14798
jamais	0.0783566	0.0387299	0.0181632	0.0160049	0.0281153	0.0407952	0.0293286	0.0312594	0.0279754	0.0522149	0.0603943	0.0511613	0.0390464	0.0463543	0.0405363	0.0324432	0.04312	0.0532752	0.103148	0.169577
être	0.038584	0.040461	0.0435092	0.0388551	0.0357663	0.0351296	0.0259955	0.0218295	0.020552	0.0168991	0.0176401	0.0145367	0.0188082	0.0300365	0.032848	0.071606	0.0891209	0.0920023	0.135727	0.180093
malade	0.0279175	0.0316882	0.0328126	0.0312236	0.0322946	0.0417489	0.0340291	0.0263055	0.0266104	0.0184971	0.0220725	0.017081	0.0258368	0.0541785	0.0586317	0.0853261	0.100719	0.0960066	0.11169	0.125331
</S>	0.0252506	0.0393874	0.0404631	0.0370227	0.0347075	0.028446	0.0407112	0.0220208	0.0240368	0.0248659	0.0287465	0.0243036	0.0349046	0.0569426	0.0719994	0.102925	0.116089	0.0751356	0.0894866	0.0825547
