 	o	l	ú	u	n	g	á	m	o	b	é	é	á	d	z	e	m	w	á	n	a	y	a	n	d	a	</S>
a	0.00853533	0.0123384	0.0150693	0.0276307	0.0201393	0.0427429	0.058786	0.0428286	0.0443952	0.0415247	0.0527473	0.0928329	0.0734403	0.0475474	0.036895	0.032826	0.0192654	0.0304598	0.0274481	0.0353526	0.0353311	0.0370485	0.0423113	0.041906	0.029417	0.0292613	0.0219197
qui	0.152217	0.140181	0.0817882	0.0624004	0.0380972	0.0378047	0.0112797	0.00318733	0.00492351	0.012119	0.0451257	0.0531896	0.0473236	0.0327252	0.0257884	0.0280792	0.0107392	0.0260665	0.018083	0.0205458	0.0203747	0.0314024	0.0234087	0.0250999	0.0207623	0.016922	0.0103658
appartient	0.101271	0.0493977	0.0396868	0.0261762	0.0386172	0.0393604	0.0437258	0.0131128	0.0199897	0.0178021	0.0177871	0.0128131	0.0310928	0.042072	0.0871682	0.0896247	0.0303025	0.0477445	0.0428318	0.0430057	0.0429036	0.032434	0.0253467	0.0198027	0.0196729	0.0167533	0.00950507
l'	0.0616073	0.0552951	0.0572684	0.0636699	0.0777931	0.0529229	0.0306303	0.00856347	0.00991205	0.0207124	0.0259404	0.0216034	0.0214596	0.0356304	0.0561726	0.0841285	0.0458968	0.0503626	0.0229237	0.0202262	0.0118408	0.0157903	0.00995984	0.0189574	0.0174934	0.028387	0.074852
enfant	0.0663234	0.0532016	0.0319738	0.0212906	0.0437237	0.041536	0.0552812	0.0388666	0.0332748	0.028448	0.0309288	0.0211928	0.0251538	0.0271004	0.0441599	0.0308347	0.0156241	0.0260518	0.0229224	0.0345651	0.023984	0.0618099	0.0287063	0.0461011	0.0454433	0.0427368	0.0587653
qui	0.0485735	0.0416018	0.0358142	0.0316434	0.0492661	0.0327739	0.0465912	0.0281092	0.0268935	0.0421159	0.0374549	0.0203356	0.036791	0.0684444	0.0816578	0.0506817	0.0244744	0.0410627	0.0249455	0.0402948	0.0220568	0.0277182	0.0191268	0.0270477	0.0242928	0.0253227	0.0449093
a	0.0695067	0.0451984	0.040411	0.0367629	0.0443285	0.0450744	0.0415903	0.0230473	0.0277022	0.0411893	0.0278122	0.0218008	0.020329	0.0241312	0.0422743	0.0474082	0.0179272	0.0214511	0.0190925	0.0344968	0.029476	0.0332198	0.0362734	0.0402953	0.0361921	0.0436374	0.0893716
vomi	0.090079	0.0382384	0.026752	0.0297637	0.0398848	0.0575152	0.0486454	0.0323204	0.0346838	0.0732734	0.0457958	0.0342853	0.0350282	0.045135	0.0358425	0.024368	0.00878837	0.0195627	0.0103849	0.0321778	0.0126104	0.0276537	0.0184496	0.0324932	0.0415649	0.0426271	0.0620763
sur	0.0502193	0.028443	0.0239966	0.026833	0.0331278	0.0434906	0.0464119	0.0394812	0.0455709	0.0804532	0.0403095	0.024199	0.0212146	0.0256088	0.0148293	0.0251572	0.0269722	0.0414771	0.0224174	0.0338633	0.0198581	0.0315774	0.0260833	0.0415735	0.0534776	0.0559847	0.0773695
mon	0.0645293	0.0367034	0.0362943	0.0278316	0.0272441	0.0237492	0.0138875	0.0177983	0.0197263	0.0326955	0.0160057	0.00549264	0.004077	0.0043994	0.00663486	0.0152328	0.0188308	0.0390162	0.0269567	0.0574755	0.0376148	0.0613602	0.0512878	0.0795437	0.0768346	0.0924105	0.106367
lit	0.0567586	0.0398296	0.032964	0.0230898	0.0193975	0.0142992	0.0147792	0.0139198	0.0148699	0.0157098	0.00951059	0.00472776	0.00541905	0.00563999	0.0114021	0.0185228	0.0115377	0.0240601	0.0228632	0.0461202	0.0340545	0.0466116	0.0498951	0.0734831	0.0874007	0.102658	0.200476
</S>	0.201562	0.069853	0.0563048	0.039896	0.0388575	0.0397654	0.0303923	0.0182565	0.0195812	0.0389454	0.0198141	0.00657721	0.00483906	0.00611504	0.0179115	0.0339792	0.0305093	0.0320809	0.0223548	0.0281032	0.0143965	0.028902	0.0177701	0.0341859	0.028773	0.0426378	0.0776363
