 	n	g	á	n	d	z	ó	r	o	é	m	i	s	u	r	á	m	ó	m	í	n	a	m	á	k	u	r	u	k	ú	ú	r	ú	</S>
j'	0.168992	0.221812	0.213045	0.125357	0.0626714	0.0218437	0.00972368	0.00567556	0.0069515	0.00524398	0.00313983	0.00347856	0.00415775	0.00234778	0.00259033	0.00232902	0.00384728	0.004057	0.0053808	0.0057465	0.00791113	0.0111191	0.00672811	0.00895316	0.00844869	0.00859836	0.0103184	0.00845702	0.00858673	0.00831585	0.00883369	0.00769932	0.00843453	0.00920606
ai	0.0895698	0.0359211	0.0533626	0.0494488	0.0651604	0.0384664	0.0298486	0.0311591	0.0247204	0.017205	0.016653	0.022165	0.0348857	0.0270015	0.025257	0.0420367	0.0370182	0.0391413	0.0462339	0.027912	0.0303606	0.0127783	0.0157601	0.00928852	0.0119329	0.0100476	0.00965276	0.0184702	0.0150897	0.0146022	0.0169675	0.0155578	0.0160206	0.0503045
des	0.024824	0.0314735	0.038353	0.0344985	0.0403199	0.0483908	0.0511081	0.0535174	0.0453104	0.0403359	0.0308088	0.0417489	0.029096	0.0302529	0.0336484	0.0263501	0.0307348	0.0281877	0.0298929	0.029184	0.023867	0.018847	0.0243682	0.0201978	0.0271075	0.0203367	0.0181371	0.0200679	0.0163022	0.0159105	0.0215237	0.018407	0.0231326	0.0137592
irruptions	0.00482433	0.00367117	0.00272007	0.00337011	0.00914165	0.0173688	0.0188898	0.0216282	0.0285649	0.0269263	0.0291816	0.0351207	0.0191804	0.0324704	0.0542967	0.0737769	0.0654137	0.0544908	0.0643248	0.0550352	0.0427491	0.0292353	0.0335756	0.022078	0.0248965	0.0210951	0.0205354	0.0342513	0.0327639	0.0195975	0.0273901	0.0202879	0.0227507	0.0283972
cutanées	0.0189621	0.0161315	0.0128683	0.0107656	0.0148126	0.0126031	0.0178501	0.0225409	0.0288691	0.0286855	0.026236	0.0307024	0.0235627	0.0357993	0.0430378	0.0383713	0.0491153	0.0399314	0.0391345	0.0272601	0.0280845	0.0276658	0.0220951	0.0293243	0.0253101	0.0226934	0.0209876	0.0205268	0.0198	0.0180858	0.0297884	0.0466048	0.0584927	0.0933008
dues	0.0305565	0.0263631	0.0148035	0.0136358	0.0179092	0.0215837	0.030879	0.0393795	0.0389129	0.0292479	0.0247515	0.02392	0.0227751	0.0301645	0.0436427	0.0606993	0.0607296	0.0450358	0.0473308	0.0397033	0.0357021	0.0181716	0.0264919	0.0198637	0.0210391	0.0179114	0.0153384	0.0185749	0.0166266	0.0156553	0.0218314	0.0240611	0.0292833	0.0574254
aux	0.0320155	0.0220882	0.0117121	0.010231	0.0167326	0.0189265	0.0246589	0.0256438	0.0264888	0.0269669	0.0267403	0.0276417	0.0255492	0.0273686	0.0322896	0.0404233	0.0490951	0.0472076	0.0536308	0.0567766	0.0496509	0.0244312	0.0247174	0.0158137	0.0171445	0.0142899	0.0104976	0.017491	0.0162045	0.0155265	0.0293258	0.0365407	0.0508287	0.0753505
piqûres	0.0214524	0.0134512	0.010822	0.0108607	0.0144813	0.0203837	0.0293415	0.0293478	0.0259578	0.0224118	0.0215985	0.0305731	0.0184549	0.0351883	0.0370478	0.0387825	0.0442058	0.0383797	0.0368478	0.0291078	0.0178816	0.0140475	0.0108902	0.010259	0.0108323	0.0112122	0.0128152	0.0199563	0.0367986	0.0192444	0.0461827	0.0660748	0.0466575	0.148451
des	0.0146294	0.0125138	0.0151642	0.0190646	0.0231161	0.0182233	0.0178702	0.0195507	0.0258971	0.0209812	0.0182488	0.0212842	0.0149778	0.0179759	0.014747	0.0164104	0.0213426	0.0197856	0.0205351	0.0185839	0.0231097	0.0214599	0.018458	0.0199908	0.0206893	0.0249687	0.0311546	0.0406305	0.0452575	0.0312003	0.0727384	0.081076	0.0758627	0.122502
moucherons	0.00889204	0.00747661	0.00806663	0.0111604	0.01227	0.0140401	0.0168653	0.0140284	0.0112182	0.00627547	0.00569309	0.00790758	0.00758916	0.00868307	0.0106137	0.0195262	0.0268823	0.0283503	0.026984	0.0270044	0.0264296	0.0145191	0.012933	0.0134962	0.0168798	0.0203575	0.0161956	0.0319574	0.0488997	0.0589398	0.10309	0.112615	0.108068	0.136092
</S>	0.022134	0.0201842	0.0302508	0.0425405	0.0421399	0.0386436	0.0299913	0.0255838	0.0235257	0.0212519	0.019854	0.0195943	0.0125926	0.0144653	0.0123152	0.0152801	0.0180762	0.0160219	0.0190105	0.021988	0.0195515	0.0286432	0.0295632	0.0290672	0.0235387	0.0265362	0.0321289	0.0318442	0.0403245	0.0366085	0.049532	0.048608	0.0520142	0.0865958
