 	n	g	á	i	d	i	o	y	é	b	h	á	t	s	í	n	a	y	é	é	k	a	n	í	w	a	n	g	á	i	k	a	á	k	a	á	</S>
je	0.18205	0.159517	0.127669	0.0786366	0.0247166	0.0202324	0.0208569	0.00921588	0.00974935	0.00894384	0.00645281	0.00709763	0.00788982	0.00872155	0.0114739	0.0106864	0.0195635	0.0170532	0.0254879	0.0228632	0.0247703	0.0211711	0.0135559	0.0115378	0.0223788	0.011212	0.0103075	0.0109733	0.0110389	0.011843	0.0113216	0.00793135	0.0116094	0.0119164	0.0119376	0.010798	0.00681996
ne	0.0653539	0.0322818	0.0437376	0.0324054	0.0158568	0.0182537	0.0383249	0.0297218	0.0448368	0.0297982	0.0269511	0.0252595	0.026118	0.0304895	0.0265476	0.03206	0.035708	0.045672	0.0527088	0.0270511	0.0354066	0.017771	0.012641	0.00792495	0.00826864	0.00519275	0.00716953	0.00912061	0.0130782	0.0126264	0.0119149	0.0232012	0.0205747	0.0214511	0.0324218	0.0232203	0.0588796
sais	0.0758092	0.058357	0.0231725	0.0312879	0.0371205	0.0580536	0.0396727	0.0328519	0.0361084	0.0228097	0.0261545	0.0371398	0.0289856	0.0317049	0.027611	0.034429	0.0206012	0.0371678	0.0516731	0.0157956	0.0134694	0.020031	0.0142798	0.0157063	0.0168309	0.0121974	0.0153579	0.0128994	0.0256943	0.0103223	0.0145363	0.013415	0.0266611	0.0119968	0.0143352	0.0189731	0.0167879
pas	0.0291905	0.0305606	0.0244343	0.0285291	0.0228878	0.0139893	0.0147502	0.0178074	0.0170911	0.0161267	0.0216979	0.0276483	0.0361709	0.0235401	0.0293743	0.0338816	0.0212012	0.0260262	0.0303529	0.030689	0.0266421	0.0376619	0.0363103	0.0585793	0.0474017	0.0434693	0.0429004	0.0397899	0.0189852	0.0136906	0.0109751	0.0229496	0.0193974	0.0212529	0.00968966	0.017674	0.0366815
pourquoi	0.0146773	0.00905048	0.00858	0.0141828	0.0345004	0.0280763	0.0424792	0.0466852	0.0530929	0.0376469	0.0396138	0.0440853	0.0401061	0.0257701	0.0210091	0.0238087	0.0138074	0.0129858	0.0121521	0.011468	0.0133024	0.0149668	0.0135963	0.013981	0.00819667	0.00937984	0.0211475	0.0228584	0.00997666	0.0172692	0.0177022	0.0441239	0.0379324	0.0631389	0.0361763	0.0434605	0.0790131
il	0.0135469	0.00773238	0.0101197	0.0178851	0.0313693	0.0395869	0.0487775	0.0476617	0.054907	0.047526	0.0427195	0.0344047	0.0382178	0.0298528	0.0299357	0.0302019	0.0283708	0.0256789	0.0250798	0.026167	0.0313091	0.026011	0.0234316	0.0189921	0.010589	0.0109286	0.0260347	0.0156506	0.00940258	0.00759852	0.0111125	0.0109117	0.0141715	0.0149887	0.0282957	0.0404601	0.0703707
ne	0.00818702	0.00507557	0.00631708	0.0183945	0.01317	0.0195172	0.0245711	0.0393515	0.0418131	0.0551829	0.0431779	0.043497	0.0468643	0.0355094	0.0320037	0.0380195	0.0299523	0.0353585	0.0322083	0.0423309	0.037984	0.0433342	0.0347041	0.0275588	0.0215744	0.0159328	0.0160959	0.0129988	0.0134193	0.00961511	0.0125622	0.0105032	0.0163065	0.0123394	0.0181073	0.0283312	0.058131
me	0.0369185	0.0305361	0.0343733	0.066816	0.0283317	0.0308584	0.0287482	0.0239368	0.0202603	0.0214737	0.0182904	0.0198384	0.0166266	0.0140778	0.0115031	0.0120245	0.012504	0.0113092	0.0123899	0.0125739	0.0162861	0.0233199	0.0263693	0.0197542	0.0182095	0.0176684	0.0199404	0.031839	0.0252722	0.0248845	0.0289673	0.0207684	0.0290608	0.0425052	0.0513959	0.0583806	0.0819877
parle	0.0376058	0.0408883	0.0565804	0.0857118	0.037679	0.0338302	0.0215277	0.0167765	0.0153176	0.0128707	0.0129298	0.0133133	0.0161166	0.0150283	0.0164219	0.0177242	0.0189884	0.0199328	0.0221927	0.0202865	0.0247572	0.0298482	0.0323828	0.0264256	0.028746	0.0261628	0.0238877	0.0238896	0.022144	0.0177924	0.0214272	0.0144784	0.0242294	0.0289911	0.0311281	0.0488702	0.0431169
plus	0.0374122	0.032551	0.0350533	0.0476612	0.0447241	0.0432105	0.0221899	0.0181676	0.0182896	0.0162833	0.0168626	0.0219457	0.0202881	0.0191734	0.0253057	0.0222097	0.0234197	0.0231902	0.0265773	0.0269428	0.0245406	0.0294924	0.0267524	0.0278018	0.0272697	0.0213633	0.0202115	0.0189099	0.0194169	0.0224373	0.0225048	0.0239653	0.0383891	0.0316754	0.0270675	0.038517	0.0382271
</S>	0.02539	0.0231283	0.0280667	0.0299617	0.0456464	0.029374	0.0291824	0.0307844	0.0411649	0.029261	0.032481	0.0374434	0.0309607	0.0208475	0.0193597	0.0180458	0.0116684	0.00907646	0.00872433	0.00865389	0.00778266	0.0091404	0.00762251	0.00818465	0.00689292	0.00608133	0.00957205	0.0129969	0.0146169	0.0331639	0.0275962	0.0611141	0.0756831	0.0917961	0.0389768	0.0384258	0.0411327
