 	w	a	á	k	a	n	i	m	w	á	n	a	ω	b	έ	l	έ	m	ó	k	í	n	g	í	m	ó	i	b	á	r	a	l	á	w	a	l	a	n	g	a	a	</S>
elle	0.144376	0.263541	0.264284	0.164104	0.0357736	0.0130218	0.00203324	0.00187184	0.00271423	0.00336092	0.00682946	0.00261229	0.00507173	0.00490907	0.00419641	0.00447764	0.00420539	0.00392996	0.00252554	0.00348962	0.00394666	0.00391198	0.00311852	0.00346029	0.00185278	0.00238679	0.00255707	0.0019324	0.00260309	0.00256996	0.00241525	0.00325065	0.00261479	0.00354586	0.00239097	0.00329201	0.00362678	0.00319569	0.00386324	0.00273949	0.00171102	0.00168837
a	0.00971057	0.00465059	0.00202194	0.00585578	0.0282013	0.0292985	0.0333191	0.0555516	0.0555817	0.0614658	0.0485992	0.0547461	0.0743476	0.0780123	0.0926613	0.0744146	0.0415161	0.0562815	0.0208751	0.0115595	0.0121079	0.00464437	0.00432097	0.00192888	0.00374749	0.00278515	0.00209691	0.00249168	0.00202246	0.00170463	0.0065051	0.00206728	0.00583221	0.0171747	0.0126693	0.00948293	0.0108621	0.00880314	0.0194968	0.0152982	0.0108146	0.00447327
mis	0.00748431	0.0190469	0.00979944	0.0109729	0.00888158	0.00813689	0.0101105	0.0148443	0.0194527	0.00826013	0.0122581	0.0110414	0.0122128	0.0118947	0.0156483	0.0237599	0.0350077	0.0426515	0.0383754	0.0470598	0.049599	0.0385173	0.0237769	0.0457521	0.0452525	0.0673624	0.0551373	0.036439	0.0454644	0.0271109	0.0326618	0.0239685	0.0231683	0.0259058	0.0147269	0.0122492	0.0150262	0.0160506	0.00989773	0.00944795	0.00740154	0.0081842
une	0.015919	0.0142264	0.0081612	0.0126467	0.0147567	0.0146354	0.0192457	0.0350825	0.0253443	0.018123	0.0149908	0.0165371	0.0177945	0.0158079	0.0159309	0.0204055	0.0299041	0.0332011	0.0297672	0.0224634	0.0268772	0.0384036	0.0303343	0.0403129	0.107376	0.0470257	0.0427176	0.0253351	0.0279417	0.0253034	0.0234316	0.0137229	0.020834	0.0117738	0.00657804	0.00994318	0.0117259	0.0153648	0.0105847	0.0187561	0.0152652	0.0354493
amulette	0.00411466	0.00624923	0.00481654	0.00467202	0.00500125	0.00551912	0.0109692	0.0122011	0.0156197	0.013344	0.013326	0.0182368	0.0184074	0.0191257	0.0243822	0.0220908	0.0168342	0.0210055	0.0216012	0.0314698	0.0294248	0.0427613	0.0453092	0.0758998	0.0671927	0.0627114	0.0455432	0.053022	0.0391468	0.0486374	0.0315751	0.0227724	0.0215916	0.0148909	0.00777074	0.0129569	0.0129372	0.0155783	0.011917	0.017241	0.0119316	0.0202021
sur	0.00873432	0.00388544	0.00457706	0.00711439	0.00604965	0.00763629	0.00815352	0.00959894	0.0188917	0.0171665	0.0175594	0.0132713	0.018364	0.0153196	0.0218474	0.0220783	0.021793	0.0215537	0.0194374	0.0219473	0.0217965	0.0204579	0.0216232	0.0188338	0.0507949	0.0471457	0.0650697	0.0845912	0.0736083	0.0664261	0.0533849	0.0307902	0.0278262	0.0103574	0.00920457	0.0104594	0.00794376	0.0154121	0.0107591	0.0132344	0.0126732	0.0426282
le	0.0100778	0.0077853	0.00415082	0.0049576	0.00659023	0.00892356	0.0148551	0.0145558	0.0149434	0.0209377	0.0224603	0.0148005	0.0168243	0.0124067	0.029173	0.0340135	0.0216789	0.0259585	0.0265983	0.0291942	0.0232409	0.0203163	0.018977	0.0247223	0.0518508	0.0329719	0.0377489	0.0619902	0.033782	0.0200542	0.0257353	0.0158616	0.0279211	0.0175155	0.0140191	0.028401	0.0254797	0.0312687	0.0302724	0.0325572	0.0363158	0.0481128
cou	0.0308846	0.0187881	0.0161685	0.0200613	0.0110241	0.013537	0.0174002	0.0159339	0.0187081	0.0148556	0.0169882	0.0118519	0.0174494	0.0129773	0.0281863	0.0265072	0.0221783	0.0227389	0.0238161	0.0242644	0.0248337	0.0243895	0.020592	0.0142432	0.0230202	0.025975	0.0202197	0.0319975	0.0277045	0.0110498	0.0094591	0.00800725	0.0126575	0.0117503	0.00811893	0.0199637	0.0305433	0.0486311	0.0484411	0.057323	0.0421651	0.0945952
de	0.00841443	0.00836469	0.00781982	0.0129558	0.0139091	0.0151008	0.0149592	0.0149093	0.0174909	0.0157868	0.0161618	0.0143575	0.0168121	0.0155027	0.026101	0.0310322	0.0218754	0.0235472	0.0224143	0.0267159	0.0297224	0.0288745	0.0278749	0.0157156	0.0326192	0.0321474	0.0383981	0.0707872	0.0423081	0.0288254	0.0340447	0.0215183	0.0340389	0.0115201	0.0146531	0.0230233	0.0183092	0.0242158	0.0197782	0.0241653	0.0284616	0.054768
son	0.0280343	0.0198468	0.0198993	0.0205951	0.0185454	0.0184798	0.0216697	0.0185448	0.0173293	0.013105	0.0107974	0.00904356	0.0124776	0.0100173	0.00811686	0.00778482	0.013998	0.00993987	0.00820957	0.0118026	0.0179419	0.0174892	0.0189486	0.0203726	0.0295051	0.0212318	0.0336204	0.0328037	0.0268416	0.0249669	0.0304418	0.0311369	0.0327942	0.0286872	0.020364	0.0332212	0.0325614	0.0504843	0.0314367	0.0602004	0.0517886	0.0549241
