 	d	z	a	n	g	é	l	á	l	e	k	ώ	ώ	l	i	í	d	í	l	a	m	ω	m	b	i	m	ó	m	b	v	u	á	y	e	e	n	ώ	í	l	a	p	ó	a	</S>
la	0.019012	0.0136447	0.017609	0.00855224	0.00975731	0.0298341	0.0267128	0.0234253	0.0398531	0.0509063	0.0321484	0.0467209	0.0894036	0.0796125	0.0696133	0.1494	0.0586913	0.025055	0.0210269	0.0120296	0.00726238	0.00456309	0.00389251	0.00376195	0.00530338	0.0043692	0.0064835	0.00627529	0.00722338	0.00674267	0.00664542	0.00698597	0.00753724	0.00774931	0.00747676	0.00708199	0.00732605	0.00728789	0.00968256	0.0121249	0.00978524	0.0123201	0.0105523	0.00855887
cour	0.0412604	0.0280065	0.0897294	0.249877	0.111718	0.097144	0.057988	0.0180993	0.0156331	0.0170154	0.00596689	0.0168212	0.0208098	0.0175575	0.0108147	0.0137746	0.00792663	0.0060259	0.00252188	0.00290523	0.00274927	0.00319687	0.00311025	0.0021655	0.00418184	0.00329005	0.00300448	0.00210129	0.00689089	0.00884219	0.0118435	0.015682	0.01592	0.0142152	0.0156929	0.0141986	0.0125283	0.00896396	0.00691497	0.00413103	0.00325928	0.00269142	0.00189674	0.000933833
de	0.014962	0.0163769	0.0128407	0.00802504	0.0157222	0.0115676	0.0125075	0.0166954	0.0155104	0.0218748	0.0323434	0.0278916	0.0282888	0.0334247	0.0392745	0.0477181	0.0217843	0.0332502	0.0124616	0.0142347	0.0108921	0.015919	0.0193346	0.0207063	0.0297259	0.0241795	0.0269778	0.0381787	0.0468936	0.0393216	0.045435	0.0415844	0.0280956	0.0226021	0.0182981	0.019424	0.0219068	0.0277803	0.0170071	0.0144618	0.0118956	0.00940203	0.00843564	0.00478784
l'	0.016035	0.0310341	0.0494034	0.0709419	0.0479408	0.0215943	0.0290472	0.0301407	0.0315068	0.0292946	0.0330464	0.0325765	0.016218	0.0143463	0.0151337	0.0179656	0.0123767	0.016564	0.00851544	0.0127185	0.0130703	0.014215	0.0293379	0.0275238	0.0214728	0.04613	0.0228926	0.0297188	0.0184767	0.0173674	0.0193691	0.0171839	0.0118137	0.00716395	0.00990577	0.00719408	0.0105395	0.014764	0.0133434	0.0117092	0.0133806	0.013477	0.0241174	0.0494332
école	0.0314365	0.0230213	0.0270229	0.0389605	0.0170532	0.0228988	0.0218563	0.0284305	0.018885	0.0183868	0.0171516	0.0145344	0.0247218	0.0170592	0.0170337	0.0221344	0.0167084	0.0171924	0.0193576	0.0399189	0.0354297	0.0331386	0.0400491	0.0335674	0.023717	0.0272169	0.0221108	0.0174331	0.0179407	0.0204966	0.0204682	0.0207692	0.0172155	0.0198405	0.0197079	0.0231922	0.0207535	0.0145418	0.00968551	0.0116692	0.0165274	0.0124718	0.021422	0.0468712
est	0.0456208	0.0274687	0.0185601	0.012267	0.0114316	0.0149318	0.0170042	0.0166189	0.0169005	0.0152411	0.0215427	0.0178074	0.00866576	0.00563462	0.0065803	0.00661804	0.00664221	0.0148472	0.0118401	0.0249043	0.0275384	0.0320376	0.069651	0.0643908	0.0480726	0.0598169	0.0413419	0.0457418	0.0274156	0.0269924	0.0238271	0.0198886	0.0149933	0.00727383	0.0105932	0.0106892	0.00994989	0.0142241	0.0167803	0.00776119	0.0138234	0.0104873	0.0140818	0.0615004
humide	0.0259883	0.0202359	0.0176921	0.0124904	0.00897284	0.0147063	0.0201711	0.017222	0.0180449	0.0197927	0.0221571	0.0136247	0.0153283	0.0165117	0.0176512	0.0155752	0.0133181	0.0201642	0.0156882	0.0208112	0.0234032	0.0222898	0.0315521	0.0458354	0.0338583	0.0435301	0.0317077	0.0292697	0.0418903	0.0574066	0.0426311	0.0506105	0.0420485	0.0278212	0.0155924	0.0125881	0.0100867	0.0101342	0.00827925	0.0100048	0.0120191	0.00833812	0.011102	0.0318542
à	0.0111511	0.00894584	0.00881917	0.00898481	0.0099716	0.0102828	0.00860434	0.00560303	0.00481706	0.00472672	0.00924233	0.00568523	0.00653375	0.00957916	0.0098509	0.015371	0.0142417	0.0140479	0.0117011	0.0126774	0.0137007	0.0157296	0.0194756	0.032572	0.0239922	0.0434359	0.0364712	0.0520646	0.0469475	0.0515253	0.0457398	0.0555828	0.0493809	0.0400288	0.0278799	0.0250293	0.0242381	0.0249859	0.0156499	0.015389	0.0219684	0.027881	0.0322673	0.0672276
cause	0.0399979	0.0234708	0.0126165	0.00954221	0.00717973	0.00495867	0.00422844	0.00231353	0.00189706	0.0015868	0.00306293	0.00183774	0.00344178	0.00644683	0.00880334	0.011284	0.0144826	0.021735	0.0230977	0.0318658	0.0304997	0.0287862	0.0290769	0.0339977	0.0278701	0.031635	0.0318764	0.0370154	0.0401045	0.0461882	0.0391698	0.0495147	0.0447888	0.0405353	0.0329164	0.0388958	0.0295538	0.0211857	0.0114423	0.00944046	0.0151661	0.0146389	0.0269217	0.0549306
de	0.0226731	0.0184442	0.0127452	0.00815488	0.00566904	0.00633808	0.00618685	0.00368548	0.00296035	0.00266044	0.00556185	0.0033055	0.00264748	0.00266675	0.00354288	0.00419057	0.00675312	0.00868878	0.0072624	0.0149717	0.0154361	0.0183424	0.0263953	0.027543	0.0205321	0.0331485	0.0331887	0.0385186	0.0330871	0.036417	0.0343065	0.0367039	0.0361795	0.0311705	0.0408129	0.0480491	0.0368313	0.0422847	0.0351701	0.0187006	0.0384191	0.0383063	0.0440276	0.0873207
