 	o	k	w	á	m	ó	ó	k	a	n	í	n	g	á	s	á	b	e	a	ó	b	h	ó	l	i	</S>
le	0.010893	0.0158638	0.0199467	0.0247781	0.0202943	0.0266614	0.0268636	0.028622	0.0355456	0.0350536	0.055983	0.0617279	0.0583232	0.0710291	0.0560249	0.038032	0.044599	0.0424506	0.043682	0.0411939	0.0502134	0.0416719	0.0432366	0.0406919	0.035001	0.0316174
sel	0.00729254	0.0122808	0.0254779	0.0558649	0.0485083	0.297206	0.227382	0.0800288	0.0762031	0.0146129	0.0275948	0.00406733	0.00355702	0.00949873	0.0249537	0.0246946	0.0189324	0.00919212	0.00531175	0.00375105	0.00313943	0.00701003	0.00673543	0.00375941	0.00209287	0.000852302
que	0.0991871	0.0928792	0.0439313	0.0444988	0.0474859	0.0222163	0.0215976	0.0139007	0.0205352	0.0123594	0.0145274	0.0218292	0.0208625	0.0346103	0.0322314	0.0764213	0.0597634	0.0415118	0.06907	0.0776841	0.0444302	0.0251524	0.0226613	0.0150573	0.0183341	0.00726157
j'	0.0444204	0.0304377	0.0192775	0.0180753	0.0171215	0.0213334	0.0226164	0.0249878	0.0242103	0.0258298	0.04055	0.0990144	0.117002	0.10055	0.0579675	0.0431366	0.0297011	0.0131768	0.0110381	0.0147375	0.0112766	0.0113917	0.0173862	0.0374394	0.048016	0.099306
ai	0.0426808	0.0371445	0.0496178	0.050649	0.0740119	0.0582786	0.0550512	0.0427521	0.0345	0.0258199	0.031546	0.0272999	0.0467708	0.0232149	0.019051	0.0163416	0.0284182	0.0456918	0.0371024	0.0376601	0.0274258	0.0336783	0.0396035	0.0349653	0.0283356	0.052389
mis	0.0439619	0.0351759	0.0446011	0.0401937	0.0491729	0.0340034	0.0344868	0.0315134	0.0287076	0.025054	0.0255406	0.0209164	0.0248113	0.0143623	0.0133776	0.0196969	0.0350434	0.0465989	0.0496386	0.0550061	0.0420652	0.0495625	0.0507711	0.0538586	0.0585707	0.0733088
dans	0.0489736	0.034854	0.0660759	0.0380563	0.0234192	0.019392	0.0202147	0.0209882	0.0239682	0.0237324	0.0278076	0.0161237	0.0284635	0.0165706	0.0174145	0.0234865	0.0299834	0.0460987	0.0550388	0.067285	0.0525786	0.0547891	0.052505	0.0510257	0.0484957	0.0926593
la	0.0475326	0.0508692	0.039984	0.0415151	0.0370508	0.0252981	0.0319758	0.0293533	0.0422969	0.0442841	0.0379436	0.0423806	0.0624703	0.0508809	0.0301539	0.0194698	0.0145777	0.0178423	0.0225032	0.0286763	0.0220902	0.0324441	0.0303959	0.047533	0.0373071	0.113171
nourriture	0.0312476	0.0428017	0.0439332	0.0477707	0.0446625	0.0406109	0.0500324	0.0469281	0.0469703	0.0260605	0.0399135	0.0237554	0.0199193	0.014615	0.0202238	0.0163634	0.0199184	0.0243761	0.0230404	0.0240215	0.017669	0.0244348	0.0266605	0.0396033	0.0444728	0.199995
a	0.127898	0.0874329	0.0517897	0.0294452	0.0205179	0.0161092	0.0146288	0.013576	0.0217716	0.0283651	0.029587	0.0448848	0.132044	0.0448317	0.0300433	0.0175648	0.00952369	0.0102879	0.0085893	0.00801961	0.00542088	0.00853512	0.00980831	0.0153905	0.0220303	0.191904
suffi	0.15104	0.0752576	0.0527746	0.0336894	0.0227168	0.0108882	0.0121019	0.0115342	0.0140892	0.0100882	0.00740215	0.00983557	0.00753534	0.00698858	0.00533557	0.00945078	0.0172984	0.0307366	0.0443956	0.0511188	0.0273478	0.0402055	0.051678	0.0602964	0.0673296	0.168866
</S>	0.0509246	0.0431268	0.0429967	0.0421386	0.0350063	0.0241586	0.0206665	0.0184428	0.0186821	0.0196571	0.0198777	0.0277815	0.0529304	0.0290328	0.0163845	0.0142998	0.0344532	0.073071	0.0500128	0.0402789	0.0236833	0.0362543	0.0349098	0.0518138	0.0454891	0.133927
