 	m	ó	n	ω	ω	m	á	p	o	o	y	á	b	í	s	í	é	d	í	l	i	s	y	έ	έ	l	έ	</S>
il	0.0136763	0.016169	0.0139918	0.0162676	0.0153572	0.0228885	0.026461	0.0376934	0.0339948	0.0314728	0.0433318	0.0418405	0.0528892	0.0566939	0.0746472	0.0733236	0.0645392	0.055047	0.048479	0.0381983	0.0359685	0.0247133	0.023824	0.0311899	0.0254741	0.0261058	0.0274763	0.028286
y	0.114048	0.107319	0.0721304	0.0378773	0.0205276	0.0206498	0.0122576	0.0149262	0.0503754	0.0428984	0.0360769	0.0120029	0.0162173	0.0153841	0.0184236	0.00947649	0.019666	0.0314985	0.030215	0.0333438	0.0380209	0.0511937	0.0654495	0.029032	0.0233857	0.0308624	0.0271068	0.0196351
a	0.089126	0.0720978	0.0397478	0.0282698	0.01486	0.0107993	0.0109684	0.0321465	0.0706316	0.0791255	0.0729547	0.027842	0.0404909	0.0283929	0.0486061	0.0454346	0.0330225	0.0284614	0.0262293	0.0290238	0.030312	0.0333101	0.0277625	0.0289584	0.0165905	0.0112633	0.00687669	0.0166954
beaucoup	0.0337025	0.0261802	0.0208367	0.0209117	0.0176214	0.0222451	0.0249147	0.031033	0.0356945	0.0370796	0.0360865	0.0330775	0.0721657	0.0712014	0.119663	0.0551216	0.0522992	0.0416592	0.0258084	0.0300321	0.0252384	0.0185638	0.0160867	0.0248977	0.0225223	0.0353177	0.0271254	0.0229143
de	0.0121324	0.0156372	0.0171672	0.0391824	0.0588018	0.071453	0.0697207	0.0718875	0.091857	0.0861241	0.0442358	0.0274159	0.022443	0.0204986	0.0297726	0.0124699	0.00987279	0.0125129	0.0151806	0.0276523	0.0281551	0.01923	0.0227361	0.0284819	0.0339536	0.0369006	0.0268468	0.0476783
fougères	0.0243654	0.0252688	0.0288776	0.0424732	0.0530133	0.0626881	0.067495	0.0721607	0.0911118	0.0934578	0.0523256	0.0322212	0.0242745	0.0204496	0.0247019	0.0104028	0.0103468	0.0144299	0.0156015	0.0248326	0.0251123	0.0217512	0.018894	0.0206206	0.0211225	0.0283987	0.0261573	0.0474454
à	0.0750986	0.0575266	0.0553682	0.0425368	0.0410249	0.0342967	0.0327974	0.0348678	0.047661	0.0485349	0.0178217	0.00834852	0.00775176	0.00860385	0.00611069	0.00303218	0.00869371	0.0131323	0.0149929	0.0263262	0.0311946	0.0357333	0.0456195	0.047574	0.048753	0.0605531	0.0627443	0.0833013
l'	0.0435913	0.0334977	0.0326944	0.0304662	0.0286015	0.0271261	0.0281925	0.0302822	0.0285512	0.0256663	0.0166686	0.00712672	0.0067973	0.00747834	0.00689608	0.00320179	0.00920874	0.0131351	0.0192105	0.0412111	0.0477246	0.0474098	0.0499238	0.0573095	0.0614844	0.0756245	0.0870056	0.133914
entrée	0.103084	0.0807069	0.0780381	0.0503878	0.0363331	0.0258712	0.0170368	0.00892876	0.00893791	0.00655147	0.00404555	0.00310656	0.00533866	0.0100913	0.00334745	0.00347716	0.0197186	0.0190282	0.0261832	0.0223463	0.0237837	0.030433	0.0491795	0.0641932	0.0623897	0.0563666	0.0809312	0.100163
de	0.0692187	0.0494046	0.046506	0.0286916	0.0174504	0.0132965	0.0112115	0.0106838	0.0115086	0.0117931	0.0149187	0.0189694	0.00957165	0.00876152	0.0117991	0.0100382	0.00785386	0.0121065	0.0124162	0.0213989	0.0237288	0.0233837	0.0451191	0.0679617	0.0866271	0.103646	0.112508	0.139427
notre	0.0508729	0.0377503	0.0366464	0.0281734	0.0184096	0.0152404	0.0143444	0.0137251	0.0150142	0.0128293	0.00667907	0.00632558	0.00567176	0.00623237	0.00327754	0.00244456	0.0108992	0.0103923	0.0146127	0.0316383	0.0559339	0.062964	0.0565504	0.0807264	0.0893999	0.09877	0.0990548	0.115421
village	0.125964	0.0727745	0.0611739	0.0325218	0.0302801	0.021477	0.0166416	0.0100202	0.0124056	0.011878	0.00666727	0.00666433	0.00518469	0.00741269	0.00372048	0.00206521	0.00975197	0.00963479	0.0116752	0.0169338	0.0208443	0.0272999	0.0327556	0.0497898	0.0693309	0.0902931	0.099104	0.135735
</S>	0.0686673	0.0433607	0.0382181	0.0268857	0.0205488	0.0154268	0.012347	0.0122492	0.0199474	0.0161636	0.0092661	0.00689069	0.00408695	0.00434745	0.00414545	0.00214596	0.00485533	0.00746121	0.0129696	0.0242787	0.0491583	0.0503231	0.0595488	0.0638788	0.0794714	0.10644	0.09251	0.144408
